,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line
MCF7_r1e8_s97,0.288,13,476400481,32290,32290,474493921,71153028,28846972,100000000,reads,97,100000000.0,MCF7
HEPG2_r1e8_s66,0.29,1,538153752,25042,25042,537901437,71018575,28981425,100000000,reads,66,100000000.0,HEPG2
SKNSH_r1e8_s21,0.29,134,875685117,60580,60580,862252903,70957672,29042328,100000000,reads,21,100000000.0,SKNSH
K562_r1e8_s19,0.306,4,636229316,48056,48056,635783798,69425898,30574102,100000000,reads,19,100000000.0,K562
HEPG2_r1e8_s65,0.29,1,538153752,25042,25042,537901437,71016749,28983251,100000000,reads,65,100000000.0,HEPG2
SKNSH_r1e8_s66,0.29,141,875685117,60573,60573,861635215,70953327,29046673,100000000,reads,66,100000000.0,SKNSH
K562_r1e8_s70,0.306,7,636229316,48053,48053,635490746,69424726,30575274,100000000,reads,70,100000000.0,K562
GM12878_r1e8_s87,0.317,448,770839844,29798,29798,392306389,68255101,31744899,100000000,reads,87,100000000.0,GM12878
MCF7_r1e8_s88,0.288,13,476400481,32290,32290,474509066,71159609,28840391,100000000,reads,88,100000000.0,MCF7
GM12878_r1e8_s5,0.317,450,770839844,29796,29796,392033533,68253910,31746090,100000000,reads,5,100000000.0,GM12878
SKNSH_r1e8_s71,0.29,132,875685117,60582,60582,862393686,70955772,29044228,100000000,reads,71,100000000.0,SKNSH
K562_r1e8_s68,0.306,5,636229316,48055,48055,635706955,69425634,30574366,100000000,reads,68,100000000.0,K562
HEPG2_r1e8_s92,0.29,1,538153752,25042,25042,537901437,71016112,28983888,100000000,reads,92,100000000.0,HEPG2
MCF7_r1e8_s17,0.288,14,476400481,32289,32289,474398028,71158257,28841743,100000000,reads,17,100000000.0,MCF7
GM12878_r1e8_s77,0.317,448,770839844,29798,29798,392312001,68253690,31746310,100000000,reads,77,100000000.0,GM12878
MCF7_r1e6_s89,0.282,19665,575400481,12638,12638,78728631,718085,281915,1000000,reads,89,1000000.0,MCF7
HEPG2_r1e6_s9,0.28,17271,637153752,7772,7772,50692831,719590,280410,1000000,reads,9,1000000.0,HEPG2
SKNSH_r1e6_s20,0.289,44117,974685117,16597,16597,83270606,710566,289434,1000000,reads,20,1000000.0,SKNSH
K562_r1e6_s95,0.301,32127,735229316,15933,15933,69918477,699199,300801,1000000,reads,95,1000000.0,K562
SKNSH_r1e6_s18,0.289,44147,974685117,16567,16567,82937792,711079,288921,1000000,reads,18,1000000.0,SKNSH
K562_r1e6_s37,0.301,32148,735229316,15912,15912,69690586,698889,301111,1000000,reads,37,1000000.0,K562
GM12878_r1e6_s18,0.314,16397,869839844,13849,13849,89222788,686420,313580,1000000,reads,18,1000000.0,GM12878
HEPG2_r1e6_s44,0.281,17324,637153752,7719,7719,49941799,719282,280718,1000000,reads,44,1000000.0,HEPG2
MCF7_r1e6_s75,0.283,19634,575400481,12669,12669,78978039,717383,282617,1000000,reads,75,1000000.0,MCF7
K562_r1e6_s63,0.301,32266,735229316,15794,15794,68696934,698971,301029,1000000,reads,63,1000000.0,K562
HEPG2_r1e6_s75,0.281,17339,637153752,7704,7704,49762872,719160,280840,1000000,reads,75,1000000.0,HEPG2
GM12878_r1e6_s46,0.314,16415,869839844,13831,13831,89006461,685667,314333,1000000,reads,46,1000000.0,GM12878
SKNSH_r1e6_s68,0.289,44136,974685117,16578,16578,83063863,711339,288661,1000000,reads,68,1000000.0,SKNSH
GM12878_r1e6_s83,0.313,16413,869839844,13833,13833,89109875,686598,313402,1000000,reads,83,1000000.0,GM12878
MCF7_r1e6_s67,0.282,19629,575400481,12674,12674,79085778,717702,282298,1000000,reads,67,1000000.0,MCF7
MCF7_r5e8_s83,0.286,0,76400481,32303,32303,76400481,356874735,143125265,500000000,reads,83,500000000.0,MCF7
HEPG2_r5e8_s59,0.288,0,138153752,25043,25043,138153752,355848042,144151958,500000000,reads,59,500000000.0,HEPG2
GM12878_r5e8_s14,0.32,0,370839844,30246,30241,370839844,339804406,160195594,500000000,reads,14,500000000.0,GM12878
MCF7_r5e8_s11,0.286,0,76400481,32303,32303,76400481,356881534,143118466,500000000,reads,11,500000000.0,MCF7
GM12878_r5e8_s15,0.32,0,370839844,30246,30239,370839844,339803853,160196147,500000000,reads,15,500000000.0,GM12878
SKNSH_r5e8_s14,0.287,0,475685117,60714,60714,475685117,356351682,143648318,500000000,reads,14,500000000.0,SKNSH
GM12878_r5e8_s57,0.32,0,370839844,30246,30238,370839844,339805039,160194961,500000000,reads,57,500000000.0,GM12878
K562_r5e8_s71,0.302,0,236229316,48060,48060,236229316,348873417,151126583,500000000,reads,71,500000000.0,K562
HEPG2_r5e8_s9,0.288,0,138153752,25043,25042,138153752,355847293,144152707,500000000,reads,9,500000000.0,HEPG2
SKNSH_r5e8_s69,0.287,0,475685117,60714,60714,475685117,356354282,143645718,500000000,reads,69,500000000.0,SKNSH
K562_r5e8_s63,0.302,0,236229316,48060,48060,236229316,348865628,151134372,500000000,reads,63,500000000.0,K562
SKNSH_r5e8_s32,0.287,0,475685117,60714,60714,475685117,356370695,143629305,500000000,reads,32,500000000.0,SKNSH
HEPG2_r5e8_s31,0.288,0,138153752,25043,25043,138153752,355853129,144146871,500000000,reads,31,500000000.0,HEPG2
K562_r5e8_s8,0.302,0,236229316,48060,48060,236229316,348871913,151128087,500000000,reads,8,500000000.0,K562
MCF7_r5e8_s38,0.286,0,76400481,32303,32303,76400481,356877264,143122736,500000000,reads,38,500000000.0,MCF7
GM12878_r1e7_s65,0.315,4724,860839844,25522,25522,277829820,6845725,3154275,10000000,reads,65,10000000.0,GM12878
MCF7_r1e7_s81,0.287,4453,566400481,27850,27850,337244984,7129552,2870448,10000000,reads,81,10000000.0,MCF7
MCF7_r1e7_s84,0.287,4443,566400481,27860,27860,337725697,7128877,2871123,10000000,reads,84,10000000.0,MCF7
HEPG2_r1e7_s79,0.283,3909,628153752,21134,21134,396093441,7171539,2828461,10000000,reads,79,10000000.0,HEPG2
GM12878_r1e7_s61,0.316,4733,860839844,25513,25513,277333872,6844136,3155864,10000000,reads,61,10000000.0,GM12878
SKNSH_r1e7_s33,0.291,12575,965685117,48139,48139,545310006,7087865,2912135,10000000,reads,33,10000000.0,SKNSH
SKNSH_r1e7_s84,0.291,12528,965685117,48186,48186,546632699,7087860,2912140,10000000,reads,84,10000000.0,SKNSH
HEPG2_r1e7_s61,0.283,3946,628153752,21097,21097,394383194,7171720,2828280,10000000,reads,61,10000000.0,HEPG2
K562_r1e7_s12,0.304,10990,726229316,37070,37070,359195702,6962503,3037497,10000000,reads,12,10000000.0,K562
GM12878_r1e7_s1,0.316,4746,860839844,25500,25500,277171126,6842215,3157785,10000000,reads,1,10000000.0,GM12878
MCF7_r1e7_s24,0.287,4425,566400481,27878,27878,338078731,7130833,2869167,10000000,reads,24,10000000.0,MCF7
K562_r1e7_s24,0.304,10965,726229316,37095,37095,359879097,6959267,3040733,10000000,reads,24,10000000.0,K562
K562_r1e7_s6,0.304,10909,726229316,37151,37151,360976025,6962926,3037074,10000000,reads,6,10000000.0,K562
SKNSH_r1e7_s34,0.291,12601,965685117,48113,48113,544987742,7088902,2911098,10000000,reads,34,10000000.0,SKNSH
HEPG2_r1e7_s62,0.283,3920,628153752,21123,21123,395578662,7171193,2828807,10000000,reads,62,10000000.0,HEPG2
HEPG2_r5e6_s55,0.281,8664,633153752,16379,16379,228380119,3595162,1404838,5000000,reads,55,5000000.0,HEPG2
GM12878_r5e6_s66,0.315,6930,865839844,23316,23316,226030969,3424517,1575483,5000000,reads,66,5000000.0,GM12878
SKNSH_r5e6_s7,0.29,23196,970685117,37518,37518,341621661,3548939,1451061,5000000,reads,7,5000000.0,SKNSH
HEPG2_r5e6_s21,0.281,8657,633153752,16386,16386,228677662,3593751,1406249,5000000,reads,21,5000000.0,HEPG2
GM12878_r5e6_s30,0.315,6941,865839844,23305,23305,225871004,3424125,1575875,5000000,reads,30,5000000.0,GM12878
K562_r5e6_s44,0.303,18098,731229316,29962,29962,228298088,3486007,1513993,5000000,reads,44,5000000.0,K562
K562_r5e6_s42,0.303,18062,731229316,29998,29998,228984865,3485622,1514378,5000000,reads,42,5000000.0,K562
HEPG2_r5e6_s92,0.281,8679,633153752,16364,16364,228133665,3593876,1406124,5000000,reads,92,5000000.0,HEPG2
SKNSH_r5e6_s75,0.29,23366,970685117,37348,37348,338744125,3549989,1450011,5000000,reads,75,5000000.0,SKNSH
MCF7_r5e6_s92,0.286,7732,571400481,24571,24571,257694478,3572335,1427665,5000000,reads,92,5000000.0,MCF7
SKNSH_r5e6_s25,0.29,23160,970685117,37554,37554,342423637,3549351,1450649,5000000,reads,25,5000000.0,SKNSH
MCF7_r5e6_s16,0.286,7785,571400481,24518,24518,256488452,3569433,1430567,5000000,reads,16,5000000.0,MCF7
GM12878_r5e6_s50,0.315,6912,865839844,23334,23334,226412785,3424002,1575998,5000000,reads,50,5000000.0,GM12878
K562_r5e6_s88,0.303,18052,731229316,30008,30008,229123570,3485704,1514296,5000000,reads,88,5000000.0,K562
MCF7_r5e6_s85,0.286,7814,571400481,24489,24489,255754234,3571921,1428079,5000000,reads,85,5000000.0,MCF7
MCF7_r5e7_s57,0.288,469,526400481,31834,31834,481886760,35578558,14421442,50000000,reads,57,50000000.0,MCF7
SKNSH_r5e7_s36,0.291,861,925685117,59853,59853,867486612,35439545,14560455,50000000,reads,36,50000000.0,SKNSH
SKNSH_r5e7_s41,0.291,833,925685117,59881,59881,868967914,35444755,14555245,50000000,reads,41,50000000.0,SKNSH
GM12878_r5e7_s79,0.317,634,820839844,29612,29612,424880111,34167892,15832108,50000000,reads,79,50000000.0,GM12878
GM12878_r5e7_s20,0.317,632,820839844,29614,29614,425098491,34163697,15836303,50000000,reads,20,50000000.0,GM12878
HEPG2_r5e7_s95,0.288,52,588153752,24991,24991,581402458,35577772,14422228,50000000,reads,95,50000000.0,HEPG2
MCF7_r5e7_s81,0.289,461,526400481,31842,31842,482651882,35571724,14428276,50000000,reads,81,50000000.0,MCF7
K562_r5e7_s87,0.306,309,686229316,47751,47751,666128136,34711725,15288275,50000000,reads,87,50000000.0,K562
SKNSH_r5e7_s42,0.291,882,925685117,59832,59832,866462474,35436583,14563417,50000000,reads,42,50000000.0,SKNSH
MCF7_r5e7_s21,0.288,466,526400481,31837,31837,482145343,35575489,14424511,50000000,reads,21,50000000.0,MCF7
GM12878_r5e7_s72,0.317,654,820839844,29592,29592,423322528,34164442,15835558,50000000,reads,72,50000000.0,GM12878
K562_r5e7_s35,0.306,294,686229316,47766,47766,666976224,34709703,15290297,50000000,reads,35,50000000.0,K562
HEPG2_r5e7_s76,0.288,46,588153752,24997,24997,582131573,35578383,14421617,50000000,reads,76,50000000.0,HEPG2
K562_r5e7_s68,0.306,304,686229316,47756,47756,666395593,34712646,15287354,50000000,reads,68,50000000.0,K562
HEPG2_r5e7_s39,0.288,50,588153752,24993,24993,581650924,35578021,14421979,50000000,reads,39,50000000.0,HEPG2
