,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line
MCF7_f025_s28,0.25,0,27405389,32303,32259,27405389,411746319,137248773,548995092,frip,28,0.25,MCF7
HEPG2_f025_s76,0.25,0,31893724,25043,24996,31893724,454695021,151565007,606260028,frip,76,0.25,HEPG2
SKNSH_f025_s74,0.25,0,46040164,60714,60696,46040164,697233715,232411238,929644953,frip,74,0.25,SKNSH
HEPG2_f025_s88,0.25,0,31893724,25043,24996,31893724,454695021,151565007,606260028,frip,88,0.25,HEPG2
SKNSH_f025_s18,0.25,0,46040164,60714,60697,46040164,697233715,232411238,929644953,frip,18,0.25,SKNSH
MCF7_f025_s89,0.25,0,27405389,32303,32245,27405389,411746319,137248773,548995092,frip,89,0.25,MCF7
MCF7_f025_s90,0.25,0,27405389,32303,32254,27405389,411746319,137248773,548995092,frip,90,0.25,MCF7
GM12878_f025_s77,0.25,0,90060209,30246,29508,90060209,585584726,195194909,780779635,frip,77,0.25,GM12878
HEPG2_f025_s9,0.25,0,31893724,25043,24995,31893724,454695021,151565007,606260028,frip,9,0.25,HEPG2
GM12878_f025_s10,0.25,0,90060209,30246,29549,90060209,585584726,195194909,780779635,frip,10,0.25,GM12878
K562_f025_s2,0.25,0,49827265,48060,48042,49827265,514801538,171600513,686402051,frip,2,0.25,K562
K562_f025_s4,0.25,0,49827265,48060,48045,49827265,514801538,171600513,686402051,frip,4,0.25,K562
K562_f025_s95,0.25,0,49827265,48060,48043,49827265,514801538,171600513,686402051,frip,95,0.25,K562
GM12878_f025_s40,0.25,0,90060209,30246,29500,90060209,585584726,195194909,780779635,frip,40,0.25,GM12878
SKNSH_f025_s47,0.25,0,46040164,60714,60686,46040164,697233715,232411238,929644953,frip,47,0.25,SKNSH
SKNSH_f08_s86,0.8,0,627620865,60714,60714,627620865,69612850,278451402,348064252,frip,86,0.8,SKNSH
K562_f08_s10,0.8,0,459444594,48060,48060,459444594,55356944,221427778,276784722,frip,10,0.8,K562
GM12878_f08_s86,0.8,0,514270947,30246,30246,514270947,71313779,285255118,356568897,frip,86,0.8,GM12878
GM12878_f08_s18,0.8,0,514270947,30246,30246,514270947,71313779,285255118,356568897,frip,18,0.8,GM12878
K562_f08_s66,0.8,0,459444594,48060,48060,459444594,55356944,221427778,276784722,frip,66,0.8,K562
K562_f08_s27,0.8,0,459444594,48060,48060,459444594,55356944,221427778,276784722,frip,27,0.8,K562
HEPG2_f08_s64,0.8,0,408830338,25043,25043,408830338,45864683,183458731,229323414,frip,64,0.8,HEPG2
MCF7_f08_s96,0.8,0,370582779,32303,32303,370582779,41163540,164654162,205817702,frip,96,0.8,MCF7
HEPG2_f08_s22,0.8,0,408830338,25043,25043,408830338,45864683,183458731,229323414,frip,22,0.8,HEPG2
MCF7_f08_s40,0.8,0,370582779,32303,32303,370582779,41163540,164654162,205817702,frip,40,0.8,MCF7
SKNSH_f08_s49,0.8,0,627620865,60714,60714,627620865,69612850,278451402,348064252,frip,49,0.8,SKNSH
SKNSH_f08_s55,0.8,0,627620865,60714,60714,627620865,69612850,278451402,348064252,frip,55,0.8,SKNSH
MCF7_f08_s13,0.8,0,370582779,32303,32303,370582779,41163540,164654162,205817702,frip,13,0.8,MCF7
HEPG2_f08_s77,0.8,0,408830338,25043,25043,408830338,45864683,183458731,229323414,frip,77,0.8,HEPG2
GM12878_f08_s85,0.8,0,514270947,30246,30246,514270947,71313779,285255118,356568897,frip,85,0.8,GM12878
SKNSH_f02_s80,0.2,0,104142973,60714,60712,104142973,697233715,174308429,871542144,frip,80,0.2,SKNSH
K562_f02_s83,0.2,0,92727394,48060,48057,92727394,514801538,128700384,643501922,frip,83,0.2,K562
SKNSH_f02_s52,0.2,0,104142973,60714,60713,104142973,697233715,174308429,871542144,frip,52,0.2,SKNSH
HEPG2_f02_s7,0.2,0,69784976,25043,25034,69784976,454695021,113673755,568368776,frip,7,0.2,HEPG2
HEPG2_f02_s88,0.2,0,69784976,25043,25036,69784976,454695021,113673755,568368776,frip,88,0.2,HEPG2
MCF7_f02_s27,0.2,0,61717582,32303,32295,61717582,411746319,102936580,514682899,frip,27,0.2,MCF7
MCF7_f02_s59,0.2,0,61717582,32303,32296,61717582,411746319,102936580,514682899,frip,59,0.2,MCF7
HEPG2_f02_s75,0.2,0,69784976,25043,25032,69784976,454695021,113673755,568368776,frip,75,0.2,HEPG2
K562_f02_s53,0.2,0,92727394,48060,48058,92727394,514801538,128700384,643501922,frip,53,0.2,K562
GM12878_f02_s49,0.2,0,138858936,30246,30131,138858936,585584726,146396182,731980908,frip,49,0.2,GM12878
MCF7_f02_s49,0.2,0,61717582,32303,32294,61717582,411746319,102936580,514682899,frip,49,0.2,MCF7
GM12878_f02_s76,0.2,0,138858936,30246,30146,138858936,585584726,146396182,731980908,frip,76,0.2,GM12878
GM12878_f02_s42,0.2,0,138858936,30246,30142,138858936,585584726,146396182,731980908,frip,42,0.2,GM12878
K562_f02_s33,0.2,0,92727394,48060,48058,92727394,514801538,128700384,643501922,frip,33,0.2,K562
SKNSH_f02_s88,0.2,0,104142973,60714,60712,104142973,697233715,174308429,871542144,frip,88,0.2,SKNSH
SKNSH_f035_s44,0.35,0,180109683,60714,60714,180109683,517124032,278451402,795575434,frip,44,0.35,SKNSH
HEPG2_f035_s1,0.35,0,113985949,25043,25043,113985949,340709072,183458731,524167803,frip,1,0.35,HEPG2
GM12878_f035_s83,0.35,0,55825221,30246,28777,55825221,529759505,285255118,815014623,frip,83,0.35,GM12878
K562_f035_s96,0.35,0,103578522,48060,48059,103578522,411223016,221427778,632650794,frip,96,0.35,K562
HEPG2_f035_s15,0.35,0,113985949,25043,25043,113985949,340709072,183458731,524167803,frip,15,0.35,HEPG2
K562_f035_s18,0.35,0,103578522,48060,48060,103578522,411223016,221427778,632650794,frip,18,0.35,K562
MCF7_f035_s26,0.35,0,105960018,32303,32303,105960018,305786301,164654162,470440463,frip,26,0.35,MCF7
GM12878_f035_s87,0.35,0,55825221,30246,28792,55825221,529759505,285255118,815014623,frip,87,0.35,GM12878
SKNSH_f035_s99,0.35,0,180109683,60714,60714,180109683,517124032,278451402,795575434,frip,99,0.35,SKNSH
HEPG2_f035_s73,0.35,0,113985949,25043,25043,113985949,340709072,183458731,524167803,frip,73,0.35,HEPG2
SKNSH_f035_s84,0.35,0,180109683,60714,60714,180109683,517124032,278451402,795575434,frip,84,0.35,SKNSH
GM12878_f035_s36,0.35,0,55825221,30246,28769,55825221,529759505,285255118,815014623,frip,36,0.35,GM12878
K562_f035_s49,0.35,0,103578522,48060,48060,103578522,411223016,221427778,632650794,frip,49,0.35,K562
MCF7_f035_s34,0.35,0,105960018,32303,32303,105960018,305786301,164654162,470440463,frip,34,0.35,MCF7
MCF7_f035_s36,0.35,0,105960018,32303,32303,105960018,305786301,164654162,470440463,frip,36,0.35,MCF7
HEPG2_f06_s42,0.6,0,332389200,25043,25043,332389200,122305821,183458731,305764552,frip,42,0.6,HEPG2
SKNSH_f06_s9,0.6,0,511599447,60714,60714,511599447,185634268,278451402,464085670,frip,9,0.6,SKNSH
K562_f06_s49,0.6,0,367183019,48060,48060,367183019,147618519,221427778,369046297,frip,49,0.6,K562
SKNSH_f06_s13,0.6,0,511599447,60714,60714,511599447,185634268,278451402,464085670,frip,13,0.6,SKNSH
MCF7_f06_s37,0.6,0,301976878,32303,32303,301976878,109769441,164654162,274423603,frip,37,0.6,MCF7
K562_f06_s32,0.6,0,367183019,48060,48060,367183019,147618519,221427778,369046297,frip,32,0.6,K562
HEPG2_f06_s67,0.6,0,332389200,25043,25043,332389200,122305821,183458731,305764552,frip,67,0.6,HEPG2
MCF7_f06_s78,0.6,0,301976878,32303,32303,301976878,109769441,164654162,274423603,frip,78,0.6,MCF7
K562_f06_s78,0.6,0,367183019,48060,48060,367183019,147618519,221427778,369046297,frip,78,0.6,K562
GM12878_f06_s13,0.6,0,395414647,30246,30246,395414647,190170079,285255118,475425197,frip,13,0.6,GM12878
GM12878_f06_s82,0.6,0,395414647,30246,30246,395414647,190170079,285255118,475425197,frip,82,0.6,GM12878
GM12878_f06_s35,0.6,0,395414647,30246,30246,395414647,190170079,285255118,475425197,frip,35,0.6,GM12878
HEPG2_f06_s96,0.6,0,332389200,25043,25043,332389200,122305821,183458731,305764552,frip,96,0.6,HEPG2
