ComboID,value,Npeakpairs,mean_pearson_corr,sse_pearson_corr,dominant_cell_line,dominant_cell_line_perc,closest_cell_line,cell_line_dist,Ncells,dist_to_*,cell_line_proportions,sampling_type,filename,Nreadpairs,Nnonpeakpairs,FRIP
0,5e7,46056382,0.7456426162107861,0.0038732938576365268,HEPG2,100.0,GM12878,0.13619474126201525,2500,HEPG2,{'HEPG2': 2500},cell_sim,combo_0.bam,244896623,198840241,0.1880645859293862
1,5e7,49710263,0.6998757970239624,0.006957867074549581,HEPG2,100.0,GM12878,0.16255207731327603,3500,HEPG2,{'HEPG2': 3500},cell_sim,combo_1.bam,261243343,211533080,0.19028336733541187
10,5e7,49999569,0.6443350894499021,0.010007595699001153,MCF7,100.0,GM12878,0.19675405607598973,4000,MCF7,{'MCF7': 4000},cell_sim,combo_10.bam,232491176,182491607,0.21506007178526207
11,5e7,49999766,0.541886947732434,0.00873240422001806,SKNSH,100.0,GM12878,0.2635095872814206,7000,SKNSH,{'SKNSH': 7000},cell_sim,combo_11.bam,262889789,212890023,0.1901928796481327
12,5e7,50000365,0.6107837038750147,0.014310604836625952,MCF7,100.0,GM12878,0.21727445028441217,4000,MCF7,{'MCF7': 4000},cell_sim,combo_12.bam,232698986,182698621,0.21487143480719764
13,5e7,50001200,0.4895133655589745,0.015768178353519468,SKNSH,68.33333333333333,GM12878,0.6257971835045039,6000,K562,"{'SKNSH': 4100, 'A549': 1900}",cell_sim,combo_13.bam,248178614,198177414,0.20147263776724936
13,50000000.0,50001200,0.4895133655589745,0.015768178353519468,SKNSH,68.33333333333333,GM12878,0.6941398077195398,6000,HEPG2,"{'SKNSH': 4100, 'A549': 1900}",cell_sim,combo_13.bam,248178614,198177414,0.20147263776724936
13,50000000.0,50001200,0.4895133655589745,0.015768178353519468,SKNSH,68.33333333333333,GM12878,0.3238342054399602,6000,SKNSH,"{'SKNSH': 4100, 'A549': 1900}",cell_sim,combo_13.bam,248178614,198177414,0.20147263776724936
14,5e7,50003355,0.345183363110328,0.02783167398745127,SKNSH,51.66666666666667,GM12878,0.5668941047695247,6000,K562,"{'SKNSH': 3100, 'K562': 1500, 'MCF7': 900, 'HEPG2': 500}",cell_sim,combo_14.bam,252983160,202979805,0.19765487552610222
14,50000000.0,50003355,0.345183363110328,0.02783167398745127,SKNSH,51.66666666666667,GM12878,0.4672767748388229,6000,SKNSH,"{'SKNSH': 3100, 'K562': 1500, 'MCF7': 900, 'HEPG2': 500}",cell_sim,combo_14.bam,252983160,202979805,0.19765487552610222
15,5e7,50003503,0.45084705628389815,0.04035379685746543,K562,62.5,PC9,0.3791686531183416,4000,K562,"{'K562': 2500, 'HEPG2': 1500}",cell_sim,combo_15.bam,257419458,207415955,0.19424911927209482
16,5e7,50004873,0.6672859524119594,0.013716659945326915,HEPG2,100.0,GM12878,0.1823308341293458,3500,HEPG2,{'HEPG2': 3500},cell_sim,combo_16.bam,264843338,214838465,0.1888092537181358
17,1e8,99903746,0.5453751714476209,0.01082505043044578,SKNSH,100.0,GM12878,0.26124797731960514,13500,SKNSH,{'SKNSH': 13500},cell_sim,combo_17.bam,517869946,417966200,0.19291280903951125
18,1e8,99965969,0.39955280477844163,0.03717528083979363,K562,54.0,GM12878,0.4537522940928702,10000,K562,"{'K562': 5400, 'HEPG2': 4600}",cell_sim,combo_18.bam,520968976,421003007,0.19188468719872487
19,1e8,99988729,0.44650329420042867,0.03738603074974062,K562,57.77777777777777,PC9,0.4608666187377425,9000,HEPG2,"{'K562': 5200, 'HEPG2': 3800}",cell_sim,combo_19.bam,518813131,418824402,0.19272590269115605
2,5e7,49945280,0.4512758365181689,0.04356461645644391,HEPG2,50.0,GM12878,0.4388161986910317,4000,K562,"{'HEPG2': 2000, 'K562': 2000}",cell_sim,combo_2.bam,261428331,211483051,0.19104769482692371
20,1e8,99996235,0.4580684257142102,0.03789655776822548,K562,65.55555555555556,PC9,0.3682977794444937,9000,K562,"{'K562': 5900, 'HEPG2': 3100}",cell_sim,combo_20.bam,518526207,418529972,0.1928470222913921
21,1e8,99998513,0.4113615872153256,0.03582831469139618,K562,63.0,PC9,0.4096441064048807,10000,K562,"{'K562': 6300, 'HEPG2': 3700}",cell_sim,combo_21.bam,522304481,422305968,0.19145635666104882
22,1e8,99999005,0.5684937655060364,0.015079911793817936,K562,100.0,CALU3,0.24626195079526725,11500,K562,{'K562': 11500},cell_sim,combo_22.bam,510701485,410702480,0.19580715532871418
23,1e8,99999154,0.5839153653123835,0.00977834477140135,SKNSH,100.0,GM12878,0.23536286042302224,11500,SKNSH,{'SKNSH': 11500},cell_sim,combo_23.bam,518827408,418828254,0.19274069268137045
24,1e8,99999383,0.49799222913433044,0.014454423031829098,SKNSH,67.5,GM12878,0.6727048396842423,12000,MCF7,"{'SKNSH': 8100, 'A549': 3900}",cell_sim,combo_24.bam,496715040,396715657,0.20132143170055813
24,1e8,99999383,0.49799222913433044,0.014454423031829098,SKNSH,67.5,GM12878,0.3199988084964446,12000,SKNSH,"{'SKNSH': 8100, 'A549': 3900}",cell_sim,combo_24.bam,496715040,396715657,0.20132143170055813
24,100000000.0,99999383,0.49799222913433044,0.014454423031829098,SKNSH,67.5,GM12878,0.6202536531100737,12000,K562,"{'SKNSH': 8100, 'A549': 3900}",cell_sim,combo_24.bam,496715040,396715657,0.20132143170055813
25,1e8,100001129,0.3247681218183853,0.027674624796066555,SKNSH,34.54545454545455,GM12878,0.5472142408685903,11000,K562,"{'SKNSH': 3800, 'K562': 3400, 'MCF7': 2300, 'HEPG2': 1500}",cell_sim,combo_25.bam,505101062,405099933,0.19798241683364348
26,1e8,100001158,0.6223754816616806,0.011444250360344568,MCF7,100.0,GM12878,0.21047733282559622,9000,MCF7,{'MCF7': 9000},cell_sim,combo_26.bam,456392188,356391030,0.21911233502533134
27,1e8,100002281,0.30054868746810237,0.02472308314598076,SKNSH,28.000000000000004,CALU3,0.5906970856738645,10000,K562,"{'SKNSH': 2800, 'K562': 1800, 'GM12878': 1400, 'MCF7': 1100, 'OCILY7': 1000, 'HEPG2': 500, 'A549': 500, 'PC9': 300, 'MCF10A': 300, 'CALU3': 200, 'IMR90': 100}",cell_sim,combo_27.bam,499414107,399411826,0.2002391994906143
28,1e8,100003957,0.651053546791101,0.013880265131299894,HEPG2,100.0,GM12878,0.19234054958839308,7500,HEPG2,{'HEPG2': 7500},cell_sim,combo_28.bam,524982617,424978660,0.19049003483481053
29,1e8,100006509,0.5064863002132294,0.017944498254283334,SKNSH,75.83333333333333,GM12878,0.30053658397029437,12000,SKNSH,"{'SKNSH': 9100, 'A549': 2900}",cell_sim,combo_29.bam,504221420,404214911,0.1983384779647005
3,5e7,49975844,0.4186689162620031,0.036693211261232705,K562,60.0,PC9,0.41861719334855185,5000,K562,"{'K562': 3000, 'HEPG2': 2000}",cell_sim,combo_3.bam,259615423,209639579,0.19249951879784893
30,1e8,100012752,0.5203781623721737,0.016022001655296506,SKNSH,74.54545454545455,GM12878,0.29314852128489344,11000,SKNSH,"{'SKNSH': 8200, 'A549': 2800}",cell_sim,combo_30.bam,504279338,404266586,0.1983280782366697
31,1e8,100016020,0.47418286351676975,0.016811724257379774,SKNSH,68.46153846153847,GM12878,0.33389600718500234,13000,SKNSH,"{'SKNSH': 8900, 'A549': 4100}",cell_sim,combo_31.bam,502464513,402448493,0.1990509128751148
32,100000000.0,100024748,0.4202139398578939,0.03439171242855892,K562,69.0909090909091,CALU3,0.7101971943848366,11000,MCF7,"{'K562': 7600, 'HEPG2': 3400}",cell_sim,combo_32.bam,519816874,419792126,0.19242304935256874
33,1e8,100063891,0.6745992596356691,0.012050517953400874,HEPG2,100.0,GM12878,0.17787430040082952,7000,HEPG2,{'HEPG2': 7000},cell_sim,combo_33.bam,530994751,430930860,0.18844610198416067
34,1e8,105205559,0.7061922114796364,0.009518637786967937,HEPG2,100.0,GM12878,0.15903677787235448,7000,HEPG2,{'HEPG2': 7000},cell_sim,combo_34.bam,551313655,446108096,0.19082705107313186
35,1.5e8,134467163,0.6953570598843165,0.01120209552532303,HEPG2,100.0,GM12878,0.16538777288769135,9000,HEPG2,{'HEPG2': 9000},cell_sim,combo_35.bam,705975222,571508059,0.19047008848137734
36,1.5e8,149885677,0.6645729568795075,0.01292447597348234,HEPG2,100.0,GM12878,0.1840796969015629,11000,HEPG2,{'HEPG2': 11000},cell_sim,combo_36.bam,785736030,635850353,0.19075830975957664
37,1.5e8,149945961,0.5460979305395199,0.016680053980945443,K562,100.0,CALU3,0.26125198060567445,18000,K562,{'K562': 18000},cell_sim,combo_37.bam,764011480,614065519,0.1962613977999388
38,1.5e8,149993283,0.5122042293127151,0.01439012908222532,SKNSH,70.58823529411765,GM12878,0.30561696471841826,17000,SKNSH,"{'SKNSH': 12000, 'A549': 5000}",cell_sim,combo_38.bam,741981158,591987875,0.2021524150347764
39,1.5e8,149993814,0.49940047888714795,0.015153363499388612,SKNSH,71.11111111111111,GM12878,0.31435304111782203,18000,SKNSH,"{'SKNSH': 12800, 'A549': 5200}",cell_sim,combo_39.bam,742191279,592197465,0.20209589932408786
4,5e7,49985003,0.31402683978853035,0.023009780804575546,SKNSH,32.0,CALU3,0.7115555221553905,5000,HEPG2,"{'SKNSH': 1600, 'K562': 900, 'GM12878': 600, 'A549': 500, 'OCILY7': 500, 'MCF7': 500, 'CALU3': 100, 'HEPG2': 100, 'IMR90': 100, 'MCF10A': 100}",cell_sim,combo_4.bam,268269098,218284095,0.18632411773345584
40,1.5e8,149995838,0.6134494383083693,0.010187642318831581,MCF7,100.0,GM12878,0.21657815464272756,14500,MCF7,{'MCF7': 14500},cell_sim,combo_40.bam,684028490,534032652,0.21928302723180434
41,1.5e8,149995985,0.520588057115826,0.01475320632776773,SKNSH,75.29411764705883,GM12878,0.29281742903576524,17000,SKNSH,"{'SKNSH': 12800, 'A549': 4200}",cell_sim,combo_41.bam,747895644,597899659,0.2005573721458926
42,1.5e8,149998754,0.3159974858084976,0.022494154297918314,SKNSH,28.57142857142857,CALU3,0.5356967574491589,14000,SKNSH,"{'SKNSH': 4000, 'K562': 2300, 'GM12878': 1800, 'A549': 1600, 'HEPG2': 1600, 'MCF7': 1200, 'OCILY7': 500, 'CALU3': 400, 'PC9': 400, 'MCF10A': 200}",cell_sim,combo_42.bam,766626157,616627403,0.19566088716171995
42,1.5e8,149998754,0.3159974858084976,0.022494154297918314,SKNSH,28.57142857142857,CALU3,0.6512214709306188,14000,HEPG2,"{'SKNSH': 4000, 'K562': 2300, 'GM12878': 1800, 'A549': 1600, 'HEPG2': 1600, 'MCF7': 1200, 'OCILY7': 500, 'CALU3': 400, 'PC9': 400, 'MCF10A': 200}",cell_sim,combo_42.bam,766626157,616627403,0.19566088716171995
42,1.5e8,149998754,0.3159974858084976,0.022494154297918314,SKNSH,28.57142857142857,CALU3,0.5827007173157221,14000,K562,"{'SKNSH': 4000, 'K562': 2300, 'GM12878': 1800, 'A549': 1600, 'HEPG2': 1600, 'MCF7': 1200, 'OCILY7': 500, 'CALU3': 400, 'PC9': 400, 'MCF10A': 200}",cell_sim,combo_42.bam,766626157,616627403,0.19566088716171995
43,1.5e8,149998772,0.637261753061289,0.006551016440401052,MCF7,100.0,GM12878,0.20138370569807762,13000,MCF7,{'MCF7': 13000},cell_sim,combo_43.bam,691911076,541912304,0.21678908923839804
44,1.5e8,150000808,0.5595334020835673,0.01784616479686709,K562,100.0,CALU3,0.25178840708000993,16500,K562,{'K562': 16500},cell_sim,combo_44.bam,763717924,613717116,0.19640865205096325
45,1.5e8,150001146,0.4353424553644537,0.03441952331993591,K562,68.66666666666667,PC9,0.5272187868780183,15000,HEPG2,"{'K562': 10300, 'HEPG2': 4700}",cell_sim,combo_45.bam,776559477,626558331,0.19316118139396551
45,1.5e8,150001146,0.4353424553644537,0.03441952331993591,K562,68.66666666666667,PC9,0.3814353212488827,15000,K562,"{'K562': 10300, 'HEPG2': 4700}",cell_sim,combo_45.bam,776559477,626558331,0.19316118139396551
46,1.5e8,150001922,0.33891823676368804,0.029422296430294176,K562,35.333333333333336,GM12878,0.6248171470811226,15000,HEPG2,"{'K562': 5300, 'SKNSH': 4700, 'MCF7': 2600, 'HEPG2': 2400}",cell_sim,combo_46.bam,755337345,605335423,0.19858930978713887
47,1.5e8,150003152,0.43264853675135423,0.03749174690771258,K562,63.57142857142857,PC9,0.3945724938714589,14000,K562,"{'K562': 8900, 'HEPG2': 5100}",cell_sim,combo_47.bam,778213574,628210422,0.19275319399658788
48,1.5e8,150005222,0.41428275764783906,0.037186429856296,K562,57.14285714285714,GM12878,0.4756601774728596,14000,HEPG2,"{'K562': 8000, 'HEPG2': 6000}",cell_sim,combo_48.bam,778247005,628241783,0.19274757376033846
48,150000000.0,150005222,0.41428275764783906,0.037186429856296,K562,57.14285714285714,GM12878,0.43736031527661046,14000,K562,"{'K562': 8000, 'HEPG2': 6000}",cell_sim,combo_48.bam,778247005,628241783,0.19274757376033846
49,150000000.0,150011344,0.4584058797382135,0.03865317463031995,K562,72.85714285714285,CALU3,0.3481236671357669,14000,K562,"{'K562': 10200, 'HEPG2': 3800}",cell_sim,combo_49.bam,775729294,625717950,0.1933810482088098
5,5e7,49991886,0.5206088264326152,0.011994975056310253,SKNSH,80.0,GM12878,0.2874893228678105,6000,SKNSH,"{'SKNSH': 4800, 'A549': 1200}",cell_sim,combo_5.bam,253015282,203023396,0.19758445262606708
50,1.5e8,150238964,0.41663327092215674,0.033788797363781195,K562,68.125,PC9,0.7112165653518416,16000,MCF7,"{'K562': 10900, 'HEPG2': 5100}",cell_sim,combo_50.bam,774306812,624067848,0.19403027543040652
51,2e8,191902089,0.4107491384929268,0.035898750859351757,K562,64.73684210526316,PC9,0.7118679293835536,19000,MCF7,"{'K562': 12300, 'HEPG2': 6700}",cell_sim,combo_51.bam,998968725,807066636,0.19210019713079607
52,2e8,197248774,0.5770901710794234,0.017507195804790713,K562,100.0,CALU3,0.23982630537026872,19500,K562,{'K562': 19500},cell_sim,combo_52.bam,1002765692,805516918,0.19670474924864104
53,2e8,197754635,0.4161206356678985,0.03633580942659528,K562,58.94736842105262,PC9,0.42550379176591824,19000,K562,"{'K562': 11200, 'HEPG2': 7800}",cell_sim,combo_53.bam,1027530524,829775889,0.19245621456594314
54,2e8,199740031,0.6661885445964514,0.015525678317080467,HEPG2,100.0,GM12878,0.18304415943309071,14000,HEPG2,{'HEPG2': 14000},cell_sim,combo_54.bam,1047526274,847786243,0.19067782446858225
55,2e8,199993167,0.31403559571604595,0.02247198615196829,SKNSH,22.63157894736842,CALU3,0.573872353556615,19000,K562,"{'SKNSH': 4300, 'K562': 3700, 'A549': 2300, 'GM12878': 2300, 'MCF7': 2200, 'HEPG2': 2000, 'MCF10A': 1000, 'PC9': 600, 'OCILY7': 300, 'CALU3': 200, 'IMR90': 100}",cell_sim,combo_55.bam,1074828921,874835754,0.18606976709738163
55,2e8,199993167,0.31403559571604595,0.02247198615196829,SKNSH,22.63157894736842,CALU3,0.6535686518891112,19000,HEPG2,"{'SKNSH': 4300, 'K562': 3700, 'A549': 2300, 'GM12878': 2300, 'MCF7': 2200, 'HEPG2': 2000, 'MCF10A': 1000, 'PC9': 600, 'OCILY7': 300, 'CALU3': 200, 'IMR90': 100}",cell_sim,combo_55.bam,1074828921,874835754,0.18606976709738163
55,2e8,199993167,0.31403559571604595,0.02247198615196829,SKNSH,22.63157894736842,CALU3,0.5500585392089304,19000,SKNSH,"{'SKNSH': 4300, 'K562': 3700, 'A549': 2300, 'GM12878': 2300, 'MCF7': 2200, 'HEPG2': 2000, 'MCF10A': 1000, 'PC9': 600, 'OCILY7': 300, 'CALU3': 200, 'IMR90': 100}",cell_sim,combo_55.bam,1074828921,874835754,0.18606976709738163
56,2e8,199994384,0.4317612246161776,0.03753531669776303,K562,63.1578947368421,PC9,0.39720353527039953,19000,K562,"{'K562': 12000, 'HEPG2': 7000}",cell_sim,combo_56.bam,1029836837,829842453,0.19420006821915617
56,200000000.0,199994384,0.4317612246161776,0.03753531669776303,K562,63.1578947368421,PC9,0.505042010462867,19000,HEPG2,"{'K562': 12000, 'HEPG2': 7000}",cell_sim,combo_56.bam,1029836837,829842453,0.19420006821915617
57,200000000.0,199995313,0.6590024759648417,0.015576779665236132,HEPG2,100.0,GM12878,0.18746543450647157,14500,HEPG2,{'HEPG2': 14500},cell_sim,combo_57.bam,1050056351,850061038,0.19046150505117035
58,2e8,200002490,0.6079971016648167,0.011846669538751029,MCF7,100.0,GM12878,0.22006691379543108,19500,MCF7,{'MCF7': 19500},cell_sim,combo_58.bam,910929858,710927368,0.2195586062346416
59,2e8,200002550,0.6409873474749407,0.01841800684069246,HEPG2,100.0,GM12878,0.19869348016803012,15000,HEPG2,{'HEPG2': 15000},cell_sim,combo_59.bam,1050266980,850264430,0.19043019899568775
6,5e7,49997384,0.574846266816475,0.009660224941532342,SKNSH,100.0,GM12878,0.24129633695094987,6000,SKNSH,{'SKNSH': 6000},cell_sim,combo_6.bam,259173770,209176386,0.19291066376045693
60,2e8,200003681,0.43177933268240565,0.035958331041880905,K562,67.36842105263158,PC9,0.5274667276926636,19000,HEPG2,"{'K562': 12800, 'HEPG2': 6200}",cell_sim,combo_60.bam,1035917700,835914019,0.1930690835768131
60,2e8,200003681,0.43177933268240565,0.035958331041880905,K562,67.36842105263158,PC9,0.3846918969927655,19000,K562,"{'K562': 12800, 'HEPG2': 6200}",cell_sim,combo_60.bam,1035917700,835914019,0.1930690835768131
60,200000000.0,200003681,0.43177933268240565,0.035958331041880905,K562,67.36842105263158,PC9,0.6817837040095287,19000,SKNSH,"{'K562': 12800, 'HEPG2': 6200}",cell_sim,combo_60.bam,1035917700,835914019,0.1930690835768131
61,2e8,200044819,0.5999689599389211,0.012166120707398557,MCF7,100.0,GM12878,0.22520281853958823,19500,MCF7,{'MCF7': 19500},cell_sim,combo_61.bam,917892167,717847348,0.21793934646355906
62,2e8,200046531,0.34235423004270876,0.0290855245935783,K562,32.631578947368425,GM12878,0.6067308707628338,19000,HEPG2,"{'K562': 6200, 'SKNSH': 6200, 'HEPG2': 3400, 'MCF7': 3200}",cell_sim,combo_62.bam,1013251219,813204688,0.19743033834928947
