file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
MCF7-cellFilt_PWM.qsub.sh.o1516186, 00:37:53, 32143.34101, 12.77125, 42.179G, 43.941G, 1, 2435, 19253200
K562-cellFilt_PWM.qsub.sh.o1516185, 01:08:01, 78229.77430, 17.35846, 52.088G, 53.422G, 1, 4218, 25444953
SKNSH-cellFilt_PWM.qsub.sh.o1516187, 00:44:35, 42655.86119, 15.34079, 3.547M, 48.520G, 1, 2828, 22663178
GM12878-cellFilt_PWM.qsub.sh.o1516183, 00:56:09, 59168.15946, 17.11201, 50.176G, 50.176G, 1, 3547, 26472749
HEPG2-cellFilt_PWM.qsub.sh.o1516184, 00:46:07, 43438.73628, 15.22689, 46.068G, 47.531G, 1, 2912, 22774684
HEPG2-cellFilt_PRINT.qsub.sh.o1755380, 102:12:55, 12137895.21578, 5834.26889, 4.953M, 648.191G, 15, 56830, 4778324652
GM12878-cellFilt_PRINT.qsub.sh.o1755379, 111:51:41, 11971280.02297, 6511.11991, 6.469M, 630.179G, 15, 66538, 5158823818
K562-cellFilt_PRINT.qsub.sh.o1755381, 144:19:32, 22958291.92107, 6663.16667, 5.602M, 850.814G, 15, 84157, 7581068768
MCF7-cellFilt_PRINT.qsub.sh.o1755382, 88:53:54, 9113478.77720, 3420.55114, 32.182G, 600.744G, 15, 50547, 4978017112
SKNSH-cellFilt_PRINT.qsub.sh.o1755383, 126:48:01, 24733046.03665, 3941.95575, 123.545G, 1.025T, 15, 83171, 7491212347
HEPG2-cellFilt_TOBIAS.qsub.sh.o1379340, 00:23:40, 366.22451, 164.41685, 11.461M, 4.484G, 8, 332, 136455
MCF7-cellFilt_TOBIAS.qsub.sh.o1379342, 00:19:00, 273.94683, 50.39070, 4.180G, 4.180G, 8, 353, 155877
K562-cellFilt_TOBIAS.qsub.sh.o1379341, 00:26:11, 430.14663, 59.96349, 4.772G, 5.208G, 8, 394, 175254
SKNSH-cellFilt_TOBIAS.qsub.sh.o1379343, 00:29:02, 450.25252, 173.10634, 5.488M, 4.528G, 8, 357, 158030
GM12878-cellFilt_TOBIAS.qsub.sh.o1379339, 00:29:27, 471.62252, 59.02623, 4.766G, 4.972G, 8, 446, 183975
SKNSH-cellFilt_HINT.qsub.sh.o1379337, 00:05:58, 428.24640, 1.97036, 1.209G, 1.209G, 1, 1751, 12929
MCF7-cellFilt_HINT.qsub.sh.o1379336, 00:04:32, 296.79514, 2.24252, 1.107G, 1.107G, 1, 1094, 8555
GM12878-cellFilt_HINT.qsub.sh.o1379333, 00:06:56, 619.89186, 2.28336, 1.510G, 1.510G, 1, 1937, 15122
HEPG2-cellFilt_HINT.qsub.sh.o1379334, 00:06:07, 465.42043, 2.11793, 1.285G, 1.285G, 1, 2020, 17311
K562-cellFilt_HINT.qsub.sh.o1379335, 00:08:11, 617.37170, 1.97520, 1.269G, 1.301G, 1, 1538, 10741
K562-cellFilt_PWM.qsub.sh.o792864, 02:55:03, 638822.17280, 44.82425, 169.698G, 177.273G, 1, 10737, 25444953
HEPG2-cellFilt_PWM.qsub.sh.o792863, 03:06:00, 669987.27797, 39.67339, 3.688M, 163.093G, 1, 11312, 22774684
MCF7-cellFilt_PWM.qsub.sh.o792865, 02:28:51, 392147.71085, 34.97106, 116.994G, 127.480G, 1, 9100, 19253200
GM12878-cellFilt_PWM.qsub.sh.o792862, 03:16:04, 635775.25199, 45.59536, 145.936G, 158.365G, 1, 11991, 26472749
SKNSH-cellFilt_PWM.qsub.sh.o792866, 02:48:38, 483647.07266, 40.48514, 120.393G, 125.896G, 1, 10306, 22663178
MCF7_PRINT.qsub.sh.o803628, 249:37:03, 30131009.76232, 10547.18444, 744.000K, 639.531G, 15, 101790, 4978017112
HEPG2_PRINT.qsub.sh.o803626, 303:11:44, 41288701.69670, 12121.34030, 38.814G, 660.955G, 15, 116817, 4778324652
K562_PRINT.qsub.sh.o803627, 414:22:19, 72942643.53326, 20572.19990, 4.180M, 903.030G, 15, 167722, 7581068768
SKNSH_PRINT.qsub.sh.o1759283, 285:48:42, 63255944.07965, 133.66767, 61.869G, 1.025T, 15, 82599, 7491212347
GM12878_PRINT.qsub.sh.o854715, 312:47:37, 41021785.54860, 13506.74296, 35.784G, 673.682G, 15, 129124, 5158823818
K562-cellFilt_TOBIAS.qsub.sh.o792818, 45:39:32, 169830.28781, 4032.80922, 14.340M, 25.281G, 8, 23305, 89597320765
SKNSH-cellFilt_TOBIAS.qsub.sh.o792820, 56:49:11, 195927.60459, 4331.68511, 14.484M, 20.711G, 8, 28836, 101444696074
K562_doover.qsub.sh.o1770111, 01:26:56, 2893.64168, 158.38644, 6.720G, 11.130G, 8, 930, 53472110
HEPG2_doover.qsub.sh.o1770108, 01:04:45, 2042.80911, 146.22034, 5.936G, 10.567G, 8, 796, 53434603
HEPG2-cellFilt_TOBIAS.qsub.sh.o792817, 39:08:36, 130475.20055, 3027.63414, 5.602M, 17.386G, 8, 19905, 67185712323
GM12878-cellFilt_TOBIAS.qsub.sh.o1765450, 43:16:24, 159070.05740, 3535.34037, 5.903G, 19.708G, 8, 21962, 78037039479
MCF7-cellFilt_TOBIAS.qsub.sh.o792819, 33:24:35, 100540.02891, 2533.43377, 3.641M, 15.280G, 8, 17165, 60850140883
MCF7-cellFilt_HINT.qsub.sh.o792809, 11:25:31, 63703.37287, 2660.65949, 1.106G, 2.519G, 1, 42404, 60850140883
HEPG2-cellFilt_HINT.qsub.sh.o792807, 12:03:33, 79638.72837, 3448.98724, 1.285G, 3.019G, 1, 44840, 67185712323
K562-cellFilt_HINT.qsub.sh.o792808, 14:37:33, 101090.13541, 4576.54458, 1.301G, 3.073G, 1, 54355, 89597320765
GM12878-cellFilt_HINT.qsub.sh.o792806, 19:01:26, 147724.84158, 4853.38251, 1.509G, 3.514G, 1, 70125, 78037039479
SKNSH-cellFilt_HINT.qsub.sh.o792810, 17:04:26, 110227.67327, 5152.38603, 1.210G, 2.735G, 1, 63774, 101444696074
K562_c5000_s99_PWM.qsub.sh.o878085, 02:10:27, 274683.00138, 27.43855, 79.669G, 88.976G, 1, 8052, 18523187
HEPG2_c1000_s79_PWM.qsub.sh.o872299, 02:13:36, 343550.29194, 33.95795, 115.689G, 123.726G, 1, 8174, 22776205
GM12878_c2500_s95_PWM.qsub.sh.o1004818, 03:19:26, 767397.57173, 41.91245, 3.543M, 168.104G, 1, 12135, 28019244
K562_c7500_s50_PWM.qsub.sh.o878087, 02:11:17, 306414.91592, 30.64382, 3.676M, 95.876G, 1, 8025, 20574733
HEPG2_c5000_s73_PWM.qsub.sh.o872309, 02:23:39, 331552.45338, 30.77072, 86.562G, 93.420G, 1, 8791, 21046699
SKNSH_c30000_s87_PWM.qsub.sh.o1004843, 02:55:08, 496313.48600, 37.41253, 109.981G, 117.335G, 1, 10711, 25340888
SKNSH_c5000_s35_PWM.qsub.sh.o878114, 01:50:54, 241684.50358, 27.63666, 80.243G, 89.783G, 1, 6758, 18240425
K562_c2500_s58_PWM.qsub.sh.o878075, 01:33:48, 164086.07039, 22.11191, 72.213G, 75.059G, 1, 5772, 14755559
SKNSH_c40000_s10_PWM.qsub.sh.o878106, 02:50:41, 505635.10703, 38.89708, 116.713G, 123.330G, 1, 10403, 26406423
