,0,1,2,3,4,5,6,sampling_type
baseline,437757,437757,0,0,0,0.3,HEPG2,cells
HEPG2_c1000_s81,229848,364065,229149,134916,22223,0.3,HEPG2,cells
HEPG2_c1000_s42,225707,354590,225065,129525,19570,0.3,HEPG2,cells
HEPG2_c1000_s79,231602,369080,230993,138087,21999,0.3,HEPG2,cells
HEPG2_c10000_s5,353481,397998,353497,44501,13161,0.3,HEPG2,cells
HEPG2_c10000_s46,352397,395889,352390,43499,13228,0.3,HEPG2,cells
HEPG2_c10000_s65,350594,393280,350550,42730,12947,0.3,HEPG2,cells
HEPG2_c20000_s21,401270,429932,401268,28664,9514,0.3,HEPG2,cells
HEPG2_c20000_s20,401191,429805,401177,28628,9723,0.3,HEPG2,cells
HEPG2_c20000_s92,403169,432897,403167,29730,9676,0.3,HEPG2,cells
HEPG2_c2500_s25,267992,335183,267513,67670,14266,0.3,HEPG2,cells
HEPG2_c2500_s5,262955,325054,262478,62576,14165,0.3,HEPG2,cells
HEPG2_c2500_s58,256237,314870,255739,59131,13227,0.3,HEPG2,cells
HEPG2_c5000_s39,297147,342386,296897,45489,13334,0.3,HEPG2,cells
HEPG2_c5000_s73,296017,340318,295690,44628,13254,0.3,HEPG2,cells
HEPG2_c5000_s31,310485,366339,310286,56053,13430,0.3,HEPG2,cells
HEPG2_c7500_s41,326471,368463,326359,42104,12878,0.3,HEPG2,cells
HEPG2_c7500_s65,335007,384088,334934,49154,13282,0.3,HEPG2,cells
HEPG2_c7500_s60,328141,371342,327981,43361,13168,0.3,HEPG2,cells
baseline,437757,437757,0,0,0,0.3,HEPG2,reads
HEPG2_r1e6_s44,51773,74074,51345,22729,4284,0.3,HEPG2,reads
HEPG2_r1e6_s9,51732,73459,51323,22136,4067,0.3,HEPG2,reads
HEPG2_r1e6_s75,51345,72116,50904,21212,4279,0.3,HEPG2,reads
HEPG2_r1e7_s62,136721,160642,136163,24479,7674,0.3,HEPG2,reads
HEPG2_r1e7_s79,134369,157843,133821,24022,7689,0.3,HEPG2,reads
HEPG2_r1e7_s61,135076,158271,134583,23688,7646,0.3,HEPG2,reads
HEPG2_r1e8_s92,266598,286859,266299,20560,8977,0.3,HEPG2,reads
HEPG2_r1e8_s66,266402,286764,266027,20737,9080,0.3,HEPG2,reads
HEPG2_r1e8_s65,266936,287096,266560,20536,8981,0.3,HEPG2,reads
HEPG2_r5e6_s92,105477,132765,104948,27817,7517,0.3,HEPG2,reads
HEPG2_r5e6_s55,107690,135634,107087,28547,7679,0.3,HEPG2,reads
HEPG2_r5e6_s21,106829,134330,106278,28052,7695,0.3,HEPG2,reads
HEPG2_r5e7_s95,208712,225196,208302,16894,7076,0.3,HEPG2,reads
HEPG2_r5e7_s39,208483,224703,208042,16661,7024,0.3,HEPG2,reads
HEPG2_r5e7_s76,208555,224832,208150,16682,7069,0.3,HEPG2,reads
HEPG2_r5e8_s9,405665,423494,405658,17836,6378,0.3,HEPG2,reads
HEPG2_r5e8_s59,405783,423791,405798,17993,6359,0.3,HEPG2,reads
HEPG2_r5e8_s31,405450,423445,405483,17962,6431,0.3,HEPG2,reads
baseline,437757,437757,0,0,0,0.3,HEPG2,frip
HEPG2_f005_s1,246007,454858,247267,207591,204186,0.3,HEPG2,frip
HEPG2_f005_s76,245984,454879,247210,207669,204185,0.3,HEPG2,frip
HEPG2_f005_s95,246059,454957,247290,207667,204251,0.3,HEPG2,frip
HEPG2_f01_s67,272812,428307,273759,154548,150081,0.3,HEPG2,frip
HEPG2_f01_s23,272780,428289,273715,154574,150074,0.3,HEPG2,frip
HEPG2_f01_s36,272813,428344,273778,154566,150085,0.3,HEPG2,frip
HEPG2_f02_s7,343126,422543,343627,78916,74133,0.3,HEPG2,frip
HEPG2_f02_s88,343058,422395,343525,78870,74163,0.3,HEPG2,frip
HEPG2_f02_s75,343080,422435,343526,78909,74113,0.3,HEPG2,frip
HEPG2_f04_s36,384351,395862,384301,11561,6417,0.3,HEPG2,frip
HEPG2_f04_s68,384343,395900,384294,11606,6421,0.3,HEPG2,frip
HEPG2_f04_s24,384088,395584,383999,11585,6379,0.3,HEPG2,frip
HEPG2_f06_s96,324314,334602,324212,10390,7015,0.3,HEPG2,frip
HEPG2_f06_s67,324225,334659,324157,10502,7066,0.3,HEPG2,frip
HEPG2_f06_s42,324166,334585,324082,10503,7048,0.3,HEPG2,frip
HEPG2_f08_s77,280493,288562,280449,8113,6508,0.3,HEPG2,frip
HEPG2_f08_s64,280698,288772,280627,8145,6516,0.3,HEPG2,frip
HEPG2_f08_s22,280695,288834,280643,8191,6517,0.3,HEPG2,frip
baseline,497621,497621,0,0,0,0.3,K562,cells
K562_c1000_s7,153139,197298,152211,45087,6271,0.3,K562,cells
K562_c1000_s48,146327,187898,145398,42500,6493,0.3,K562,cells
K562_c1000_s52,156967,202699,155880,46819,6532,0.3,K562,cells
K562_c10000_s76,317595,352907,317126,35781,12590,0.3,K562,cells
K562_c10000_s2,319151,355326,318720,36606,12814,0.3,K562,cells
K562_c10000_s21,320602,356777,320145,36632,12783,0.3,K562,cells
K562_c20000_s85,390845,429588,390697,38891,12779,0.3,K562,cells
K562_c20000_s19,379465,413181,379322,33859,12596,0.3,K562,cells
K562_c20000_s97,379279,412818,379068,33750,12512,0.3,K562,cells
K562_c2500_s3,216364,254797,215422,39375,9562,0.3,K562,cells
K562_c2500_s61,214484,251827,213620,38207,9551,0.3,K562,cells
K562_c2500_s58,208260,243155,207280,35875,9272,0.3,K562,cells
K562_c30000_s85,425418,458796,425378,33418,11501,0.3,K562,cells
K562_c30000_s90,426927,460669,426882,33787,11608,0.3,K562,cells
K562_c30000_s60,425968,459987,425922,34065,11637,0.3,K562,cells
K562_c40000_s7,451136,474565,451090,23475,8095,0.3,K562,cells
K562_c40000_s73,452303,476159,452307,23852,8096,0.3,K562,cells
