,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
GM12878,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.328,,,30246.0,0.0,0.0,585584726.0,285255118.0,870839844.0,baseline,,,GM12878,file
GM12878_c1000,0.5899158274038173,0.37502391560613807,0.45854167594117184,0.5899165648563732,0.3750239156061381,0.458537513158654,0.0003995875870077252,0.0028337710696350283,0.0020874946937159,0.32433333333333336,29246.0,847444028.0,1000.0,0.0,0.0,15799318.666666666,7596497.333333333,23395816.0,cells,,1000.0,GM12878,condition
GM12878_c10000,0.6106917833433264,0.6034674358303983,0.6070581168550347,0.6106928016912984,0.6034674358303983,0.6070583848833153,0.0015707754273318068,0.00119851656958066,0.001315146281188443,0.3273333333333333,20246.0,577549916.0,10000.0,0.0,0.0,197269590.33333334,96020337.66666667,293289928.0,cells,,10000.0,GM12878,condition
GM12878_c10000_s14,0.6108131201733699,0.6027249601641377,0.6067420866131155,0.6108131201733699,0.6027249601641377,0.6067420866131155,,,,0.326,20246.0,577754214.0,10000.0,0.0,0.0,197517430.0,95568200.0,293085630.0,cells,14.0,10000.0,GM12878,file
GM12878_c10000_s17,0.6121999580024929,0.604850103038877,0.608502837362936,0.6121999580024929,0.604850103038877,0.608502837362936,,,,0.327,20246.0,570287343.0,10000.0,0.0,0.0,202181455.0,98371046.0,300552501.0,cells,17.0,10000.0,GM12878,file
GM12878_c10000_s90,0.6090653268980321,0.6028272442881804,0.6059302306738945,0.6090653268980321,0.6028272442881804,0.6059302306738945,,,,0.329,20246.0,584608191.0,10000.0,0.0,0.0,192109886.0,94121767.0,286231653.0,cells,90.0,10000.0,GM12878,file
GM12878_c1000_s4,0.5903619726429113,0.3749711835311692,0.4586369507312112,0.5903619726429113,0.3749711835311692,0.4586369507312112,,,,0.32,29246.0,849785087.0,1000.0,0.0,0.0,14319133.0,6735624.0,21054757.0,cells,4.0,1000.0,GM12878,file
GM12878_c1000_s44,0.5895895577155081,0.3778836847161314,0.46057351204818037,0.5895895577155081,0.3778836847161314,0.4605735120481803,,,,0.329,29246.0,842777745.0,1000.0,0.0,0.0,18837828.0,9224271.0,28062099.0,cells,44.0,1000.0,GM12878,file
GM12878_c1000_s48,0.5897981642107003,0.37221687857111374,0.4564020766965705,0.5897981642107003,0.3722168785711137,0.4564020766965705,,,,0.324,29246.0,849769252.0,1000.0,0.0,0.0,14240995.0,6829597.0,21070592.0,cells,48.0,1000.0,GM12878,file
GM12878_c20000,0.6780176662693137,0.6807468149927353,0.6793794998128557,0.67801327356815,0.6807468149927351,0.6793771114304219,0.005334657620003027,0.006197954328430668,0.005763901732100666,0.328,10246.0,303361006.0,20000.0,0.0,0.0,381518729.0,185960109.0,567478838.0,cells,,20000.0,GM12878,condition
