,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
GM12878,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.328,,,30246.0,0.0,0.0,585584726.0,285255118.0,870839844.0,baseline,,,GM12878,file
GM12878_c1000,0.2555514693637559,0.16246031760407995,0.19864020188607567,0.238878265569522,0.15261513890931724,0.18598784797414417,0.04903595228442115,0.03748621957314945,0.042058411014335766,0.32433333333333336,29246.0,847444028.0,1000.0,0.0,0.0,15799318.666666666,7596497.333333333,23395816.0,cells,,1000.0,GM12878,condition
GM12878_c10000,0.35593021426037397,0.3517196392562523,0.3538124001240058,0.34322568485864,0.3378869721277721,0.34049402680104557,0.05068149078838617,0.05018909748260948,0.05029687772597474,0.3273333333333333,20246.0,577549916.0,10000.0,0.0,0.0,197269590.33333334,96020337.66666667,293289928.0,cells,,10000.0,GM12878,condition
GM12878_c10000_s14,0.35569854279718666,0.35098851507483225,0.35332783290698344,0.34302140719931834,0.3372962352371398,0.34009352599432824,0.050464910022459154,0.04972624444261581,0.04995040581784512,0.326,20246.0,577754214.0,10000.0,0.0,0.0,197517430.0,95568200.0,293085630.0,cells,14.0,10000.0,GM12878,file
GM12878_c10000_s17,0.3587096791542025,0.354403138323277,0.356543404980096,0.3461345196128341,0.34061752772231096,0.3433119540054906,0.050930705602944375,0.05027243167138021,0.05046540054871958,0.327,20246.0,570287343.0,10000.0,0.0,0.0,202181455.0,98371046.0,300552501.0,cells,17.0,10000.0,GM12878,file
GM12878_c10000_s90,0.3533866712737685,0.3497672643706477,0.3515676525743895,0.3405211277637678,0.33574715342386535,0.3380766004033179,0.05055171457648256,0.050501670908879664,0.05039434137605699,0.329,20246.0,584608191.0,10000.0,0.0,0.0,192109886.0,94121767.0,286231653.0,cells,90.0,10000.0,GM12878,file
GM12878_c1000_s4,0.2565751848421104,0.16296493538408777,0.199326626480496,0.24011134422058644,0.1531792354055305,0.18678666621179202,0.04900837701388037,0.037506003285287325,0.042092674284842035,0.32,29246.0,849785087.0,1000.0,0.0,0.0,14319133.0,6735624.0,21054757.0,cells,4.0,1000.0,GM12878,file
GM12878_c1000_s44,0.25402412961021936,0.16281084501539997,0.19843768260226682,0.23722496428178055,0.15279283434108584,0.1856359772363448,0.04882412998899543,0.037025092278205544,0.041674444745007824,0.329,29246.0,842777745.0,1000.0,0.0,0.0,18837828.0,9224271.0,28062099.0,cells,44.0,1000.0,GM12878,file
GM12878_c1000_s48,0.25607230489356925,0.16160517241275207,0.1981558079183015,0.23929848820619898,0.15187334698133548,0.18554090047429567,0.04928738653718976,0.03795440527398291,0.04244321026618722,0.324,29246.0,849769252.0,1000.0,0.0,0.0,14240995.0,6829597.0,21070592.0,cells,48.0,1000.0,GM12878,file
GM12878_c20000,0.5009647966782561,0.5029812742766296,0.5019710103776779,0.4914763996905045,0.4924561217765923,0.4919379546110028,0.04641849742811268,0.045922752770518,0.04603125034915455,0.328,10246.0,303361006.0,20000.0,0.0,0.0,381518729.0,185960109.0,567478838.0,cells,,20000.0,GM12878,condition
