,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.583213070794611,0.43648331093487547,0.4992913119671347,0.5832160840901756,0.4364833109348754,0.4992898101588872,0.0008592574021967984,0.001886463202593121,0.0009684042628262093,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.6346552027692284,0.6560646825975847,0.6451823805989769,0.6346550260504263,0.6560646825975845,0.6451822004341636,0.000730713222002657,0.0011339872517210027,0.0008978619376028611,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.6342583655957946,0.6549682734689024,0.6444469793904695,0.6342583655957946,0.6549682734689024,0.6444469793904695,,,,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.6354982881932247,0.6572328406714508,0.6461828540601339,0.6354982881932247,0.6572328406714508,0.6461828540601339,,,,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.6342084243622595,0.6559929336524006,0.6449167678518875,0.6342084243622595,0.6559929336524006,0.6449167678518875,,,,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.583355378647071,0.4351731231008729,0.49848498410771275,0.583355378647071,0.4351731231008729,0.4984849841077127,,,,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.5822956894620145,0.43864548789353763,0.5003645312141551,0.5822956894620145,0.4386454878935376,0.5003645312141551,,,,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.5839971841614414,0.43563132181021597,0.4990199151547938,0.5839971841614414,0.4356313218102159,0.4990199151547938,,,,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.7464395490149985,0.7558175489205856,0.7510992773862666,0.7464398421070854,0.7558175489205857,0.7510993969039111,0.0011373011072033851,0.0008862858191841269,0.001005938436326032,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.7466294931961011,0.7557147324453418,0.7511446418953479,0.7466294931961011,0.7557147324453418,0.7511446418953479,,,,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.7452196374456697,0.7549871555180409,0.7500715993956997,0.7452196374456697,0.7549871555180409,0.7500715993956997,,,,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.7474703956794855,0.7567507587983743,0.7520819494206858,0.7474703956794855,0.7567507587983743,0.7520819494206858,,,,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.5842131453497081,0.5369350072480642,0.5595772310839255,0.5842129483781737,0.5369350072480642,0.5595755760775333,0.00011763355281668195,0.002267847513256614,0.0012681807959854078,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.5841801063169954,0.5384758336055294,0.5603976401648386,0.5841801063169954,0.5384758336055294,0.5603976401648386,,,,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.5843435127485224,0.5379983124079785,0.5602140393928883,0.5843435127485224,0.5379983124079785,0.5602140393928883,,,,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.5841152260690035,0.5343308757306848,0.5581150486748732,0.5841152260690035,0.5343308757306848,0.5581150486748732,,,,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.5977720394057441,0.5985796645114041,0.5981755793554971,0.597772231700331,0.5985796645114042,0.59817561778586,0.000545407708906857,0.0004003745906821844,0.0004207895458999613,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
HEPG2_c5000_s31,0.597795338160737,0.5989680086371523,0.5983810988676265,0.597795338160737,0.5989680086371523,0.5983810988676265,,,,0.286,20043.0,511933451.0,5000.0,0.0,0.0,90089001.0,36131300.0,126220301.0,cells,31.0,5000.0,HEPG2,file
HEPG2_c5000_s39,0.5972156379784664,0.5981682565333097,0.5976915676781996,0.5972156379784664,0.5981682565333097,0.5976915676781996,,,,0.287,20043.0,511101262.0,5000.0,0.0,0.0,90598055.0,36454435.0,127052490.0,cells,39.0,5000.0,HEPG2,file
HEPG2_c5000_s73,0.5983057189617895,0.5986027283637504,0.5984541868117539,0.5983057189617895,0.5986027283637504,0.5984541868117539,,,,0.288,20043.0,511093542.0,5000.0,0.0,0.0,90474590.0,36585620.0,127060210.0,cells,73.0,5000.0,HEPG2,file
HEPG2_c7500,0.6158321073927204,0.6326771785738422,0.6241410048925251,0.6158318996858053,0.6326771785738422,0.6241407765563076,0.00040864552697295666,0.001024293009637321,0.0006904636063796788,0.2873333333333333,17543.0,446959556.0,7500.0,0.0,0.0,136305964.33333334,54888231.666666664,191194196.0,cells,,7500.0,HEPG2,condition
HEPG2_c7500_s41,0.6161594564778295,0.6329966152967899,0.6244645633103033,0.6161594564778295,0.6329966152967899,0.6244645633103033,,,,0.287,17543.0,446450449.0,7500.0,0.0,0.0,136667852.0,55035451.0,191703303.0,cells,41.0,7500.0,HEPG2,file
HEPG2_c7500_s60,0.6159622659441968,0.6335036885351295,0.6246098440300665,0.6159622659441968,0.6335036885351295,0.6246098440300665,,,,0.287,17543.0,445614502.0,7500.0,0.0,0.0,137351139.0,55188111.0,192539250.0,cells,60.0,7500.0,HEPG2,file
HEPG2_c7500_s65,0.6153739766353898,0.6315312318896072,0.6233479223285532,0.6153739766353898,0.6315312318896072,0.6233479223285532,,,,0.288,17543.0,448813717.0,7500.0,0.0,0.0,134898902.0,54441133.0,189340035.0,cells,65.0,7500.0,HEPG2,file
HEPG2_f005,0.7600438341698749,0.7657169616353418,0.7628698509101414,0.7600437546702109,0.7657169616353418,0.7628697671134225,0.00022272020500539806,0.0006603079167060287,0.00043661575434833126,0.05000000000000001,0.0,159527414.0,25043.0,25041.666666666668,159527414.0,454695021.0,23931317.0,478626338.0,frip,,0.05,HEPG2,condition
HEPG2_f005_s1,0.7597880841279426,0.7649659419833766,0.7623682214041828,0.7597880841279426,0.7649659419833766,0.7623682214041828,,,,0.05,0.0,159527414.0,25043.0,25041.0,159527414.0,454695021.0,23931317.0,478626338.0,frip,1.0,0.05,HEPG2,file
HEPG2_f005_s76,0.7601475333397608,0.7662064173109036,0.7631649499117772,0.7601475333397608,0.7662064173109036,0.7631649499117772,,,,0.05,0.0,159527414.0,25043.0,25042.0,159527414.0,454695021.0,23931317.0,478626338.0,frip,76.0,0.05,HEPG2,file
HEPG2_f005_s95,0.7601956465429296,0.765978525611745,0.7630761300243079,0.7601956465429296,0.765978525611745,0.7630761300243079,,,,0.05,0.0,159527414.0,25043.0,25042.0,159527414.0,454695021.0,23931317.0,478626338.0,frip,95.0,0.05,HEPG2,file
HEPG2_f01,0.781964145507926,0.7946146425720921,0.7882386401299666,0.7819640911755451,0.7946146425720921,0.7882385076212902,0.00026447483666628774,0.000841366512722112,0.0005073551902069297,0.10000000000000002,0.0,132937062.0,25043.0,25041.333333333332,132937062.0,454695021.0,50521669.0,505216690.0,frip,,0.1,HEPG2,condition
HEPG2_f01_s23,0.781851838657242,0.7951122913615265,0.7884263124394382,0.781851838657242,0.7951122913615265,0.7884263124394382,,,,0.1,0.0,132937062.0,25043.0,25041.0,132937062.0,454695021.0,50521669.0,505216690.0,frip,23.0,0.1,HEPG2,file
HEPG2_f01_s36,0.7817742571364154,0.7936432139492452,0.787664026080605,0.7817742571364154,0.7936432139492452,0.787664026080605,,,,0.1,0.0,132937062.0,25043.0,25042.0,132937062.0,454695021.0,50521669.0,505216690.0,frip,36.0,0.1,HEPG2,file
HEPG2_f01_s67,0.7822661777329779,0.7950884224055048,0.7886251843438276,0.7822661777329779,0.7950884224055048,0.7886251843438276,,,,0.1,0.0,132937062.0,25043.0,25041.0,132937062.0,454695021.0,50521669.0,505216690.0,frip,67.0,0.1,HEPG2,file
HEPG2_f02,0.8409164105553711,0.8459263151119901,0.8434139231526468,0.8409165297371057,0.8459263151119901,0.8434138781020072,0.000218878169063363,0.0005280047402571033,0.00017160455736651726,0.20000000000000004,0.0,69784976.0,25043.0,25034.0,69784976.0,454695021.0,113673755.0,568368776.0,frip,,0.2,HEPG2,condition
