,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.27538887418697017,0.2061041729328596,0.23576164386478124,0.2561209868241276,0.19073644605148185,0.21846200861008888,0.05540238011876223,0.04499897157078978,0.04918649549807334,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.4339582135404094,0.4485973744243094,0.4411563823487427,0.419886517981709,0.4316574928519741,0.42562606466859904,0.05643958562588526,0.05491042032774369,0.055487359505118614,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.4335252043442088,0.44768074021042475,0.440489276269648,0.41957784943806625,0.4310212171480157,0.4251595314742985,0.056260254459852735,0.05454792631503423,0.05522032191471261,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.43559860208972173,0.4504964245582574,0.44292227556301056,0.4219348040716523,0.43370449573509107,0.42767472811184654,0.056253402525563184,0.05504908435655762,0.055459947490270674,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.4327503590219767,0.4476149585042462,0.4400571674963785,0.4181469004354088,0.4302467656728155,0.4240439344196522,0.05680561210598887,0.05513774304741914,0.05578401211882402,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.2753228281461615,0.20538611517254343,0.23526704413222252,0.25594218575064637,0.18986150961111073,0.21781707991512977,0.05606948364075816,0.04499581921682923,0.04939818507051594,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.2749553193881038,0.20712485495702096,0.2362680884991192,0.2556886727360245,0.19169515963861827,0.21893444025618103,0.05521981306081336,0.0450823329993361,0.04918332180927453,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.2758927535773663,0.20580154866901446,0.23574767518731796,0.2567321019857118,0.19065266890471652,0.2186345056589559,0.05497246163119721,0.044953413238739255,0.0490290197187833,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.6466223691426864,0.6547463016497095,0.6506589781393115,0.639401052201971,0.645837548408191,0.6425635811657111,0.04133158024066761,0.040132783775123346,0.04044154012474501,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.6463165684480952,0.6541811662286666,0.6502250872514953,0.638459364343392,0.6450700954025885,0.6417103579964307,0.0418635581133606,0.03993028422810996,0.04063662940407578,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.6450314787517549,0.6534858408074186,0.6492311375291355,0.6379486823938262,0.6453716270279007,0.6416097955170791,0.040854007748851694,0.03967438535629085,0.04005727347148464,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.6485200716605448,0.6565718979130434,0.6525211467265225,0.6417951098686949,0.6470709227940836,0.6443705899836234,0.04121432338480344,0.040803692931248255,0.04061550162166649,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
