,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.5519020417212067,0.42646406118726754,0.48114174313741326,0.551907396119615,0.4264640611872676,0.48113775526909364,0.0009881687477433347,0.0030287230642354855,0.0016035139048550346,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.5611471276002018,0.6521521958218293,0.6032366859175962,0.5611469596352293,0.6521521958218293,0.6032365371443205,0.00043116739102392416,0.0009237142204863116,0.0006373707372253124,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.5611789087134219,0.6519022651417516,0.6031480986180598,0.5611789087134219,0.6519022651417516,0.6031480986180598,,,,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.5615612637981209,0.6531751583514492,0.6039135086709598,0.5615612637981209,0.6531751583514492,0.6039135086709598,,,,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.5607007063941452,0.651379163972287,0.6026480041439418,0.5607007063941452,0.651379163972287,0.6026480041439418,,,,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.5526518135891976,0.4232295271776329,0.4793586186931785,0.5526518135891976,0.4232295271776329,0.4793586186931785,,,,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.5522840928843709,0.4269295878979127,0.4815831821085867,0.5522840928843709,0.4269295878979127,0.4815831821085867,,,,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.5507862818852767,0.429233068486257,0.4824714650055157,0.5507862818852767,0.429233068486257,0.4824714650055157,,,,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.6153659379340641,0.6813261922741286,0.6466684289670175,0.6153664351871938,0.6813261922741285,0.6466685434488583,0.0006184781874923213,0.00018535853091012424,0.00028504170920576045,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.6150298681677038,0.6815276800511075,0.6465735050330906,0.6150298681677038,0.6815276800511075,0.6465735050330906,,,,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.6149892306132492,0.6812879767134371,0.6464431623990776,0.6149892306132492,0.6812879767134371,0.6464431623990776,,,,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.6160802067806286,0.6811629200578411,0.6469889629144062,0.6160802067806286,0.6811629200578411,0.6469889629144062,,,,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
K562_c2500,0.5357735486449446,0.5419877378730314,0.538862728277143,0.5357755167007979,0.5419877378730314,0.538862023601956,0.0008091089917613662,0.0017300680092643844,0.0006573120524702302,0.301,45560.0,697726447.3333334,2500.0,0.0,0.0,26908787.333333332,11594081.333333334,38502868.666666664,cells,,2500.0,K562,condition
K562_c2500_s3,0.5362297517050163,0.5426356217514205,0.5394136689841786,0.5362297517050163,0.5426356217514205,0.5394136689841786,,,,0.301,45560.0,697353440.0,2500.0,0.0,0.0,27172714.0,11703162.0,38875876.0,cells,3.0,2500.0,K562,file
K562_c2500_s58,0.5362554425362971,0.5400272385175595,0.5381347314616823,0.5362554425362971,0.5400272385175595,0.5381347314616823,,,,0.301,45560.0,698391974.0,2500.0,0.0,0.0,26452430.0,11384912.0,37837342.0,cells,58.0,2500.0,K562,file
K562_c2500_s61,0.5348413558610806,0.5433003533501144,0.539037670360007,0.5348413558610806,0.5433003533501144,0.539037670360007,,,,0.301,45560.0,697433928.0,2500.0,0.0,0.0,27101218.0,11694170.0,38795388.0,cells,61.0,2500.0,K562,file
K562_c30000,0.6745829662244919,0.7143276346490125,0.693886639405876,0.6745828324068168,0.7143276346490124,0.6938865261760022,0.0004016863806963499,0.0008198414762432048,0.0005929949156590679,0.301,18060.0,276699058.0,30000.0,0.0,0.0,321220577.0,138309681.0,459530258.0,cells,,30000.0,K562,condition
K562_c30000_s60,0.6750451585613949,0.7152509262479401,0.6945666900679506,0.6750451585613949,0.7152509262479401,0.6945666900679506,,,,0.301,18060.0,276944982.0,30000.0,0.0,0.0,321110450.0,138173884.0,459284334.0,cells,60.0,30000.0,K562,file
K562_c30000_s85,0.674383962417514,0.7136849100996057,0.6934780645542115,0.674383962417514,0.7136849100996057,0.6934780645542115,,,,0.301,18060.0,277247667.0,30000.0,0.0,0.0,320753116.0,138228533.0,458981649.0,cells,85.0,30000.0,K562,file
K562_c30000_s90,0.6743193762415415,0.7140470675994917,0.6936148239058447,0.6743193762415415,0.7140470675994917,0.6936148239058447,,,,0.301,18060.0,275904525.0,30000.0,0.0,0.0,321798165.0,138526626.0,460324791.0,cells,90.0,30000.0,K562,file
K562_c40000,0.7566450916098361,0.7738127801875192,0.7651326478738546,0.7566454598143887,0.7738127801875193,0.7651326989926615,0.0005329437579818161,0.0002592172882441204,0.00014826193619721698,0.301,8060.0,123166497.0,40000.0,0.0,0.0,428683530.3333333,184379288.66666666,613062819.0,cells,,40000.0,K562,condition
K562_c40000_s7,0.7568825313071356,0.7736593700514102,0.7651790020962248,0.7568825313071356,0.7736593700514102,0.7651790020962248,,,,0.301,8060.0,123536125.0,40000.0,0.0,0.0,428380106.0,184313085.0,612693191.0,cells,7.0,40000.0,K562,file
K562_c40000_s71,0.7560351142677196,0.7741120669262677,0.7649668112552952,0.7560351142677196,0.7741120669262677,0.7649668112552952,,,,0.301,8060.0,123560376.0,40000.0,0.0,0.0,428451800.0,184217140.0,612668940.0,cells,71.0,40000.0,K562,file
K562_c40000_s73,0.757018733868311,0.7736669035848799,0.7652522836264645,0.757018733868311,0.7736669035848799,0.7652522836264645,,,,0.301,8060.0,122402990.0,40000.0,0.0,0.0,429218685.0,184607641.0,613826326.0,cells,73.0,40000.0,K562,file
K562_c5000,0.5392331130603774,0.6089074764749437,0.5719562170312442,0.5392348812982047,0.6089074764749437,0.571955492928836,0.0006807302122175221,0.0019097281196153745,0.0005617499273765779,0.3013333333333333,43060.0,660111889.6666666,5000.0,0.0,0.0,53190986.333333336,22926440.0,76117426.33333333,cells,,5000.0,K562,condition
K562_c5000_s6,0.5386013699332942,0.6096939317113955,0.5719469310541223,0.5386013699332942,0.6096939317113955,0.5719469310541223,,,,0.301,43060.0,660208999.0,5000.0,0.0,0.0,53162081.0,22858236.0,76020317.0,cells,6.0,5000.0,K562,file
K562_c5000_s63,0.5391486591466262,0.6102983950423323,0.572521474855718,0.5391486591466262,0.6102983950423323,0.572521474855718,,,,0.301,43060.0,658842531.0,5000.0,0.0,0.0,54070627.0,23316158.0,77386785.0,cells,63.0,5000.0,K562,file
K562_c5000_s99,0.5399546148146939,0.6067301026711033,0.5713980728766676,0.5399546148146939,0.6067301026711033,0.5713980728766676,,,,0.302,43060.0,661284139.0,5000.0,0.0,0.0,52340251.0,22604926.0,74945177.0,cells,99.0,5000.0,K562,file
K562_c7500,0.5485649801645008,0.6372587654145797,0.5895949432832309,0.5485654725932413,0.6372587654145797,0.5895950970106677,0.0010453441476520333,0.0009605378237399914,0.000963298359624149,0.3,40560.0,622242694.0,7500.0,0.0,0.0,79774766.33333333,34211855.666666664,113986622.0,cells,,7500.0,K562,condition
K562_c7500_s44,0.5477644942030736,0.6361701926571061,0.5886666683143567,0.5477644942030736,0.6361701926571061,0.5886666683143567,,,,0.299,40560.0,622293611.0,7500.0,0.0,0.0,79849688.0,34086017.0,113935705.0,cells,44.0,7500.0,K562,file
K562_c7500_s50,0.5497479909443632,0.6379871439566474,0.5905898383105931,0.5497479909443632,0.6379871439566474,0.5905898383105931,,,,0.301,40560.0,621982263.0,7500.0,0.0,0.0,79881714.0,34365339.0,114247053.0,cells,50.0,7500.0,K562,file
K562_c7500_s80,0.548183932632287,0.6376189596299857,0.5895287844070536,0.548183932632287,0.6376189596299857,0.5895287844070536,,,,0.3,40560.0,622452208.0,7500.0,0.0,0.0,79592897.0,34184211.0,113777108.0,cells,80.0,7500.0,K562,file
K562_f005,0.6990861819636319,0.731360223299411,0.7148591156792556,0.6990862174859207,0.731360223299411,0.7148591309339153,0.00034699415574876864,0.00025524065077607317,0.0003020455676047617,0.05000000000000001,0.0,194332960.0,48060.0,48059.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,,0.05,K562,condition
K562_f005_s45,0.6987036149518181,0.7310673743074457,0.7145192076761626,0.6987036149518181,0.7310673743074457,0.7145192076761626,,,,0.05,0.0,194332960.0,48060.0,48060.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,45.0,0.05,K562,file
