,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.24806023692954363,0.19168034916146978,0.21625601243861872,0.22582703015564617,0.17245598443299406,0.19519222015795673,0.06002817419003923,0.04629053751499205,0.05129664412216751,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.342300735889827,0.39781398774444776,0.3679754405736699,0.32319983598785795,0.3739507020125288,0.34649020565286215,0.06450023200374513,0.0609023869673744,0.06281939706063812,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.3422487920592027,0.39757866755352333,0.367844737176771,0.32331940619536714,0.3741274177907635,0.3466318707159261,0.06410543853084552,0.0606703956293738,0.06248183355897073,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.3430286810612106,0.39899086264574135,0.36889947314621113,0.3238234157956551,0.37483798729040235,0.34722616150351193,0.06468563857414437,0.060927809495144085,0.06292434972773546,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.34162384346705676,0.39687243303407854,0.36718150179871784,0.32245668597255167,0.37288670095642057,0.34561258473914824,0.06477692157607633,0.061164414551936476,0.06311449136550297,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.24821440229226155,0.19008652742596557,0.21529597858338978,0.2262312844589637,0.17135768671142337,0.19461936536605712,0.059927515634599755,0.04628520353501461,0.051202087484950094,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.24858286854587455,0.192160851623497,0.21676041442147168,0.22598436575369718,0.17249637705575263,0.19529345689307534,0.06035574705792441,0.046247698999025616,0.05145937944828457,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.24739032382288845,0.19279366843494677,0.21670614517570566,0.2252654402542777,0.17351388953180624,0.19566383821473768,0.05986732897181002,0.04636856668175625,0.051283712859285936,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.4396958365758097,0.48682624699497623,0.46206232476306447,0.4203333988812786,0.46564858982041046,0.44168259321327374,0.06362436563717164,0.058127345423755056,0.06096268730087404,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
