,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.5603407004535325,0.4469625267175714,0.49727090818674047,0.5603381646132188,0.4469625267175714,0.4972658378255335,0.0008013734500729651,0.003614865886436145,0.002485033109636132,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.6113410055814453,0.6482878078701859,0.6292725541638602,0.611341633763986,0.6482878078701859,0.6292727446658878,0.0008346679615394003,0.00024063435675057105,0.0005214719067448756,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.6107403587706378,0.6483455076614504,0.6289813562573942,0.6107403587706378,0.6483455076614504,0.6289813562573942,,,,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.6109899508694404,0.6480235690533727,0.6289620919121399,0.6109899508694404,0.6480235690533727,0.6289620919121399,,,,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.6122945916518797,0.6484943468957348,0.629874785828129,0.6122945916518797,0.6484943468957348,0.629874785828129,,,,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.5594179981259361,0.4435101012336281,0.49476634095540956,0.5594179981259361,0.4435101012336281,0.4947663409554095,,,,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.5607135741700197,0.450720444183484,0.49973615010700756,0.5607135741700197,0.450720444183484,0.4997361501070075,,,,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.5608829215437007,0.4466570347356022,0.4972950224141836,0.5608829215437007,0.4466570347356022,0.4972950224141836,,,,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.6874769138442952,0.7088096434710227,0.6979803159223441,0.6874768513582995,0.7088096434710227,0.6979802063895325,0.00036364735882425355,0.0007820851596491995,0.0005294508490751704,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.6878783400706786,0.7096108837542632,0.6985756290513129,0.6878783400706786,0.7096108837542632,0.6985756290513129,,,,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
MCF7_c20000_s23,0.6873826176210823,0.7080482357141382,0.6975624030440651,0.6873826176210823,0.7080482357141382,0.6975624030440651,,,,0.286,12303.0,220687277.0,20000.0,0.0,0.0,254084527.0,101628677.0,355713204.0,cells,23.0,20000.0,MCF7,file
MCF7_c20000_s6,0.6871695963831372,0.7087698109446668,0.6978025870732195,0.6871695963831372,0.7087698109446668,0.6978025870732195,,,,0.286,12303.0,219922013.0,20000.0,0.0,0.0,254619002.0,101859466.0,356478468.0,cells,6.0,20000.0,MCF7,file
MCF7_c2500,0.563105814696016,0.5442212620889532,0.5535025081356411,0.5631067453239783,0.5442212620889532,0.5534997654745305,0.00024011519854717504,0.002970262105832953,0.0014245530859438766,0.28533333333333327,29803.0,532039683.0,2500.0,0.0,0.0,31707294.333333332,12653503.666666666,44360798.0,cells,,2500.0,MCF7,condition
MCF7_c2500_s42,0.5629940813743014,0.5460945929066631,0.5544155860689536,0.5629940813743014,0.5460945929066631,0.5544155860689536,,,,0.286,29803.0,531677859.0,2500.0,0.0,0.0,31945007.0,12777615.0,44722622.0,cells,42.0,2500.0,MCF7,file
MCF7_c2500_s87,0.5629436794082031,0.5457726542985852,0.5542252004244027,0.5629436794082031,0.5457726542985852,0.5542252004244027,,,,0.285,29803.0,531781951.0,2500.0,0.0,0.0,31920919.0,12697611.0,44618530.0,cells,87.0,2500.0,MCF7,file
MCF7_c2500_s91,0.5633824751894305,0.5407965390616113,0.5518585099302356,0.5633824751894305,0.5407965390616113,0.5518585099302356,,,,0.285,29803.0,532659239.0,2500.0,0.0,0.0,31255957.0,12485285.0,43741242.0,cells,91.0,2500.0,MCF7,file
MCF7_c30000,0.8334033683530165,0.8381142746551591,0.835752183034467,0.8334044785321506,0.8381142746551591,0.8357526323156673,0.0023261831318184983,0.0017943362462051798,0.002046620165867372,0.286,2303.0,40927918.333333336,30000.0,0.0,0.0,382485610.3333333,152986952.33333334,535472562.6666667,cells,,30000.0,MCF7,condition
