,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.2688932085069212,0.21448591507661668,0.23862762403526624,0.24761309059332,0.19646027706744862,0.21887038853809845,0.0541299909016373,0.04684728559603441,0.04961827331920268,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.4096354142379696,0.43439200429513747,0.421650635308409,0.3913048342599186,0.4144166746649903,0.40245077021510156,0.05859362280738607,0.056392623370623354,0.057379220641636135,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.4096381951619252,0.434860869739115,0.42187286932603135,0.3913620705960838,0.4153664603667829,0.4029223763709767,0.05843575197811746,0.05608456868491767,0.057132608496005065,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.4078777666174006,0.43260025092852405,0.4198754054319146,0.38900848848383235,0.41204993334321005,0.40012735069810296,0.058802455888552645,0.057074943859077756,0.05784149956261956,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.4113927488870127,0.43571489221777343,0.42320465202439433,0.3935439436998396,0.4158336302849781,0.40430258357622484,0.058523875025413015,0.05600362605152549,0.05715005835588176,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.2695006851994439,0.21366183529266744,0.23835462632199242,0.248905147901499,0.19658288133222646,0.21943223429715747,0.05419654069254409,0.047065450040973636,0.049737276849348616,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.26912931772999055,0.21633520431463302,0.23986158944411412,0.24725904314428732,0.19739182020875007,0.21933120771655426,0.054035878360989886,0.046940002627794734,0.04969488726511204,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.2680501030846348,0.2134607056225496,0.23766097504755587,0.24667508073417374,0.19540612966136947,0.21784772360058346,0.054197094821612474,0.04656944346093868,0.04946540923964161,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.550817418172595,0.5679095398408863,0.5592329106759111,0.5364367476205497,0.5528350986265387,0.5444681196884842,0.05146256130053087,0.04905979505779091,0.05009968444498665,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.5511510690768566,0.5685639079281808,0.559722093798023,0.5367021195291506,0.5536471320785384,0.5450068273073367,0.051230157210668543,0.04930869985628599,0.05013968654898124,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
MCF7_c20000_s23,0.5508668910478282,0.567428271127385,0.5590249482982427,0.5366715274735974,0.5522589612465039,0.5443018504166788,0.05202573895856252,0.04926308374769933,0.05044968934939015,0.286,12303.0,220687277.0,20000.0,0.0,0.0,254084527.0,101628677.0,355713204.0,cells,23.0,20000.0,MCF7,file
MCF7_c20000_s6,0.5504343083233105,0.5677364404670929,0.5589515112186498,0.5359365958589011,0.5525992025545736,0.544095681341437,0.05118504356589007,0.04865258033114111,0.04976238394176531,0.286,12303.0,219922013.0,20000.0,0.0,0.0,254619002.0,101859466.0,356478468.0,cells,6.0,20000.0,MCF7,file
MCF7_c2500,0.29942319178894217,0.2893816101367168,0.294316775504487,0.27992762429389845,0.26977389541249597,0.27464204204642206,0.05609232644951051,0.053349198822537566,0.0543600724267875,0.28533333333333327,29803.0,532039683.0,2500.0,0.0,0.0,31707294.333333332,12653503.666666666,44360798.0,cells,,2500.0,MCF7,condition
MCF7_c2500_s42,0.29974426359050677,0.2907467893836318,0.2951769779953558,0.2804870593886549,0.27122643953178366,0.27566653023184495,0.05640874178636453,0.05336307263174785,0.054523770018004805,0.286,29803.0,531677859.0,2500.0,0.0,0.0,31945007.0,12777615.0,44722622.0,cells,42.0,2500.0,MCF7,file
MCF7_c2500_s87,0.29987258350801815,0.2907258076413538,0.2952283661328785,0.28044225082601515,0.27137105777077064,0.2757243565985002,0.05594795746452395,0.05368907893453984,0.05449792603465047,0.285,29803.0,531781951.0,2500.0,0.0,0.0,31920919.0,12697611.0,44618530.0,cells,87.0,2500.0,MCF7,file
MCF7_c2500_s91,0.2986448705697363,0.2866722333851648,0.29253610207791336,0.2788535626670253,0.26672418893493366,0.27253523930892126,0.05597039391365835,0.05292518022365499,0.05406066234216209,0.285,29803.0,532659239.0,2500.0,0.0,0.0,31255957.0,12485285.0,43741242.0,cells,91.0,2500.0,MCF7,file
MCF7_c30000,0.7918275597636696,0.7963034541302505,0.7940591996491976,0.7858098799820271,0.7902578393747681,0.7880017279621325,0.027448516632861183,0.026055220517626227,0.026389095837390807,0.286,2303.0,40927918.333333336,30000.0,0.0,0.0,382485610.3333333,152986952.33333334,535472562.6666667,cells,,30000.0,MCF7,condition
MCF7_c30000_s12,0.7944785201068505,0.7989075396907357,0.7966868743866515,0.7883619765894687,0.7927699578476289,0.7905368539557587,0.026863525811955537,0.02555358569236612,0.0258797261454639,0.286,2303.0,40020754.0,30000.0,0.0,0.0,383212521.0,153167206.0,536379727.0,cells,12.0,30000.0,MCF7,file
MCF7_c30000_s84,0.7927045523136782,0.7965128344333995,0.7946041304317965,0.7866654922524201,0.7906300373727708,0.7886154906315433,0.027446688900373564,0.025851040043959977,0.026261002726116464,0.286,2303.0,41093086.0,30000.0,0.0,0.0,382323790.0,152983605.0,535307395.0,cells,84.0,30000.0,MCF7,file
MCF7_c30000_s90,0.7883037977734377,0.7934899882666163,0.7908883910989584,0.7824021711041924,0.7873735229039045,0.7848528392990958,0.02771654931842618,0.026498901293931475,0.0267333449826695,0.286,2303.0,41669915.0,30000.0,0.0,0.0,381920520.0,152810046.0,534730566.0,cells,90.0,30000.0,MCF7,file
MCF7_c5000,0.33985670120973643,0.3553474975392897,0.34742951355630636,0.32066632444574356,0.33417643236560146,0.32718927307779844,0.05842597074029234,0.05664084757777335,0.05735995424778084,0.2856666666666667,27303.0,485618013.6666667,5000.0,0.0,0.0,64855415.0,25927052.333333332,90782467.33333333,cells,,5000.0,MCF7,condition
MCF7_c5000_s3,0.3403293415007705,0.35517090120845,0.34759176634548866,0.3204293591691314,0.3333593052433471,0.32667768567726674,0.058421979301307506,0.05663767685411378,0.05736649184980314,0.286,27303.0,485105702.0,5000.0,0.0,0.0,65200338.0,26094441.0,91294779.0,cells,3.0,5000.0,MCF7,file
MCF7_c5000_s55,0.3402389222442447,0.356379482347634,0.34812221493045065,0.3212215283285635,0.3352289038306368,0.32799090903343237,0.058101798769385656,0.05666264626605148,0.05722314824863408,0.286,27303.0,484689494.0,5000.0,0.0,0.0,65482874.0,26228113.0,91710987.0,cells,55.0,5000.0,MCF7,file
MCF7_c5000_s92,0.3390021433409627,0.354492109061785,0.34657413339198795,0.3203480858395356,0.33394108802282063,0.3268992245226961,0.05881748767100218,0.056673454980985305,0.05754940528920963,0.285,27303.0,487058845.0,5000.0,0.0,0.0,63883033.0,25458603.0,89341636.0,cells,92.0,5000.0,MCF7,file
