,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.5635157739275386,0.3711505537166251,0.44753766201981665,0.5635169955451755,0.37115055371662503,0.44753771374180484,0.000875518897525317,0.0002835632202396728,0.00019689147181789886,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.5693412319440768,0.6023715769132757,0.5853908450866016,0.5693418836706579,0.6023715769132757,0.5853910592551702,0.000856964915516532,0.000248816623743263,0.0005597213293437311,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.5698250538510783,0.6023787909540608,0.5856498910412724,0.5698250538510783,0.6023787909540608,0.5856498910412724,,,,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.5683524357594767,0.6021192317163548,0.5847487666260512,0.5683524357594767,0.6021192317163548,0.5847487666260512,,,,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.5698481614014186,0.6026167080694116,0.5857745200981871,0.5698481614014186,0.6026167080694116,0.5857745200981871,,,,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.5625072811394679,0.37139212659588716,0.4473945986852107,0.5625072811394679,0.3713921265958871,0.4473945986852107,,,,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.5640653378501186,0.37122118307539237,0.4477622575835638,0.5640653378501186,0.3712211830753923,0.4477622575835638,,,,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.5639783676459403,0.3708383514785957,0.44745628495664,0.5639783676459403,0.3708383514785957,0.44745628495664,,,,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.6044822928540742,0.6524331204801354,0.6275430540796546,0.6044822791747143,0.6524331204801354,0.6275430419571278,0.00022878664171725716,0.00033050630188251686,0.0002709530628087684,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.6043162279595637,0.6520980575317803,0.6272985637587754,0.6043162279595637,0.6520980575317803,0.6272985637587754,,,,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
