,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.2538740818135624,0.16721005941444997,0.20162383783932789,0.22966702172500378,0.15127074551700082,0.1821281899654445,0.055121738434163216,0.04142500105678464,0.04660649977308626,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.3343196307634131,0.3537151920094945,0.3437440329297251,0.315278156304737,0.3320046502175332,0.3232844933474999,0.06046626517079973,0.05774328574956603,0.05884349506682601,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.33499506722462635,0.3541331189398402,0.34429834787632846,0.3155485631825769,0.33161740853043287,0.323240087560396,0.06087833844125917,0.058536980953135545,0.05942783622035295,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.3334268256256484,0.3532362869371074,0.3430458159013642,0.3144881802235698,0.3318388660727481,0.32279688191123557,0.060568045781972536,0.05741360409024881,0.05876457053878147,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.334538849336496,0.3537761701515358,0.34388868333338785,0.31579772550806423,0.3325576760494189,0.32381651057086813,0.06001320095715106,0.05733599217776139,0.05839905006292916,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.25410678413940807,0.16777251087809109,0.20210583315996697,0.22979380630264418,0.15166454723803754,0.18244898418335143,0.05473629275953175,0.04173429098377663,0.04670043541430096,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.2538854174582373,0.16708639710720863,0.20153748167176438,0.22998860075081587,0.15146824049550592,0.18237154162132055,0.0553315759257359,0.04127037625011215,0.04655821958931226,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.2536290769154814,0.16677127025805014,0.20122744244124938,0.22921865812155126,0.15067944881745893,0.18156404409166146,0.055357804379838456,0.041311482207742466,0.04661104854055381,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.4057566757243264,0.4379435050918455,0.4212361329808565,0.3872216073399083,0.4173953831084969,0.40162987581166676,0.060601874027414994,0.05743802149969911,0.05888130194094822,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.4053082296898277,0.4373549758456367,0.4207222288610346,0.38652485863193287,0.41682670113879733,0.4009998239922249,0.060607473166428484,0.057412228119424376,0.058905685960643044,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
