,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.4005822491444904,0.4535419191701684,0.4254202112580044,0.355849280758611,0.414232985951935,0.3811093974647797,0.07269254264162263,0.07839303535942765,0.07125956921430214,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.5555676338893797,0.5748041275076079,0.5650221988464866,0.5328524689832027,0.5494696106765884,0.5409038249507905,0.05721188797295683,0.05537963162394444,0.05578537624798887,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.5545844852140404,0.5735194680363982,0.5638930668131182,0.5328160354024845,0.550184738849332,0.5412514933713584,0.05614971018320043,0.053567610147610294,0.05445155836257051,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.55736134096145,0.5766100808839748,0.5668223408494163,0.5348933870049598,0.550330519462674,0.542341551637194,0.05717716976669159,0.05664178824540752,0.05625628632743296,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.5547574308309039,0.5742845388113342,0.5643521213260799,0.5308479845421635,0.5478935737177592,0.539118429843819,0.05828533810895477,0.055915033777722306,0.056641947589531685,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.40182179360929066,0.4539312481119364,0.42628996778035705,0.35995991141926464,0.427039300186499,0.3886057657431686,0.07509658066174114,0.08701271963134312,0.07515777378990009,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.39564374990074164,0.45298131253210416,0.4223755179027455,0.3530595369680937,0.4083766332671151,0.377298037091895,0.07103401293886792,0.07386884496236633,0.06908286206862395,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.404410197425307,0.453732030213607,0.42765372453872535,0.3545283938884745,0.40728302440219105,0.3774243895592754,0.07178729088886061,0.07194666304212029,0.0688500869604892,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.6875612043347132,0.6957165003290179,0.6916148120207514,0.6786308202163006,0.6848954456848729,0.6816889933509832,0.041042090882138074,0.03920274182144709,0.03965235292626336,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.687485871622706,0.6958006221744217,0.691618257470471,0.6778801263825213,0.6845447795896368,0.6811417067013648,0.04178473506519214,0.03918036019228448,0.040077020721096736,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.6869396177859567,0.6953277215287779,0.6911082186167475,0.67808886771643,0.6854424062907348,0.6816972021520443,0.04066938034381752,0.03864163579555553,0.03927691832637322,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.6882551173777177,0.6960196733055065,0.6921156191996345,0.6799234665499507,0.6846991511742472,0.6822280711995405,0.04068017323946441,0.039818164487272906,0.03963882024162008,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.4694081142566526,0.49832136655057246,0.4834328138297137,0.4295127768510941,0.4598708271230763,0.4436271297628011,0.06579612318785082,0.06318557227186106,0.06295087323132005,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.47017359703961575,0.4984792968843547,0.4839128763998539,0.43162624388681087,0.46360952273978284,0.4464982159423104,0.06792572882804009,0.06594211825647302,0.065461766710232,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.470090953900719,0.49811653278633516,0.4836981313839659,0.4291467414049034,0.4577177252883522,0.44238196157028176,0.06526607619552363,0.061701138013496866,0.061743216462145915,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.46791785056966356,0.49836325276677645,0.4826609176819279,0.4277653452615683,0.45828523334109406,0.44200121177581136,0.06415970884151738,0.06172689072941854,0.061546347693433576,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.5061138893058925,0.53095155697534,0.5182352926662571,0.4736356203638285,0.49676721509160954,0.48469633660975375,0.06324993521495963,0.06072419721965694,0.06127570408777878,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
HEPG2_c5000_s31,0.5054122705171951,0.5321042152629135,0.5184148941702637,0.47456572072128916,0.49916303157544134,0.4863174832020926,0.06340160742493926,0.061029225290040186,0.06148966780393041,0.286,20043.0,511933451.0,5000.0,0.0,0.0,90089001.0,36131300.0,126220301.0,cells,31.0,5000.0,HEPG2,file
HEPG2_c5000_s39,0.5057234203605849,0.5289785302728905,0.5170896439561936,0.47277739939471675,0.49409058437516173,0.48296695153768826,0.06419602365933791,0.06098601831101404,0.06189746097911822,0.287,20043.0,511101262.0,5000.0,0.0,0.0,90598055.0,36454435.0,127052490.0,cells,39.0,5000.0,HEPG2,file
HEPG2_c5000_s73,0.5072009698353529,0.5317790174152098,0.5191992852236517,0.4735637409754796,0.4970480293242256,0.48480457508948016,0.06219876249768963,0.06011825516752351,0.060457946497170754,0.288,20043.0,511093542.0,5000.0,0.0,0.0,90474590.0,36585620.0,127060210.0,cells,73.0,5000.0,HEPG2,file
HEPG2_c7500,0.532482356150818,0.553333992896757,0.5427079607604904,0.5054671228175464,0.5237689963835368,0.5142911836938613,0.059211100526850496,0.05777344322453243,0.05788776552626929,0.2873333333333333,17543.0,446959556.0,7500.0,0.0,0.0,136305964.33333334,54888231.666666664,191194196.0,cells,,7500.0,HEPG2,condition
