,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.4210896484111366,0.4819805168404105,0.4494822532882888,0.36375747853250134,0.42835500154255696,0.3880569268873499,0.11898939243781201,0.13282400690620216,0.11524423945382047,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.5704101325517912,0.5989947869130903,0.5843531015027316,0.5273072880361958,0.5575354769384506,0.541696098327507,0.07125932398954067,0.06497030315500343,0.06744538034175761,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.5703792297441946,0.6003489985793705,0.584980512305133,0.5281973614299996,0.5590894029338737,0.542865684813474,0.07116309507735412,0.06463902265553735,0.067190018306534,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.5710332332861608,0.600415820472822,0.5853560360659082,0.5280910268041059,0.5587225412394579,0.5427202601987268,0.07049996713182431,0.0642092195075027,0.06681710316819935,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.5698116587418565,0.5962102528690276,0.582712125326807,0.5256334758744817,0.5547944866420204,0.5395023499703202,0.07216037266471041,0.06603857780775049,0.06834622768847247,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.41242523679862225,0.4693131711709326,0.4390340581819533,0.3553807949749119,0.4186221046096591,0.3796115800720909,0.11962780953002074,0.13706156349067009,0.12001543843978164,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.4305745763751201,0.4933024214322514,0.4598090040927694,0.3650361249237037,0.4273246215192029,0.38794381357877233,0.12667911329938839,0.13600770913605306,0.11935689324383227,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.4192125887576992,0.48185955710270373,0.4483583102167217,0.3708555156988884,0.4391067054941321,0.3966153870111865,0.10967404104818364,0.1243966200828507,0.10526536324807462,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.5920486871192255,0.6231528280513178,0.6072026887995412,0.5625224865718333,0.594104318178101,0.5777096577351759,0.06572336843658022,0.05887420798475157,0.061963381886661534,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.5900861835889176,0.6229468477988518,0.6060714234233623,0.5601325487799389,0.5934037992942198,0.5761094007454644,0.06584866143882619,0.05842264980067165,0.061831307761612976,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.5925808922075435,0.6232126207599946,0.6075108756643276,0.563036273349739,0.5947816745133035,0.5783132050458637,0.06560903233739757,0.05909355222251702,0.062047116594872054,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.5934942139136402,0.6232996257691649,0.6080318774871,0.5643986375858221,0.5941274807267796,0.5787063674141995,0.06571810847309333,0.059165570723003165,0.062053566967983545,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
K562_c2500,0.5122595842115756,0.5443686270073481,0.5278262373989058,0.46274317154100203,0.4954912293302023,0.4773705873537616,0.07552910628118502,0.07902476788991904,0.07392968798098766,0.301,45560.0,697726447.3333334,2500.0,0.0,0.0,26908787.333333332,11594081.333333334,38502868.666666664,cells,,2500.0,K562,condition
K562_c2500_s3,0.5132225301149635,0.5459520198790447,0.5290815889888655,0.46264414747016874,0.5012460060941356,0.47989819294533664,0.07158995020791556,0.07485896744939957,0.06938187792172346,0.301,45560.0,697353440.0,2500.0,0.0,0.0,27172714.0,11703162.0,38875876.0,cells,3.0,2500.0,K562,file
K562_c2500_s58,0.5109791828661477,0.5446126115906134,0.5272600804790916,0.46457659991866074,0.49000183556128957,0.47592768501765415,0.07360542733216673,0.07841709865468997,0.0730364061371603,0.301,45560.0,698391974.0,2500.0,0.0,0.0,26452430.0,11384912.0,37837342.0,cells,58.0,2500.0,K562,file
K562_c2500_s61,0.5125392257523391,0.5425397078093045,0.5271129447003307,0.46100876723417666,0.4952258463351816,0.4762858840982939,0.08110643165233244,0.08326528438461986,0.07906952128764329,0.301,45560.0,697433928.0,2500.0,0.0,0.0,27101218.0,11694170.0,38795388.0,cells,61.0,2500.0,K562,file
K562_c30000,0.6286936907425917,0.6528428877733746,0.6405407562608731,0.6087066985923887,0.6331163421825868,0.6205784498096308,0.057552816415125906,0.05199253762643008,0.054511284596015536,0.301,18060.0,276699058.0,30000.0,0.0,0.0,321220577.0,138309681.0,459530258.0,cells,,30000.0,K562,condition
K562_c30000_s60,0.629216239486912,0.6536798093907671,0.6412147762918192,0.609019448425753,0.6343901152188632,0.6213527544911024,0.05750413971456741,0.05195139182662402,0.05448120893219926,0.301,18060.0,276944982.0,30000.0,0.0,0.0,321110450.0,138173884.0,459284334.0,cells,60.0,30000.0,K562,file
K562_c30000_s85,0.6298705141558565,0.6527948033482719,0.6411278028836603,0.610239273670302,0.6332938042138538,0.6214533496964372,0.05846214321295954,0.05192651746665789,0.05493790181962924,0.301,18060.0,277247667.0,30000.0,0.0,0.0,320753116.0,138228533.0,458981649.0,cells,85.0,30000.0,K562,file
K562_c30000_s90,0.6270056727987364,0.6520572967431248,0.6392861552300106,0.6068613736811113,0.6316651071150433,0.618929245241353,0.05669620323576921,0.05212516930517854,0.05413917692758388,0.301,18060.0,275904525.0,30000.0,0.0,0.0,321798165.0,138526626.0,460324791.0,cells,90.0,30000.0,K562,file
K562_c40000,0.7153645220963762,0.729231310096886,0.7222313619071596,0.701676138983682,0.7165055923702065,0.708967667711362,0.043713118985448655,0.04048684462781941,0.041811351236885765,0.301,8060.0,123166497.0,40000.0,0.0,0.0,428683530.3333333,184379288.66666666,613062819.0,cells,,40000.0,K562,condition
K562_c40000_s7,0.7156138802306016,0.729429350483834,0.722455573312848,0.7017923195763487,0.7165113978320977,0.7090257900713973,0.043672225134981535,0.04053736831000866,0.04177399684208117,0.301,8060.0,123536125.0,40000.0,0.0,0.0,428380106.0,184313085.0,612693191.0,cells,7.0,40000.0,K562,file
K562_c40000_s71,0.7145919489070023,0.7295678931314927,0.7220022707138982,0.7006569445716008,0.7166380021985737,0.7085077503395799,0.044459332474148495,0.041023276167223954,0.042440730899565286,0.301,8060.0,123560376.0,40000.0,0.0,0.0,428451800.0,184217140.0,612668940.0,cells,71.0,40000.0,K562,file
K562_c40000_s73,0.715888345159963,0.7286976472872633,0.7222362054815437,0.7025791528030969,0.7163673770799481,0.7093694627231087,0.04302667220229697,0.039940361215425525,0.04125615579326486,0.301,8060.0,122402990.0,40000.0,0.0,0.0,429218685.0,184607641.0,613826326.0,cells,73.0,40000.0,K562,file
K562_c5000,0.5537556360698739,0.5756598135134219,0.5644953171299432,0.5022115432366429,0.5291833643167291,0.5146758939403698,0.07366610762116439,0.06734014915798514,0.06878458683325424,0.3013333333333333,43060.0,660111889.6666666,5000.0,0.0,0.0,53190986.333333336,22926440.0,76117426.33333333,cells,,5000.0,K562,condition
K562_c5000_s6,0.5533832466775421,0.5754710210762749,0.564211043194601,0.5014798549177468,0.5280879158993306,0.513744340127573,0.07289766978799199,0.06406201420073825,0.06675155542228826,0.301,43060.0,660208999.0,5000.0,0.0,0.0,53162081.0,22858236.0,76020317.0,cells,6.0,5000.0,K562,file
K562_c5000_s63,0.5534821065692781,0.5764009990577749,0.5647091059213288,0.5010389404198974,0.5250397692926208,0.5122507040212917,0.07403990207996443,0.07052141715358526,0.07109515176199699,0.301,43060.0,658842531.0,5000.0,0.0,0.0,54070627.0,23316158.0,77386785.0,cells,63.0,5000.0,K562,file
K562_c5000_s99,0.5544111200166499,0.5750903356197942,0.5645614275053152,0.5041158343722844,0.5344224077582356,0.5180326376722448,0.07410456327246315,0.06702089608775359,0.0683878200576998,0.302,43060.0,661284139.0,5000.0,0.0,0.0,52340251.0,22604926.0,74945177.0,cells,99.0,5000.0,K562,file
K562_c7500,0.5654953671383285,0.5890008166169706,0.5770088073468874,0.5184210650855607,0.5439467587342017,0.5305033855642625,0.07247255906586979,0.06708374908548885,0.0688085743503506,0.3,40560.0,622242694.0,7500.0,0.0,0.0,79774766.33333333,34211855.666666664,113986622.0,cells,,7500.0,K562,condition
K562_c7500_s44,0.5643419089850216,0.5877976000442702,0.5758309946080741,0.5180694900053243,0.5432540246777813,0.5299595192139812,0.07448594870676266,0.06772012141295983,0.07010525475660578,0.299,40560.0,622293611.0,7500.0,0.0,0.0,79849688.0,34086017.0,113935705.0,cells,44.0,7500.0,K562,file
K562_c7500_s50,0.565007281740478,0.5883397189214763,0.5764374904291467,0.5177315279458085,0.5443508430828334,0.5303228780157142,0.0739068856017676,0.06761874915588739,0.06983199823336439,0.301,40560.0,621982263.0,7500.0,0.0,0.0,79881714.0,34365339.0,114247053.0,cells,50.0,7500.0,K562,file
K562_c7500_s80,0.5671379605826906,0.5908677866450706,0.5787597380999598,0.5194621773055498,0.5442354084419908,0.5312277594630922,0.06897283220914148,0.06597246074110957,0.06650581770380376,0.3,40560.0,622452208.0,7500.0,0.0,0.0,79592897.0,34184211.0,113777108.0,cells,80.0,7500.0,K562,file
K562_f005,0.812048771674236,0.8192639072669249,0.8156403835529036,0.8131182903243718,0.8241794924460248,0.8185079412023931,0.04237287558594456,0.04202581287157516,0.041270922813559374,0.05000000000000001,0.0,194332960.0,48060.0,48059.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,,0.05,K562,condition
K562_f005_s45,0.8118599047270932,0.8190362757391094,0.8154323012756193,0.812878023355217,0.8240360171607459,0.8183159647700786,0.04257870071195877,0.041927598991431156,0.04134160908006205,0.05,0.0,194332960.0,48060.0,48060.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,45.0,0.05,K562,file
K562_f005_s74,0.8123202475707972,0.8195999270804364,0.8159438507061466,0.8131604546903484,0.8249212004859782,0.8188921050005074,0.04234235922419875,0.04220542713506768,0.041312297685152835,0.05,0.0,194332960.0,48060.0,48058.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,74.0,0.05,K562,file
K562_f005_s96,0.811966200973602,0.819155601413309,0.815545057042943,0.8133163929275501,0.8235812596913507,0.818315753836594,0.04224614367229239,0.04198286157462202,0.04120517494396116,0.05,0.0,194332960.0,48060.0,48059.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,96.0,0.05,K562,file
K562_f01,0.7979792544012049,0.8101172562363,0.8040024461625314,0.7923273275722341,0.8078539195095553,0.7999318154502041,0.0399820642491494,0.037193079195044616,0.0378265602968654,0.10000000000000002,0.0,164227607.0,48060.0,48058.666666666664,164227607.0,514801538.0,57200171.0,572001709.0,frip,,0.1,K562,condition
K562_f01_s33,0.7980137197395815,0.810686048890705,0.8042999719793408,0.7925311435789082,0.8091010568288616,0.8006535989159712,0.039784829262703277,0.037150569726379874,0.03777439694091501,0.1,0.0,164227607.0,48060.0,48059.0,164227607.0,514801538.0,57200171.0,572001709.0,frip,33.0,0.1,K562,file
K562_f01_s56,0.7978643188702683,0.8092716387259233,0.8035274946854499,0.7916132659406717,0.8061544977427588,0.7987287959815415,0.040467690629352404,0.03706161610419602,0.03796678020753999,0.1,0.0,164227607.0,48060.0,48059.0,164227607.0,514801538.0,57200171.0,572001709.0,frip,56.0,0.1,K562,file
K562_f01_s84,0.7980596127064071,0.8103943349724649,0.8041796783064802,0.7928375731971226,0.8083062039570456,0.8004130514530999,0.03972685649281106,0.03734819074247758,0.0377540577488187,0.1,0.0,164227607.0,48060.0,48058.0,164227607.0,514801538.0,57200171.0,572001709.0,frip,84.0,0.1,K562,file
K562_f02,0.796377776335778,0.8088189734268928,0.8025501616685057,0.7887775425037323,0.8027050696413758,0.7956269467012934,0.037411763963191236,0.033454813487640844,0.03495303871456302,0.20000000000000004,0.0,92727394.0,48060.0,48057.666666666664,92727394.0,514801538.0,128700384.0,643501922.0,frip,,0.2,K562,condition
K562_f025,0.826914304910862,0.8340935806115247,0.8304884274827785,0.8202968319377287,0.8280418518911652,0.8241213200096591,0.03161790242709898,0.029588008665543758,0.030239305871398527,0.25,0.0,49827265.0,48060.0,48043.333333333336,49827265.0,514801538.0,171600513.0,686402051.0,frip,,0.25,K562,condition
K562_f025_s2,0.827015891287735,0.8345036912614169,0.8307429190243073,0.8207203539653143,0.8290930104547845,0.8248556494641133,0.03162387057374336,0.02944024571783932,0.030168809144433924,0.25,0.0,49827265.0,48060.0,48042.0,49827265.0,514801538.0,171600513.0,686402051.0,frip,2.0,0.25,K562,file
K562_f025_s4,0.8270237648663302,0.8340037622125455,0.8304990978092922,0.8201972719429372,0.8272319993386911,0.8236705246440074,0.03139447379720362,0.029779813648543867,0.030226439420706464,0.25,0.0,49827265.0,48060.0,48045.0,49827265.0,514801538.0,171600513.0,686402051.0,frip,4.0,0.25,K562,file
K562_f025_s95,0.8267032822088509,0.8337734405924107,0.8302233093559733,0.8199728699049343,0.82780054588002,0.8238377859208569,0.03186657685230482,0.02954739611713616,0.03034477757674485,0.25,0.0,49827265.0,48060.0,48043.0,49827265.0,514801538.0,171600513.0,686402051.0,frip,95.0,0.25,K562,file
K562_f02_s33,0.7961256045503889,0.8086449246238109,0.8023364310086376,0.7884974850850485,0.802692353271487,0.7954786347756334,0.0376902842885748,0.033183565568973304,0.03497633150252124,0.2,0.0,92727394.0,48060.0,48058.0,92727394.0,514801538.0,128700384.0,643501922.0,frip,33.0,0.2,K562,file
K562_f02_s53,0.7964622248490415,0.8096370806653558,0.802995615990859,0.788781902856947,0.8038581875089033,0.796196831757146,0.03725999524763017,0.033649626080702225,0.034991228829504645,0.2,0.0,92727394.0,48060.0,48058.0,92727394.0,514801538.0,128700384.0,643501922.0,frip,53.0,0.2,K562,file
K562_f02_s83,0.7965455837636676,0.8081751590964056,0.8023182310691602,0.7890532395692014,0.8015646681437371,0.7952053735711009,0.03732604057986796,0.033529965823223165,0.03492561548646665,0.2,0.0,92727394.0,48060.0,48057.0,92727394.0,514801538.0,128700384.0,643501922.0,frip,83.0,0.2,K562,file
K562_f035,0.8611421448370019,0.8659978491492563,0.86356317129734,0.857239901192061,0.8617921773638637,0.8594876734767091,0.022172044525523692,0.02091850803526674,0.02111692440741556,0.3499999999999999,0.0,103578522.0,48060.0,48059.666666666664,103578522.0,411223016.0,221427778.0,632650794.0,frip,,0.35,K562,condition
K562_f035_s18,0.8614275260290561,0.8664118563553597,0.8639125019971198,0.8575993212728551,0.8625139378108011,0.8600258242348908,0.022510075322640648,0.02078160053106946,0.021204167972176894,0.35,0.0,103578522.0,48060.0,48060.0,103578522.0,411223016.0,221427778.0,632650794.0,frip,18.0,0.35,K562,file
K562_f035_s49,0.8605125301374285,0.8658062633855899,0.8631512801807804,0.856930071689256,0.8615082540498069,0.8591888707970088,0.021856064623840998,0.020961073300097662,0.020928416475427022,0.35,0.0,103578522.0,48060.0,48060.0,103578522.0,411223016.0,221427778.0,632650794.0,frip,49.0,0.35,K562,file
K562_f035_s96,0.8614870331575526,0.865775413978035,0.8636259000542501,0.8571903106140715,0.8613543402309835,0.8592483253982273,0.02216642035277093,0.021018042036814975,0.021231654732382796,0.35,0.0,103578522.0,48060.0,48059.0,103578522.0,411223016.0,221427778.0,632650794.0,frip,96.0,0.35,K562,file
K562_f04,0.8277362162089276,0.8340211757889645,0.8308668107751724,0.8216609493950974,0.8275486329031679,0.8245559606766787,0.02671908850778824,0.025188543748435148,0.025377128990698397,0.4000000000000001,0.0,182659871.0,48060.0,48060.0,182659871.0,332141667.0,221427778.0,553569445.0,frip,,0.4,K562,condition
K562_f04_s28,0.8277046457543095,0.8344868725028126,0.831081922395801,0.8215165422378641,0.8281871923896554,0.8248015045663578,0.02741785912973075,0.02518667364127868,0.025780084993754365,0.4,0.0,182659871.0,48060.0,48060.0,182659871.0,332141667.0,221427778.0,553569445.0,frip,28.0,0.4,K562,file
K562_f04_s6,0.8284920494453684,0.8337605910637003,0.8311179708826917,0.8227523855782778,0.8273039640774504,0.8249864963908757,0.02646120589713791,0.024612522597757296,0.02499556709288619,0.4,0.0,182659871.0,48060.0,48060.0,182659871.0,332141667.0,221427778.0,553569445.0,frip,6.0,0.4,K562,file
