,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.38531831886120166,0.45800119224210833,0.4185276093049771,0.3632409878374518,0.4220069161440081,0.38671008780565647,0.09432122675086146,0.10211124705763024,0.08919395453735898,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.5548737735007729,0.5778054364726064,0.5661074734343386,0.5249909248491981,0.5478824565717703,0.5359835586451356,0.06189586303713349,0.05737591408934582,0.05899707859795169,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.5548114050345153,0.5774209708721515,0.5658904425682675,0.5237635704827751,0.5473136007596662,0.5350516522439245,0.06318311324339307,0.057173978171659735,0.05958805293040488,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.5532147389131492,0.5772229917316382,0.5649639215126768,0.5232669300746356,0.5469691647087357,0.5346801214702502,0.06146484587333071,0.058044321058925145,0.05922177224010221,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.5565888025871278,0.5787675674896655,0.5674615580719364,0.5279422739901835,0.5493646042469087,0.5382189022212324,0.06098505921831303,0.05694259562108233,0.05817839462036721,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.3807795734015612,0.45994470782394803,0.41663492668063223,0.3503277546751481,0.4214137483293389,0.3795019979169618,0.08727480537517804,0.09662820662187854,0.08497732101193076,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.3857917983159915,0.4525854122395909,0.4165278776215502,0.3643537345778187,0.4094734356399042,0.3820092292307792,0.09583965369490662,0.10311849539089953,0.09082635848529098,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.389651600138128,0.4621327843085165,0.42280835894657426,0.3750414742593885,0.43513356446278123,0.39861903626922846,0.09798431334979163,0.10490171579529668,0.09054788361521789,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.6423513482101348,0.6553962006216716,0.6488082115201798,0.624039509697745,0.636186309620861,0.6299822323900368,0.04902299618981018,0.04656259480047611,0.047392719956135906,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.6419520914147412,0.6560141405088693,0.6489069424759848,0.6235424346675869,0.6368978474543798,0.6300720814157695,0.048962112996839835,0.0463629797066904,0.04725105473320311,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
