,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.3959033332451445,0.45453256834289574,0.42319699471624356,0.34798333464102177,0.40472455170639676,0.36956133012462444,0.10817199315235827,0.12422201650949585,0.10551954582058605,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.4979871502607022,0.5333090464439242,0.5150432108554113,0.4592908338512547,0.4973134480305076,0.47730941215898787,0.0698785627661497,0.06574153545332816,0.06736530875831621,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.498880922169961,0.5346725444969725,0.5161570071799033,0.4599888971968339,0.4970253015869363,0.47758146649461414,0.06876565938631612,0.0661139276137735,0.06698410069921658,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.497373061792617,0.5337425797970476,0.5149164078501914,0.45844038732222553,0.49797389124040303,0.47713592600403154,0.07174864977843202,0.06599660830828233,0.06853728348281961,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.4977116521971749,0.5315205932098407,0.5140608328272438,0.4594432170347045,0.4969411512641834,0.4772108439783181,0.0691581298798735,0.06518340642276452,0.0666387012199958,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.39373224511881677,0.45468652364090817,0.42201976752615933,0.35404704941903303,0.40065872127717395,0.37062204133296606,0.11401370939619038,0.11554246117131521,0.10412884386023923,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.392788569883265,0.44869378970889584,0.41888410366838424,0.3437032014561891,0.4047955132828268,0.36677833283038486,0.10483731352372717,0.1328542028091737,0.1063059731080011,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.4008567155856335,0.4598854284800372,0.4283470111860459,0.34619975304784334,0.4087195049368071,0.3712836162105224,0.10527617638661037,0.12369267089871648,0.10617912921780871,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.5151579500948873,0.5526758209537411,0.5332577985615562,0.4860408675643596,0.5247477042774006,0.5044846765501029,0.06559572709647385,0.059435487562225865,0.06229624949273166,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.51633327069992,0.5528362067621789,0.5339616081753923,0.48664217841247115,0.5247004526902902,0.5047962462876655,0.06622537417196618,0.05966823514990465,0.06278682857682778,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
SKNSH_c20000_s65,0.5146054662519378,0.5521668794069665,0.5327248978329902,0.4857969426896772,0.5243688300983208,0.5041668630812695,0.06564514031635967,0.05872561212659467,0.061997749699808966,0.285,40714.0,654080029.0,20000.0,0.0,0.0,229972330.0,91632758.0,321605088.0,cells,65.0,20000.0,SKNSH,file
SKNSH_c20000_s79,0.5145493523226038,0.5530256699021735,0.5330941514029235,0.4856834815909305,0.5251738300435909,0.5044909202813738,0.06498468217153307,0.05997348486241231,0.062173973575056246,0.285,40714.0,653193036.0,20000.0,0.0,0.0,230459169.0,92032912.0,322492081.0,cells,79.0,20000.0,SKNSH,file
SKNSH_c2500,0.45336491999975653,0.4911640972213064,0.47150816456361705,0.40058273746929207,0.4465525949285633,0.4212747710423488,0.06996893440865005,0.06818703752105366,0.0665398989288091,0.285,58214.0,935534685.3333334,2500.0,0.0,0.0,28702445.0,11447986.666666666,40150431.666666664,cells,,2500.0,SKNSH,condition
