,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
GM12878,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.328,,,30246.0,0.0,0.0,585584726.0,285255118.0,870839844.0,baseline,,,GM12878,file
GM12878_c1000,0.9766759527856698,0.17687661786034706,0.2995115154180039,0.9766779720276252,0.176876617860347,0.29950238258331063,0.0003264878047892238,0.0033081206846136903,0.0047374675595329005,0.32433333333333336,29246.0,847444028.0,1000.0,0.0,0.0,15799318.666666666,7596497.333333333,23395816.0,cells,,1000.0,GM12878,condition
GM12878_c10000,0.9430020442474266,0.6701300356896901,0.7834869833989202,0.9430020862342783,0.6701300356896901,0.7834868305115282,0.0002531756026344177,0.000751725502240367,0.000522509627527348,0.3273333333333333,20246.0,577549916.0,10000.0,0.0,0.0,197269590.33333334,96020337.66666667,293289928.0,cells,,10000.0,GM12878,condition
GM12878_c10000_s14,0.9432618186826357,0.6697451390209515,0.783313444334007,0.9432618186826356,0.6697451390209515,0.783313444334007,,,,0.326,20246.0,577754214.0,10000.0,0.0,0.0,197517430.0,95568200.0,293085630.0,cells,14.0,10000.0,GM12878,file
GM12878_c10000_s17,0.9429884188793799,0.670996265996595,0.784073992616255,0.94298841887938,0.670996265996595,0.784073992616255,,,,0.327,20246.0,570287343.0,10000.0,0.0,0.0,202181455.0,98371046.0,300552501.0,cells,17.0,10000.0,GM12878,file
GM12878_c10000_s90,0.9427560211408192,0.6696487020515238,0.7830730545843225,0.9427560211408192,0.6696487020515238,0.7830730545843225,,,,0.329,20246.0,584608191.0,10000.0,0.0,0.0,192109886.0,94121767.0,286231653.0,cells,90.0,10000.0,GM12878,file
GM12878_c1000_s4,0.9763349027276332,0.17714840387802797,0.29988499821044756,0.9763349027276332,0.1771484038780279,0.2998849982104475,,,,0.32,29246.0,849785087.0,1000.0,0.0,0.0,14319133.0,6735624.0,21054757.0,cells,4.0,1000.0,GM12878,file
GM12878_c1000_s44,0.9767141483449321,0.18004046146742217,0.3040369400703014,0.976714148344932,0.1800404614674221,0.3040369400703014,,,,0.329,29246.0,842777745.0,1000.0,0.0,0.0,18837828.0,9224271.0,28062099.0,cells,44.0,1000.0,GM12878,file
GM12878_c1000_s48,0.9769848650103102,0.173440988235591,0.294585209469183,0.9769848650103102,0.173440988235591,0.294585209469183,,,,0.324,29246.0,849769252.0,1000.0,0.0,0.0,14240995.0,6829597.0,21070592.0,cells,48.0,1000.0,GM12878,file
GM12878_c20000,0.9376452018004149,0.8455433502203179,0.889215741487231,0.9376453592279358,0.8455433502203179,0.8892153740574242,0.00015835873515217093,0.0015383390297126457,0.0007794659377102755,0.328,10246.0,303361006.0,20000.0,0.0,0.0,381518729.0,185960109.0,567478838.0,cells,,20000.0,GM12878,condition
GM12878_c20000_s50,0.937757335763422,0.8444555802606442,0.8886642084071653,0.937757335763422,0.8444555802606442,0.8886642084071653,,,,0.327,10246.0,317640377.0,20000.0,0.0,0.0,372545127.0,180654340.0,553199467.0,cells,50.0,20000.0,GM12878,file
GM12878_c20000_s9,0.9375333826924495,0.8466311201799916,0.889766539707683,0.9375333826924496,0.8466311201799916,0.889766539707683,,,,0.328,10246.0,292937652.0,20000.0,0.0,0.0,388499591.0,189402601.0,577902192.0,cells,9.0,20000.0,GM12878,file
GM12878_c2500,0.9692519367348749,0.3397483946449142,0.5031347687514146,0.9692565447988822,0.3397483946449142,0.503094662120391,0.0003608736211567302,0.008456526699076785,0.00920800478011349,0.3276666666666667,27746.0,795532468.6666666,2500.0,0.0,0.0,50605751.666666664,24701623.666666668,75307375.33333333,cells,,2500.0,GM12878,condition
GM12878_c2500_s21,0.9690961912557178,0.3366707734996015,0.49973138103814346,0.9690961912557178,0.3366707734996015,0.4997313810381434,,,,0.327,27746.0,796513045.0,2500.0,0.0,0.0,50037572.0,24289227.0,74326799.0,cells,21.0,2500.0,GM12878,file
GM12878_c2500_s80,0.9690036377576745,0.34931272886881237,0.5135114962656624,0.9690036377576744,0.3493127288688123,0.5135114962656624,,,,0.332,27746.0,784443544.0,2500.0,0.0,0.0,57729755.0,28666545.0,86396300.0,cells,80.0,2500.0,GM12878,file
GM12878_c2500_s95,0.9696698053832544,0.3332616815663287,0.4960411090573674,0.9696698053832544,0.3332616815663287,0.4960411090573674,,,,0.324,27746.0,805640817.0,2500.0,0.0,0.0,44049928.0,21149099.0,65199027.0,cells,95.0,2500.0,GM12878,file
GM12878_c30000,0.9883072746180256,0.9865112919880106,0.9874084666321447,0.9883072757704342,0.9865112919880105,0.9874084669185792,0.00038574602238914524,0.0003828410189036667,0.0003837363029729462,0.328,246.0,6538138.333333333,30000.0,0.0,0.0,581176836.3333334,283124869.3333333,864301705.6666666,cells,,30000.0,GM12878,condition
GM12878_c30000_s40,0.9887348034064507,0.9869464600572193,0.987839822347246,0.9887348034064508,0.9869464600572192,0.987839822347246,,,,0.328,246.0,4666165.0,30000.0,0.0,0.0,582421054.0,283752625.0,866173679.0,cells,40.0,30000.0,GM12878,file
GM12878_c30000_s63,0.9882017481946027,0.9863610786399923,0.9872805554895672,0.9882017481946028,0.9863610786399925,0.9872805554895672,,,,0.328,246.0,9003056.0,30000.0,0.0,0.0,579555852.0,282280936.0,861836788.0,cells,63.0,30000.0,GM12878,file
GM12878_c30000_s89,0.987985275710249,0.9862263372668201,0.9871050229189244,0.987985275710249,0.98622633726682,0.9871050229189244,,,,0.328,246.0,5945194.0,30000.0,0.0,0.0,581553603.0,283341047.0,864894650.0,cells,89.0,30000.0,GM12878,file
GM12878_c5000,0.9598348853329762,0.4865766848655145,0.6457819975257802,0.9598430136546178,0.4865766848655145,0.6457596537500678,0.0007913416515734204,0.007337644131256805,0.006273832727962527,0.32633333333333336,25246.0,731897695.3333334,5000.0,0.0,0.0,93568156.0,45373992.666666664,138942148.66666666,cells,,5000.0,GM12878,condition
GM12878_c5000_s18,0.9598728692540927,0.4841472343169003,0.6436472647381662,0.9598728692540928,0.4841472343169003,0.6436472647381662,,,,0.327,25246.0,736877431.0,5000.0,0.0,0.0,90098692.0,43863721.0,133962413.0,cells,18.0,5000.0,GM12878,file
GM12878_c5000_s33,0.9590371667111619,0.4948209441870288,0.6528170428533676,0.959037166711162,0.4948209441870288,0.6528170428533676,,,,0.326,25246.0,719820541.0,5000.0,0.0,0.0,101803608.0,49215695.0,151019303.0,cells,33.0,5000.0,GM12878,file
GM12878_c5000_s48,0.9606190049985983,0.48076187609261434,0.6408146536586694,0.9606190049985984,0.4807618760926143,0.6408146536586694,,,,0.326,25246.0,738995114.0,5000.0,0.0,0.0,88802168.0,43042562.0,131844730.0,cells,48.0,5000.0,GM12878,file
