,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
GM12878,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.328,,,30246.0,0.0,0.0,585584726.0,285255118.0,870839844.0,baseline,,,GM12878,file
GM12878_c1000,0.9362006022890523,0.16954650690375542,0.2870991758597911,0.9154355081287566,0.1425380434391865,0.23868148441535778,0.030732965277992654,0.08306424044587907,0.11327757387399037,0.32433333333333336,29246.0,847444028.0,1000.0,0.0,0.0,15799318.666666666,7596497.333333333,23395816.0,cells,,1000.0,GM12878,condition
GM12878_c10000,0.9000787669044282,0.6396272626010723,0.747824463589751,0.8881880803905481,0.6137307465182449,0.7243563457544169,0.030672492873613816,0.0770896594951043,0.06280746989642817,0.3273333333333333,20246.0,577549916.0,10000.0,0.0,0.0,197269590.33333334,96020337.66666667,293289928.0,cells,,10000.0,GM12878,condition
GM12878_c10000_s14,0.9003845505336889,0.6393009491380608,0.7477068503511283,0.8883934872573527,0.6130947442169274,0.7239592341685351,0.03045576775250182,0.07745288043364985,0.06305941963985184,0.326,20246.0,577754214.0,10000.0,0.0,0.0,197517430.0,95568200.0,293085630.0,cells,14.0,10000.0,GM12878,file
GM12878_c10000_s17,0.9000360986442953,0.6404329569287258,0.7483600893014334,0.8882801809894463,0.61455139342215,0.724994393194567,0.030900857321938917,0.0767171782478344,0.06256926585821398,0.327,20246.0,570287343.0,10000.0,0.0,0.0,202181455.0,98371046.0,300552501.0,cells,17.0,10000.0,GM12878,file
GM12878_c10000_s90,0.8998158468170344,0.6391478817364302,0.7474060392398648,0.8878905729248453,0.6135461019156573,0.7241154099001486,0.03069347386760917,0.07718166142690842,0.06286254945930003,0.329,20246.0,584608191.0,10000.0,0.0,0.0,192109886.0,94121767.0,286231653.0,cells,90.0,10000.0,GM12878,file
GM12878_c1000_s4,0.935829793434374,0.16979906561289,0.28744369902715733,0.9151072468756127,0.1424944807452559,0.23857301573216144,0.03083559526703777,0.08326561872773311,0.11357776776856042,0.32,29246.0,849785087.0,1000.0,0.0,0.0,14319133.0,6735624.0,21054757.0,cells,4.0,1000.0,GM12878,file
GM12878_c1000_s44,0.9359543328389589,0.17252709022624835,0.2913490010194895,0.9149418303939977,0.14518900485360586,0.24255127622108985,0.031028087625784507,0.08386445085219374,0.1138121171208104,0.329,29246.0,842777745.0,1000.0,0.0,0.0,18837828.0,9224271.0,28062099.0,cells,44.0,1000.0,GM12878,file
GM12878_c1000_s48,0.936835300478664,0.1663133648721279,0.28247911826834676,0.9162574471166599,0.13993064471869776,0.23492016129282195,0.030351109917314663,0.08206813048072914,0.11244421518841459,0.324,29246.0,849769252.0,1000.0,0.0,0.0,14240995.0,6829597.0,21070592.0,cells,48.0,1000.0,GM12878,file
GM12878_c20000,0.9082166374632014,0.8190054584526403,0.8613071651859041,0.899946927565894,0.804077597926663,0.8491201603885832,0.025244538169157237,0.045296242876172926,0.03611351736836781,0.328,10246.0,303361006.0,20000.0,0.0,0.0,381518729.0,185960109.0,567478838.0,cells,,20000.0,GM12878,condition
