,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.966424269807235,0.17994556050259586,0.30339904682727675,0.9664252883306124,0.1799455605025958,0.30339328341445093,0.0003109552554190394,0.002632599774006674,0.0037396367939754173,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.9321888045672012,0.7193858477493494,0.8120776526757894,0.9321889037078791,0.7193858477493494,0.8120766501899612,5.357126291355831e-05,0.0019692846353765677,0.001235420104990696,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.9321690111904587,0.7203645668153966,0.8126933514479814,0.9321690111904588,0.7203645668153966,0.8126933514479814,,,,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.9321481242726742,0.7206740325104144,0.81288231145702,0.9321481242726742,0.7206740325104144,0.81288231145702,,,,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.9322495756605043,0.7171189439222372,0.8106542876648826,0.9322495756605044,0.7171189439222372,0.8106542876648826,,,,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.9666533557378669,0.17711028873468082,0.2993699891904388,0.9666533557378668,0.1771102887346808,0.2993699891904388,,,,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.9665514256372757,0.18231267364886566,0.30676313192578175,0.9665514256372756,0.1823126736488656,0.3067631319257817,,,,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.9660710836166949,0.18041371912424106,0.30404672912713243,0.9660710836166948,0.180413719124241,0.3040467291271324,,,,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.9386531414996849,0.9048254385051145,0.9214289220105227,0.9386530643815177,0.9048254385051147,0.9214288307273885,0.0002400695297113952,0.0007376302787515857,0.000489590249521154,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.9384503918401644,0.9045092599930544,0.9211672850452135,0.9384503918401644,0.9045092599930544,0.9211672850452136,,,,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.9385906134126671,0.9042986031014084,0.9211255597866659,0.9385906134126673,0.9042986031014084,0.921125559786666,,,,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.9389181878917214,0.9056684524208809,0.9219936473502861,0.9389181878917214,0.9056684524208808,0.921993647350286,,,,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.9590399214734323,0.3533181140731698,0.516392885474646,0.959042128825056,0.35331811407316976,0.5163814302468701,0.0002846623361084505,0.004563234340637196,0.004844572799684389,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.9587257403300712,0.3570840044339364,0.5203573356607908,0.9587257403300712,0.3570840044339364,0.5203573356607908,,,,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.9591231454476846,0.3546268236345442,0.5178014120633577,0.9591231454476846,0.3546268236345442,0.5178014120633577,,,,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.9592775006974124,0.34824351415102883,0.5109855430164617,0.9592775006974124,0.3482435141510288,0.5109855430164617,,,,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.9479219011923763,0.5191736647784333,0.6708984728477843,0.947922792853948,0.5191736647784334,0.6708969633395546,0.0003253574967562134,0.001958379459714133,0.0015552223706548891,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
HEPG2_c5000_s31,0.9482984724578885,0.5169153572206272,0.6691037631686806,0.9482984724578885,0.5169153572206272,0.6691037631686806,,,,0.286,20043.0,511933451.0,5000.0,0.0,0.0,90089001.0,36131300.0,126220301.0,cells,31.0,5000.0,HEPG2,file
HEPG2_c5000_s39,0.9477374283464646,0.5202014018969842,0.6717096498827679,0.9477374283464646,0.5202014018969842,0.6717096498827679,,,,0.287,20043.0,511101262.0,5000.0,0.0,0.0,90598055.0,36454435.0,127052490.0,cells,39.0,5000.0,HEPG2,file
HEPG2_c5000_s73,0.9477324777574907,0.5204042352176886,0.6718774769672152,0.9477324777574908,0.5204042352176886,0.6718774769672152,,,,0.288,20043.0,511093542.0,5000.0,0.0,0.0,90474590.0,36585620.0,127060210.0,cells,73.0,5000.0,HEPG2,file
HEPG2_c7500,0.9385870159712222,0.6356587159385506,0.7579769857722035,0.9385869183497574,0.6356587159385506,0.7579760692868076,5.453289787233297e-05,0.0017506040006019263,0.0012627503550868852,0.2873333333333333,17543.0,446959556.0,7500.0,0.0,0.0,136305964.33333334,54888231.666666664,191194196.0,cells,,7500.0,HEPG2,condition
HEPG2_c7500_s41,0.9386056821031473,0.636088336229262,0.7582884290582115,0.9386056821031472,0.636088336229262,0.7582884290582115,,,,0.287,17543.0,446450449.0,7500.0,0.0,0.0,136667852.0,55035451.0,191703303.0,cells,41.0,7500.0,HEPG2,file
HEPG2_c7500_s60,0.9386295920022538,0.637154515091451,0.7590533244375703,0.9386295920022538,0.637154515091451,0.7590533244375703,,,,0.287,17543.0,445614502.0,7500.0,0.0,0.0,137351139.0,55188111.0,192539250.0,cells,60.0,7500.0,HEPG2,file
HEPG2_c7500_s65,0.938525480943871,0.6337332964949388,0.7565864543646411,0.938525480943871,0.6337332964949388,0.7565864543646411,,,,0.288,17543.0,448813717.0,7500.0,0.0,0.0,134898902.0,54441133.0,189340035.0,cells,65.0,7500.0,HEPG2,file
HEPG2_f005,0.9768826909265192,0.6660028704778371,0.792029209534266,0.9768826927303543,0.6660028704778371,0.7920291623885198,5.634539902316268e-05,0.00040665580878670136,0.0002884800910239838,0.05000000000000001,0.0,159527414.0,25043.0,25041.666666666668,159527414.0,454695021.0,23931317.0,478626338.0,frip,,0.05,HEPG2,condition
HEPG2_f005_s1,0.9768201023319907,0.6661238943591908,0.7920942064539959,0.9768201023319908,0.6661238943591908,0.7920942064539959,,,,0.05,0.0,159527414.0,25043.0,25041.0,159527414.0,454695021.0,23931317.0,478626338.0,frip,1.0,0.05,HEPG2,file
HEPG2_f005_s76,0.9768986049676761,0.6655494414187669,0.7917137133067444,0.976898604967676,0.6655494414187669,0.7917137133067444,,,,0.05,0.0,159527414.0,25043.0,25042.0,159527414.0,454695021.0,23931317.0,478626338.0,frip,76.0,0.05,HEPG2,file
HEPG2_f005_s95,0.9769293708913965,0.6663352756555536,0.7922795674048191,0.9769293708913964,0.6663352756555536,0.7922795674048191,,,,0.05,0.0,159527414.0,25043.0,25042.0,159527414.0,454695021.0,23931317.0,478626338.0,frip,95.0,0.05,HEPG2,file
HEPG2_f01,0.9713101832817799,0.7888461184246206,0.8706207137688,0.9713101794985138,0.7888461184246207,0.8706207076354607,4.938510773069899e-05,0.0001699409206156861,0.00011944064996373777,0.10000000000000002,0.0,132937062.0,25043.0,25041.333333333332,132937062.0,454695021.0,50521669.0,505216690.0,frip,,0.1,HEPG2,condition
HEPG2_f01_s23,0.9712860632660486,0.788668687562652,0.8705029540142851,0.9712860632660486,0.788668687562652,0.8705029540142851,,,,0.1,0.0,132937062.0,25043.0,25041.0,132937062.0,454695021.0,50521669.0,505216690.0,frip,23.0,0.1,HEPG2,file
HEPG2_f01_s36,0.9713669890880668,0.7890074192082286,0.8707417666974454,0.9713669890880668,0.7890074192082286,0.8707417666974454,,,,0.1,0.0,132937062.0,25043.0,25042.0,132937062.0,454695021.0,50521669.0,505216690.0,frip,36.0,0.1,HEPG2,file
HEPG2_f01_s67,0.9712774861414263,0.7888622485029815,0.8706174021946517,0.9712774861414264,0.7888622485029815,0.8706174021946517,,,,0.1,0.0,132937062.0,25043.0,25041.0,132937062.0,454695021.0,50521669.0,505216690.0,frip,67.0,0.1,HEPG2,file
HEPG2_f02,0.9659800394318544,0.9191281818209477,0.9419718903228543,0.9659800444657591,0.9191281818209477,0.9419718841865933,4.75607070114748e-05,0.0001864549070494687,8.780592127236974e-05,0.20000000000000004,0.0,69784976.0,25043.0,25034.0,69784976.0,454695021.0,113673755.0,568368776.0,frip,,0.2,HEPG2,condition
HEPG2_f025,0.9691350051059826,0.9601718906146945,0.9646326275798632,0.9691350152433267,0.9601718906146947,0.9646326301496718,0.0001277529338485157,3.3928238165010545e-05,7.129784289744637e-05,0.25,0.0,31893724.0,25043.0,24995.666666666668,31893724.0,454695021.0,151565007.0,606260028.0,frip,,0.25,HEPG2,condition
HEPG2_f025_s76,0.9692300447278196,0.9601531043857056,0.9646702229537872,0.9692300447278196,0.9601531043857056,0.9646702229537872,,,,0.25,0.0,31893724.0,25043.0,24996.0,31893724.0,454695021.0,151565007.0,606260028.0,frip,76.0,0.25,HEPG2,file
HEPG2_f025_s88,0.9691852136522661,0.9602110567630496,0.9646772645619779,0.969185213652266,0.9602110567630496,0.964677264561978,,,,0.25,0.0,31893724.0,25043.0,24996.0,31893724.0,454695021.0,151565007.0,606260028.0,frip,88.0,0.25,HEPG2,file
