,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.9309167653778748,0.17333416012058345,0.29225182781007225,0.917707317422761,0.14936350521042785,0.24897744252353673,0.025763259244758342,0.08242529823187066,0.11080511000080219,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.8923666604775553,0.6886544264484605,0.7773865330888609,0.8816324062712132,0.664365956445864,0.7568096262941928,0.028060028640452712,0.06572047367832194,0.05180502496059032,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.8923187622459209,0.6895689632565991,0.7779506899971217,0.8813532783984168,0.6651900070269338,0.7572539459040569,0.028451615559979906,0.06568597588435081,0.05187722403546166,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.8923181287514078,0.6898801675229372,0.7781484553438484,0.881827497336353,0.6659481052060607,0.7579563383561464,0.027986932768303715,0.06464836439766597,0.051056453047317804,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.8924635572796166,0.6865141485658453,0.7760576439852872,0.8817164430788702,0.6619597571045978,0.755218594622375,0.027768404449575464,0.06681904344925124,0.052493955881443295,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.9310372640110705,0.17058470616478555,0.2883397797239668,0.9178002962686947,0.14690957262891174,0.24533669697780683,0.026192939166533077,0.08221700366934502,0.11099249405812132,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.9313431276686773,0.17567162096711217,0.29558875726951117,0.917763319928375,0.15127785898639096,0.2517800266309205,0.026637628424083844,0.08282075418935543,0.11106989617707363,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.9303679084926249,0.1737461532298526,0.2928100470650971,0.9175583360712136,0.1499030840159809,0.24981560396188288,0.024436644609094182,0.0822743144201942,0.11038503719789304,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.9189669315057966,0.8858486910755319,0.9021039525930018,0.9129966148459328,0.8762059390117316,0.8941767834799251,0.017856497460315427,0.02735100246728911,0.02248820155228476,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.9185929980601526,0.885370052732317,0.9016755978175708,0.9126260577292346,0.8753206904043558,0.8935365069960762,0.01787263664697668,0.027324058481518677,0.022454762212907042,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.9187880317146869,0.8852195214321655,0.9016914594546254,0.9127461923010547,0.8759070453660185,0.8939046286108054,0.017987438627194752,0.027118830912084096,0.022454789261382033,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.9195192640442957,0.8869564990621133,0.9029444002663419,0.9136175945075092,0.8773900812648202,0.8950892148328939,0.017713194404043436,0.027598914444624745,0.02255237666332459,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.9220457597108528,0.339689163731258,0.4964734624031389,0.9108711096048723,0.3070580733824108,0.4521187685656018,0.02444419025184326,0.09738122276384314,0.1034253390465774,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.9215023928544617,0.34321991232095067,0.5001540167114994,0.9097519253238672,0.31059442067378695,0.45607092070806277,0.025636288281205802,0.09719310167302707,0.10275016739495924,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.9221149743086977,0.3409433980579289,0.4978218261628368,0.9116698529870736,0.308492851384328,0.45386324964928876,0.02332721485799766,0.09709792652934983,0.10287866215563227,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.9225327464559676,0.3349041808148945,0.4914124391070918,0.9111915505036755,0.30208694808911735,0.4464221353394539,0.02430234812840295,0.09776531554184666,0.10451353795544764,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.9070886106978355,0.49680940771849363,0.6419984208501698,0.8957177849942435,0.4657014369815242,0.6091720135908961,0.027642183871040404,0.0883472166888445,0.07856377163084856,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
HEPG2_c5000_s31,0.9076715720670724,0.49476972550421827,0.6404380922571614,0.8956791424710947,0.464117273121769,0.6078060466454572,0.028071031833271583,0.08827138626547533,0.07876651033695067,0.286,20043.0,511933451.0,5000.0,0.0,0.0,90089001.0,36131300.0,126220301.0,cells,31.0,5000.0,HEPG2,file
HEPG2_c5000_s39,0.906681803532387,0.4976664750857659,0.6426114434125463,0.895616015340511,0.4662112692633158,0.6095020505601635,0.027229289074885806,0.08928938253167948,0.07925565621720423,0.287,20043.0,511101262.0,5000.0,0.0,0.0,90598055.0,36454435.0,127052490.0,cells,39.0,5000.0,HEPG2,file
