,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.9825634673622665,0.13760273781295435,0.24139886127503413,0.9825594873398488,0.1376027378129543,0.24138865623782424,0.00033449884744778065,0.0033513159888105123,0.005169598146075761,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.9371959964171822,0.5803410799837119,0.7168106073653201,0.937197172015496,0.5803410799837119,0.7168100240526144,0.00061600345542748,0.0012829887347422671,0.0007983358856257214,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.9374850806240698,0.579639868225111,0.7163598871775773,0.9374850806240698,0.579639868225111,0.7163598871775773,,,,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.9364899311660738,0.5818218569322207,0.7177317794941576,0.9364899311660738,0.5818218569322207,0.7177317794941576,,,,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.9376165042563444,0.579561514793804,0.7163384054861086,0.9376165042563444,0.579561514793804,0.7163384054861086,,,,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.9822054656874372,0.13392512469661932,0.23571075034262426,0.9822054656874372,0.1339251246966193,0.2357107503426242,,,,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.9828702553384294,0.1383986205091944,0.24263205803430143,0.9828702553384294,0.1383986205091944,0.2426320580343014,,,,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.9826027409936796,0.14048446823304928,0.24582316033654714,0.9826027409936796,0.1404844682330492,0.2458231603365471,,,,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.9236936444123592,0.7618989657249065,0.8350312265158014,0.9236936667049548,0.7618989657249063,0.8350309605547536,0.00010096845639615343,0.0010597604859670187,0.0006311108332234711,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.9237143493209984,0.7630531965406887,0.8357324501163795,0.9237143493209984,0.7630531965406887,0.8357324501163795,,,,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.9237826923996663,0.7609698478943802,0.834509232792304,0.9237826923996664,0.7609698478943802,0.834509232792304,,,,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.9235839583941995,0.7616738527396505,0.8348511987555768,0.9235839583941996,0.7616738527396505,0.8348511987555768,,,,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
K562_c2500,0.9741434123851737,0.26838789407635316,0.42083172893721305,0.9741466317811759,0.26838789407635316,0.42082384912774057,0.00047271341598585035,0.0034186752296074168,0.004176081398555783,0.301,45560.0,697726447.3333334,2500.0,0.0,0.0,26908787.333333332,11594081.333333334,38502868.666666664,cells,,2500.0,K562,condition
K562_c2500_s3,0.9742544122727629,0.270289643087625,0.4231764656872594,0.9742544122727628,0.270289643087625,0.4231764656872594,,,,0.301,45560.0,697353440.0,2500.0,0.0,0.0,27172714.0,11703162.0,38875876.0,cells,3.0,2500.0,K562,file
K562_c2500_s58,0.9745561479421984,0.26444121361085837,0.41600219417855844,0.9745561479421984,0.2644412136108583,0.4160021941785584,,,,0.301,45560.0,698391974.0,2500.0,0.0,0.0,26452430.0,11384912.0,37837342.0,cells,58.0,2500.0,K562,file
K562_c2500_s61,0.9736293351285666,0.27043282553057624,0.423292887517404,0.9736293351285666,0.2704328255305762,0.423292887517404,,,,0.301,45560.0,697433928.0,2500.0,0.0,0.0,27101218.0,11694170.0,38795388.0,cells,61.0,2500.0,K562,file
K562_c30000,0.9293675519985518,0.8533133603135705,0.8897181130791518,0.9293678043137253,0.8533133603135705,0.8897180711003189,0.00041708498945080446,0.0005733952888846939,0.00022890457672035007,0.301,18060.0,276699058.0,30000.0,0.0,0.0,321220577.0,138309681.0,459530258.0,cells,,30000.0,K562,condition
K562_c30000_s60,0.9294125686317593,0.8537530999586918,0.8899777239847472,0.9294125686317593,0.8537530999586918,0.8899777239847472,,,,0.301,18060.0,276944982.0,30000.0,0.0,0.0,321110450.0,138173884.0,459284334.0,cells,60.0,30000.0,K562,file
K562_c30000_s85,0.9297607015850905,0.8526648251895256,0.8895454358979078,0.9297607015850904,0.8526648251895256,0.8895454358979078,,,,0.301,18060.0,277247667.0,30000.0,0.0,0.0,320753116.0,138228533.0,458981649.0,cells,85.0,30000.0,K562,file
K562_c30000_s90,0.9289301427243264,0.8535221557924942,0.889631053418302,0.9289301427243264,0.8535221557924942,0.889631053418302,,,,0.301,18060.0,275904525.0,30000.0,0.0,0.0,321798165.0,138526626.0,460324791.0,cells,90.0,30000.0,K562,file
K562_c40000,0.9455606400205034,0.9191107890077829,0.9321481225856929,0.9455606421896162,0.9191107890077829,0.9321480767528342,0.00014354852229291572,0.0005183510985933513,0.0002905592089620137,0.301,8060.0,123166497.0,40000.0,0.0,0.0,428683530.3333333,184379288.66666666,613062819.0,cells,,40000.0,K562,condition
K562_c40000_s7,0.9453987418278708,0.9188520119779316,0.9319363656166547,0.9453987418278708,0.9188520119779316,0.9319363656166548,,,,0.301,8060.0,123536125.0,40000.0,0.0,0.0,428380106.0,184313085.0,612693191.0,cells,7.0,40000.0,K562,file
K562_c40000_s71,0.9456723719562966,0.9187727765192554,0.9320285250228479,0.9456723719562966,0.9187727765192554,0.932028525022848,,,,0.301,8060.0,123560376.0,40000.0,0.0,0.0,428451800.0,184217140.0,612668940.0,cells,71.0,40000.0,K562,file
K562_c40000_s73,0.9456108127846814,0.9197075785261617,0.9324793396189998,0.9456108127846814,0.9197075785261616,0.9324793396189998,,,,0.301,8060.0,122402990.0,40000.0,0.0,0.0,429218685.0,184607641.0,613826326.0,cells,73.0,40000.0,K562,file
