,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.9531372847463142,0.13348175893897987,0.23416935680930065,0.9344127069680639,0.10822210287619169,0.18643270155122046,0.030875324496015544,0.07604139882693656,0.11045915429887565,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.8866450776494798,0.5490383696606106,0.678146939441773,0.865544319121446,0.5101441359091248,0.6389966533326019,0.047390264294159774,0.09690284790623138,0.08687220081953996,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.8868010480415793,0.548302317820922,0.6776307291217202,0.865976203694948,0.5098212847931979,0.6388841650252894,0.047091261454240814,0.09636122634247579,0.08641483712878179,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.8858979063990162,0.550390076604077,0.6789577331794691,0.8640733979955271,0.5116066083458995,0.6397924903453625,0.048092880052183117,0.09703896697328668,0.08701680761190318,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.8872400519218356,0.5484227145568327,0.6778508283417938,0.866583355673863,0.5090045145882769,0.6383133046271539,0.046999072870024944,0.09740251670417606,0.08727968357080636,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.9527628157303468,0.1299105771252082,0.22864507075123267,0.9330373805566516,0.10520663904378603,0.1817841317126869,0.031492474560085866,0.07467129861964408,0.10903968660518167,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.9534632192811938,0.13425779601941049,0.2353726159660305,0.9353796915468472,0.10880378126878272,0.18729839242756727,0.030151973187559314,0.07640794574417183,0.11095163108452195,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.9531734060481181,0.13627690367232095,0.23846066090406565,0.9348210488006932,0.11065588831600631,0.19021558051340717,0.030955005839158334,0.07701493621967026,0.1113377505446902,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.8804035730902797,0.7261916067255567,0.7958964315860064,0.8642247855192856,0.6972161757563632,0.7711506306722765,0.04121989277019707,0.07108424675291425,0.05921219372468616,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.8804180837188907,0.7272874277288824,0.796560065104566,0.8640767551264157,0.6982389652213592,0.7717175554470035,0.04133269550882469,0.07122549970681874,0.059305629224754824,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.8804365982130047,0.7252633219208792,0.7953520629277229,0.864163023615317,0.6966719340750005,0.770813096483888,0.041346273845644335,0.07053260374489384,0.05893783621245124,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.8803560507359465,0.7260240705269084,0.7957763856861355,0.864434577816124,0.6967376279727299,0.7709212400859379,0.04102813918735729,0.07156429357692551,0.059458260542407215,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
