,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.9846129502411705,0.16355651987636405,0.28051585024318804,0.9846079363251551,0.163556519876364,0.2805055816235322,0.000915198425645767,0.003498711661017841,0.005153329256718493,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.9588872985668615,0.6783220904537479,0.7945647529697044,0.9588876900287588,0.678322090453748,0.794562689710243,0.0002660256359353435,0.0027081664539241046,0.0018167471760063658,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.9591125402802402,0.6790813588522688,0.7951628283937027,0.9591125402802402,0.6790813588522688,0.7951628283937027,,,,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.9589565144886217,0.6753153287040219,0.7925218028961777,0.9589565144886216,0.6753153287040219,0.7925218028961777,,,,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.9585940153174147,0.6805695838049531,0.7960034378408487,0.9585940153174148,0.6805695838049531,0.7960034378408487,,,,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.9851703702411361,0.16138316063593036,0.2773353425422073,0.985170370241136,0.1613831606359303,0.2773353425422073,,,,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.9851015349748549,0.16759249864993211,0.2864517779295796,0.9851015349748548,0.1675924986499321,0.2864517779295796,,,,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.9835519037594745,0.16169390034322967,0.2777296243988095,0.9835519037594744,0.1616939003432296,0.2777296243988095,,,,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.9533879247871703,0.8601063781186936,0.9043480683858056,0.9533879673878727,0.8601063781186937,0.9043480396223499,0.00023011262340004034,0.0004240315454520826,0.00024909963983117537,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.9533478230648647,0.860594528720754,0.9045997737357296,0.9533478230648648,0.860594528720754,0.9045997737357296,,,,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
MCF7_c20000_s23,0.9531805683546162,0.8598293711639008,0.9041016608123549,0.9531805683546162,0.8598293711639008,0.9041016608123548,,,,0.286,12303.0,220687277.0,20000.0,0.0,0.0,254084527.0,101628677.0,355713204.0,cells,23.0,20000.0,MCF7,file
MCF7_c20000_s6,0.953635510744137,0.8598952344714261,0.9043426843189653,0.953635510744137,0.8598952344714261,0.9043426843189653,,,,0.286,12303.0,219922013.0,20000.0,0.0,0.0,254619002.0,101859466.0,356478468.0,cells,6.0,20000.0,MCF7,file
MCF7_c2500,0.978303557612191,0.3246835887301082,0.4875552469487116,0.9783054786594073,0.3246835887301082,0.4875450498843281,0.00033448488784656126,0.004177378665684321,0.004692029509175928,0.28533333333333327,29803.0,532039683.0,2500.0,0.0,0.0,31707294.333333332,12653503.666666666,44360798.0,cells,,2500.0,MCF7,condition
MCF7_c2500_s42,0.9784605069104351,0.32682256567851353,0.48998256393426975,0.9784605069104352,0.3268225656785135,0.4899825639342697,,,,0.286,29803.0,531677859.0,2500.0,0.0,0.0,31945007.0,12777615.0,44722622.0,cells,42.0,2500.0,MCF7,file
MCF7_c2500_s87,0.9779216071915052,0.32735830587621517,0.4905166430663485,0.9779216071915052,0.3273583058762151,0.4905166430663485,,,,0.285,29803.0,531781951.0,2500.0,0.0,0.0,31920919.0,12697611.0,44618530.0,cells,87.0,2500.0,MCF7,file
MCF7_c2500_s91,0.9785343218762816,0.319869894635596,0.48213594265236626,0.9785343218762816,0.319869894635596,0.4821359426523662,,,,0.285,29803.0,532659239.0,2500.0,0.0,0.0,31255957.0,12485285.0,43741242.0,cells,91.0,2500.0,MCF7,file
MCF7_c30000,0.9725671412969601,0.9598100451979911,0.9661464835853414,0.9725671752434343,0.9598100451979912,0.9661464750546608,0.00035578402009276696,0.0004140581341823166,0.00033593898978673953,0.286,2303.0,40927918.333333336,30000.0,0.0,0.0,382485610.3333333,152986952.33333334,535472562.6666667,cells,,30000.0,MCF7,condition
MCF7_c30000_s12,0.9729726171703962,0.9601197023394206,0.9665034309576375,0.9729726171703962,0.9601197023394206,0.9665034309576376,,,,0.286,2303.0,40020754.0,30000.0,0.0,0.0,383212521.0,153167206.0,536379727.0,cells,12.0,30000.0,MCF7,file
MCF7_c30000_s84,0.972307053044344,0.959970697973086,0.9660994956482462,0.972307053044344,0.959970697973086,0.9660994956482462,,,,0.286,2303.0,41093086.0,30000.0,0.0,0.0,382323790.0,152983605.0,535307395.0,cells,84.0,30000.0,MCF7,file
MCF7_c30000_s90,0.972421855515563,0.9593397352814669,0.9658364985580988,0.972421855515563,0.9593397352814668,0.9658364985580988,,,,0.286,2303.0,41669915.0,30000.0,0.0,0.0,381920520.0,152810046.0,534730566.0,cells,90.0,30000.0,MCF7,file
MCF7_c5000,0.9703669497848716,0.490279446192211,0.6514252485119832,0.9703708689087872,0.4902794461922109,0.651415979879289,0.0006014069326074062,0.004730531610474572,0.004047129354566832,0.2856666666666667,27303.0,485618013.6666667,5000.0,0.0,0.0,64855415.0,25927052.333333332,90782467.33333333,cells,,5000.0,MCF7,condition
MCF7_c5000_s3,0.9705903985779328,0.490281134994968,0.6514770824046051,0.9705903985779328,0.490281134994968,0.6514770824046051,,,,0.286,27303.0,485105702.0,5000.0,0.0,0.0,65200338.0,26094441.0,91294779.0,cells,3.0,5000.0,MCF7,file
MCF7_c5000_s55,0.9696905382656859,0.4950091331752181,0.6554322120150411,0.969690538265686,0.4950091331752181,0.6554322120150411,,,,0.286,27303.0,484689494.0,5000.0,0.0,0.0,65482874.0,26228113.0,91710987.0,cells,55.0,5000.0,MCF7,file
MCF7_c5000_s92,0.9708316698827433,0.48554807040644676,0.6473386452182212,0.9708316698827432,0.4855480704064467,0.6473386452182212,,,,0.285,27303.0,487058845.0,5000.0,0.0,0.0,63883033.0,25458603.0,89341636.0,cells,92.0,5000.0,MCF7,file
MCF7_c7500,0.9646045759520997,0.5945064631997105,0.7356290096534956,0.964605209241001,0.5945064631997105,0.7356254821517935,0.00018045135043554325,0.003263576576491424,0.0024509914690657286,0.2856666666666667,24803.0,442665258.6666667,7500.0,0.0,0.0,95515827.0,38219395.333333336,133735222.33333333,cells,,7500.0,MCF7,condition
MCF7_c7500_s56,0.9648134541595232,0.5910718714181955,0.7330541455010808,0.9648134541595232,0.5910718714181955,0.7330541455010808,,,,0.285,24803.0,443981360.0,7500.0,0.0,0.0,94626317.0,37792804.0,132419121.0,cells,56.0,7500.0,MCF7,file
MCF7_c7500_s62,0.9645072698478293,0.594880771174891,0.7358871729124741,0.9645072698478292,0.594880771174891,0.7358871729124741,,,,0.287,24803.0,442814129.0,7500.0,0.0,0.0,95279424.0,38306928.0,133586352.0,cells,62.0,7500.0,MCF7,file
MCF7_c7500_s79,0.9644949037156506,0.597566747006045,0.7379351280418256,0.9644949037156506,0.597566747006045,0.7379351280418256,,,,0.285,24803.0,441200287.0,7500.0,0.0,0.0,96641740.0,38558454.0,135200194.0,cells,79.0,7500.0,MCF7,file
MCF7_f005,0.9913399650413337,0.6716908115662896,0.8007956978583535,0.9913399609938223,0.6716908115662896,0.8007956885822965,6.062154976832083e-05,0.0001874517193847595,0.0001455438567542892,0.05000000000000001,0.0,142983303.0,32303.0,32301.333333333332,142983303.0,411746319.0,21670859.0,433417178.0,frip,,0.05,MCF7,condition
MCF7_f005_s27,0.9912743720130962,0.6715118850793107,0.8006471298906478,0.9912743720130962,0.6715118850793107,0.8006471298906478,,,,0.05,0.0,142983303.0,32303.0,32300.0,142983303.0,411746319.0,21670859.0,433417178.0,frip,27.0,0.05,MCF7,file
MCF7_f005_s39,0.9913939341645455,0.6716747895914149,0.8008019183095284,0.9913939341645456,0.6716747895914149,0.8008019183095284,,,,0.05,0.0,142983303.0,32303.0,32302.0,142983303.0,411746319.0,21670859.0,433417178.0,frip,39.0,0.05,MCF7,file
MCF7_f005_s76,0.9913515768038249,0.6718857600281433,0.8009380175467137,0.9913515768038248,0.6718857600281433,0.8009380175467137,,,,0.05,0.0,142983303.0,32303.0,32302.0,142983303.0,411746319.0,21670859.0,433417178.0,frip,76.0,0.05,MCF7,file
MCF7_f01,0.9866213502704115,0.7965091840774653,0.8814306654052035,0.9866213489321067,0.7965091840774653,0.8814306618570726,0.00014705909738568234,0.0001727533039922314,0.00015475069430223178,0.10000000000000002,0.0,118904571.0,32303.0,32300.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,,0.1,MCF7,condition
MCF7_f01_s31,0.9867850326806115,0.7966885435907922,0.8816058067617516,0.9867850326806116,0.7966885435907922,0.8816058067617516,,,,0.1,0.0,118904571.0,32303.0,32300.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,31.0,0.1,MCF7,file
MCF7_f01_s53,0.9865786491193792,0.7963438979204472,0.8813124141026031,0.9865786491193792,0.7963438979204472,0.8813124141026031,,,,0.1,0.0,118904571.0,32303.0,32301.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,53.0,0.1,MCF7,file
