,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.9551534729566592,0.15866293242065235,0.27212285651284923,0.9424290221145303,0.13122444547422754,0.2234012173246142,0.0227661520389475,0.07464894601012963,0.10527294970841165,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.9229593040388425,0.6529064317100345,0.7647936650227493,0.9096817507223742,0.6190684653506957,0.7352859267448311,0.024563020694859893,0.07114163544438452,0.056422175270149776,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.9232292519264702,0.6536748802671323,0.7654133924712888,0.9098491036329822,0.6199492804105072,0.7360002350549035,0.024957550123291938,0.07073782352711544,0.05622925983035993,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.9230153097939847,0.650004852060229,0.7628184869350323,0.9097074101201595,0.6161106874980772,0.7331637790696026,0.024596432105109627,0.07141825907825038,0.05668762786756066,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.9226345397163702,0.6550395628027422,0.7661431781855582,0.9094887384139807,0.6211454281435027,0.7366937661099872,0.024156421660088002,0.07125437008107427,0.05635374305533013,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.9557910497236692,0.15657046250201845,0.26906476908050786,0.9437243514555327,0.12933503653550768,0.22063659035101496,0.02224763411591385,0.07381727194458226,0.10462757877972835,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.9557619971930318,0.16260104723958044,0.2779203093825837,0.943430075681774,0.13468208402820545,0.22847013108955677,0.021039923589606463,0.07654609427140649,0.10705107755196233,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.9538884358385961,0.1568172875203582,0.26935342811212487,0.9401326392062846,0.1296562158589695,0.221096930533271,0.024708877768269945,0.07351437359553208,0.10405773509003506,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.9276687396136257,0.836903613920983,0.8799518128559863,0.9178105298380533,0.8172879442859726,0.8644564128391989,0.02006256902124108,0.03993065221307551,0.030807145997636575,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.9277496971072392,0.8374869004116912,0.8803105705833235,0.9178641450363715,0.8179996306132178,0.8648864912495406,0.020114538568579254,0.03942688974027869,0.0305317665667652,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
MCF7_c20000_s23,0.9273729098288,0.8365492251578088,0.8796228288790251,0.9176176209515691,0.8168976501305872,0.8641487552746072,0.02006281069841597,0.040171207376284275,0.03093946422422107,0.286,12303.0,220687277.0,20000.0,0.0,0.0,254084527.0,101628677.0,355713204.0,cells,23.0,20000.0,MCF7,file
MCF7_c20000_s6,0.9278836401440236,0.836674716193449,0.8799219118934829,0.9179498235262193,0.8169665521141131,0.8643339919934492,0.020032667807719378,0.040226840800788116,0.030980094803840362,0.286,12303.0,219922013.0,20000.0,0.0,0.0,254619002.0,101859466.0,356478468.0,cells,6.0,20000.0,MCF7,file
MCF7_c2500,0.9477590772175091,0.3145463553189904,0.47233285348415405,0.9362946339682421,0.27645793634681415,0.4194454961405744,0.020172780340477692,0.09426582044918802,0.10501905488329916,0.28533333333333327,29803.0,532039683.0,2500.0,0.0,0.0,31707294.333333332,12653503.666666666,44360798.0,cells,,2500.0,MCF7,condition
MCF7_c2500_s42,0.9476560215060454,0.31653334001926015,0.4745566365386123,0.935573316611262,0.27812697193456903,0.4214115308146101,0.021104999055962127,0.09439249774943427,0.10506859258536926,0.286,29803.0,531677859.0,2500.0,0.0,0.0,31945007.0,12777615.0,44722622.0,cells,42.0,2500.0,MCF7,file
MCF7_c2500_s87,0.9473078812706214,0.3171103909305576,0.47516107472627345,0.935910920299337,0.27894055637866466,0.4224186316952856,0.019749476242371382,0.09427021129105724,0.10447109909001384,0.285,29803.0,531781951.0,2500.0,0.0,0.0,31920919.0,12697611.0,44618530.0,cells,87.0,2500.0,MCF7,file
MCF7_c2500_s91,0.9483264290051727,0.30999533500715337,0.46725214084863637,0.9373996649941277,0.27230628072720886,0.4145063259118275,0.019607101607640256,0.09410769945655187,0.10546326898142991,0.285,29803.0,532659239.0,2500.0,0.0,0.0,31255957.0,12485285.0,43741242.0,cells,91.0,2500.0,MCF7,file
MCF7_c30000,0.9643108909596465,0.9516620915267873,0.9579447390555412,0.9601760206013966,0.9458201353940776,0.9529344190394493,0.009233163804024428,0.012510798247949758,0.010612738066090005,0.286,2303.0,40927918.333333336,30000.0,0.0,0.0,382485610.3333333,152986952.33333334,535472562.6666667,cells,,30000.0,MCF7,condition
MCF7_c30000_s12,0.9647782525552016,0.952033584830706,0.9583635497571407,0.9606996342725318,0.9463232827189201,0.9534481487997288,0.00910854005423675,0.012249411372321587,0.010422682885369466,0.286,2303.0,40020754.0,30000.0,0.0,0.0,383212521.0,153167206.0,536379727.0,cells,12.0,30000.0,MCF7,file
MCF7_c30000_s84,0.9640861020929478,0.9518540521068399,0.9579310301999856,0.959898433344124,0.946107322036812,0.9529434393576405,0.009371635264119743,0.012456245495653825,0.010639247395797358,0.286,2303.0,41093086.0,30000.0,0.0,0.0,382323790.0,152983605.0,535307395.0,cells,84.0,30000.0,MCF7,file
MCF7_c30000_s90,0.9640683774279378,0.9510986376428159,0.9575395912218726,0.9599299941875341,0.945029801426501,0.9524116689609785,0.009206064643938154,0.01279708365525975,0.010760807794216789,0.286,2303.0,41669915.0,30000.0,0.0,0.0,381920520.0,152810046.0,534730566.0,cells,90.0,30000.0,MCF7,file
MCF7_c5000,0.9364671572083383,0.4731515220248243,0.6286676918901623,0.9236403826190591,0.43363004573712816,0.585829395743844,0.022513783422093765,0.08987013238103068,0.08249145389539134,0.2856666666666667,27303.0,485618013.6666667,5000.0,0.0,0.0,64855415.0,25927052.333333332,90782467.33333333,cells,,5000.0,MCF7,condition
MCF7_c5000_s3,0.9366573706982572,0.47314030664241197,0.62870064650271,0.9241432872039103,0.4337498781106217,0.5860466881188592,0.022168432757865075,0.08981122110405977,0.08239532388420297,0.286,27303.0,485105702.0,5000.0,0.0,0.0,65200338.0,26094441.0,91294779.0,cells,3.0,5000.0,MCF7,file
MCF7_c5000_s55,0.935702043355944,0.47765863346497767,0.6324587441686936,0.9225640908173176,0.4378505107116208,0.5896229542180247,0.023160528880136966,0.08945034464960648,0.08180589945756975,0.286,27303.0,484689494.0,5000.0,0.0,0.0,65482874.0,26228113.0,91710987.0,cells,55.0,5000.0,MCF7,file
MCF7_c5000_s92,0.9370559820713577,0.46865562596708316,0.6248174310186713,0.9242137698359496,0.4292897483891418,0.5818185448946478,0.022186178036639925,0.09024978709775554,0.08318032067284425,0.285,27303.0,487058845.0,5000.0,0.0,0.0,63883033.0,25458603.0,89341636.0,cells,92.0,5000.0,MCF7,file
MCF7_c7500,0.9287892791939231,0.5724327285990476,0.708315463832237,0.915707477901644,0.5351527032921812,0.6729576342939889,0.02370015119219299,0.08081268315123492,0.06760935042937667,0.2856666666666667,24803.0,442665258.6666667,7500.0,0.0,0.0,95515827.0,38219395.333333336,133735222.33333333,cells,,7500.0,MCF7,condition
MCF7_c7500_s56,0.9289918180439856,0.5691265291297041,0.7058372791318185,0.9159710262391445,0.5323569620900287,0.6708027585409232,0.023509800601690112,0.08023813961459766,0.06728848157994297,0.285,24803.0,443981360.0,7500.0,0.0,0.0,94626317.0,37792804.0,132419121.0,cells,56.0,7500.0,MCF7,file
MCF7_c7500_s62,0.9287158725976308,0.5728056508899146,0.7085795196055256,0.915411361088459,0.5356073522639048,0.6732436764041534,0.023851181401611587,0.08101295478405303,0.0677071667108092,0.287,24803.0,442814129.0,7500.0,0.0,0.0,95279424.0,38306928.0,133586352.0,cells,62.0,7500.0,MCF7,file
MCF7_c7500_s79,0.9286620835647634,0.5753660057775242,0.7105194344759213,0.9157400463773283,0.5374937955226103,0.6748264679368903,0.02376301545015201,0.08119631137491556,0.0678507802333719,0.285,24803.0,441200287.0,7500.0,0.0,0.0,96641740.0,38558454.0,135200194.0,cells,79.0,7500.0,MCF7,file
MCF7_f005,0.9820498432611898,0.6653962106643737,0.7932912192572016,0.9792289620730447,0.6396821733121791,0.7724409204328098,0.006644209455328223,0.05916280265353425,0.04389685119711782,0.05000000000000001,0.0,142983303.0,32303.0,32301.333333333332,142983303.0,411746319.0,21670859.0,433417178.0,frip,,0.05,MCF7,condition
MCF7_f005_s27,0.9820562842413444,0.6652673420232195,0.793201728570986,0.979198880680985,0.6395849041234292,0.7723520364427393,0.006684303508112697,0.05939389016914113,0.04410383430554792,0.05,0.0,142983303.0,32303.0,32300.0,142983303.0,411746319.0,21670859.0,433417178.0,frip,27.0,0.05,MCF7,file
MCF7_f005_s39,0.9820302860347728,0.6653308669884659,0.7932383987777932,0.9791899171646202,0.6396643528891182,0.7724202079494625,0.006722242975452052,0.05913027611005676,0.04387808874407605,0.05,0.0,142983303.0,32303.0,32302.0,142983303.0,411746319.0,21670859.0,433417178.0,frip,39.0,0.05,MCF7,file
MCF7_f005_s76,0.9820629556139614,0.6655904229814358,0.7934335055091806,0.9792980883735287,0.6397972629239895,0.7725505169062277,0.00653192052977427,0.059033878048403994,0.04375995126620459,0.05,0.0,142983303.0,32303.0,32302.0,142983303.0,411746319.0,21670859.0,433417178.0,frip,76.0,0.05,MCF7,file
MCF7_f01,0.9737600407993462,0.7861261216086081,0.8699405911614663,0.9691903101848175,0.7637156750330335,0.8536518025931626,0.00939985193977612,0.047724445151743546,0.032734965374074394,0.10000000000000002,0.0,118904571.0,32303.0,32300.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,,0.1,MCF7,condition
MCF7_f01_s31,0.9738884963700635,0.7862764250539864,0.8700838836255574,0.9693400732400509,0.7636785980827652,0.8536815756175056,0.009386091526226357,0.04785104951475927,0.03280757794579623,0.1,0.0,118904571.0,32303.0,32300.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,31.0,0.1,MCF7,file
MCF7_f01_s53,0.9737638847804234,0.7860001109413504,0.8698649629482507,0.9692906753870427,0.7635048377879056,0.853550451425044,0.009078488091559112,0.047809732929391766,0.03269577674601112,0.1,0.0,118904571.0,32303.0,32301.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,53.0,0.1,MCF7,file
MCF7_f01_s83,0.9736277481520502,0.7861018288304872,0.8698729207414245,0.968940181927359,0.7639635892284298,0.8537233807369383,0.009729809050591315,0.047567741039196046,0.0327401582344292,0.1,0.0,118904571.0,32303.0,32299.0,118904571.0,411746319.0,45749591.0,457495910.0,frip,83.0,0.1,MCF7,file
MCF7_f02,0.9707981020116055,0.9172250216653908,0.9432514877425325,0.9663947652675977,0.9060731664502931,0.9351942844589836,0.009392588725407897,0.02310705958882482,0.016416210905339523,0.20000000000000004,0.0,61717582.0,32303.0,32295.0,61717582.0,411746319.0,102936580.0,514682899.0,frip,,0.2,MCF7,condition
MCF7_f025,0.9780571430184599,0.9601521360128831,0.9690219370749862,0.9749310449385412,0.9547291094808293,0.9647136408019361,0.006942704099657972,0.011448861277759211,0.008981335338864095,0.25,0.0,27405389.0,32303.0,32252.666666666668,27405389.0,411746319.0,137248773.0,548995092.0,frip,,0.25,MCF7,condition
MCF7_f025_s28,0.9779592960132959,0.9601074909964079,0.9689511757648605,0.9747198755979904,0.9546678836668979,0.9645791428389096,0.007026792432847959,0.011506621529002201,0.009057585058254986,0.25,0.0,27405389.0,32303.0,32259.0,27405389.0,411746319.0,137248773.0,548995092.0,frip,28.0,0.25,MCF7,file
MCF7_f025_s89,0.9781221084909101,0.9600490324394327,0.9690013064724143,0.9750218292760473,0.9545164431673246,0.9646490500160227,0.006990934507000351,0.011576650654821576,0.009060246187268384,0.25,0.0,27405389.0,32303.0,32245.0,27405389.0,411746319.0,137248773.0,548995092.0,frip,89.0,0.25,MCF7,file
MCF7_f025_s90,0.9780900371261337,0.9602998846028086,0.9691133236450306,0.9750514299415862,0.9550030016082651,0.964912729550876,0.00681188675067401,0.011269252013024174,0.008831496572748967,0.25,0.0,27405389.0,32303.0,32254.0,27405389.0,411746319.0,137248773.0,548995092.0,frip,90.0,0.25,MCF7,file
MCF7_f02_s27,0.9708439805536678,0.9169800153577125,0.9431435664830224,0.9664250940730942,0.9057664577881341,0.9350438494517243,0.009536758962872852,0.023390595561979463,0.01664226555001974,0.2,0.0,61717582.0,32303.0,32295.0,61717582.0,411746319.0,102936580.0,514682899.0,frip,27.0,0.2,MCF7,file
MCF7_f02_s49,0.9706598869376277,0.917453010037594,0.9433067656286064,0.9661436919186286,0.9063882152240951,0.9352472166694747,0.009476100869240868,0.022848211497467373,0.016303330867216737,0.2,0.0,61717582.0,32303.0,32294.0,61717582.0,411746319.0,102936580.0,514682899.0,frip,49.0,0.2,MCF7,file
MCF7_f02_s59,0.9708905140884598,0.9172420396008658,0.9433041060931384,0.9666155098110707,0.9060648263386498,0.9352917872557514,0.009165868156816755,0.02310250051612022,0.016319283321731232,0.2,0.0,61717582.0,32303.0,32296.0,61717582.0,411746319.0,102936580.0,514682899.0,frip,59.0,0.2,MCF7,file
MCF7_f035,0.9643097274206374,0.9574049735587616,0.9608449460402074,0.9608478377879656,0.9535388104659169,0.9571734620084525,0.00875325745179173,0.009903082719264239,0.009047768966492876,0.3499999999999999,0.0,105960018.0,32303.0,32303.0,105960018.0,305786301.0,164654162.0,470440463.0,frip,,0.35,MCF7,condition
MCF7_f035_s26,0.9643436059018419,0.957403198150735,0.9608608693503786,0.9609268499260594,0.9534897386256521,0.9571883293382307,0.008779164342928893,0.009904427873575128,0.009081404666433883,0.35,0.0,105960018.0,32303.0,32303.0,105960018.0,305786301.0,164654162.0,470440463.0,frip,26.0,0.35,MCF7,file
MCF7_f035_s34,0.9643351228833972,0.9575077740137684,0.960909321366639,0.9608451328622807,0.9536459815302828,0.9572257829056307,0.008707368254676502,0.009812810727359754,0.0089580131309722,0.35,0.0,105960018.0,32303.0,32303.0,105960018.0,305786301.0,164654162.0,470440463.0,frip,34.0,0.35,MCF7,file
MCF7_f035_s36,0.9642504500604923,0.9573039485117816,0.9607646433356517,0.9607715305755573,0.9534807112418155,0.9571062737814962,0.008782761501402916,0.010002020240563868,0.009113500315051001,0.35,0.0,105960018.0,32303.0,32303.0,105960018.0,305786301.0,164654162.0,470440463.0,frip,36.0,0.35,MCF7,file
MCF7_f04,0.9518039687034278,0.9367268828775882,0.9442052418340718,0.9467659492259726,0.9310761680599607,0.9388447084195619,0.01179903136473404,0.014200406321799178,0.012694215910916625,0.4000000000000001,0.0,164765076.0,32303.0,32303.0,164765076.0,246981243.0,164654162.0,411635405.0,frip,,0.4,MCF7,condition
MCF7_f04_s17,0.951846335544799,0.9367308234173547,0.9442280898405582,0.9467894498441352,0.9310140111864099,0.9388239116726497,0.011866177687056063,0.014206612617608444,0.012702039881850416,0.4,0.0,164765076.0,32303.0,32303.0,164765076.0,246981243.0,164654162.0,411635405.0,frip,17.0,0.4,MCF7,file
MCF7_f04_s33,0.9516593436647321,0.9366220905013809,0.9440808428030346,0.9466499268021608,0.9308983271523609,0.9386979956488036,0.011669457736761072,0.014236277745023928,0.012681658532094162,0.4,0.0,164765076.0,32303.0,32303.0,164765076.0,246981243.0,164654162.0,411635405.0,frip,33.0,0.4,MCF7,file
MCF7_f04_s97,0.951906234382891,0.9368277347140291,0.9443067957775734,0.946858471031622,0.931316165841112,0.9390122179372323,0.011873410437226558,0.014171876908314396,0.012712067906513653,0.4,0.0,164765076.0,32303.0,32303.0,164765076.0,246981243.0,164654162.0,411635405.0,frip,97.0,0.4,MCF7,file
MCF7_f06,0.9259929942915105,0.850631328598883,0.886713798588516,0.9173754081165654,0.8404501595565476,0.8771572221311886,0.018862165373236556,0.02722058575383939,0.022598473722581676,0.6,0.0,301976878.0,32303.0,32303.0,301976878.0,109769441.0,164654162.0,274423603.0,frip,,0.6,MCF7,condition
MCF7_f06_s34,0.9259935583101095,0.8503890936598317,0.8865824285245287,0.9174163322964937,0.840281049103072,0.8770803642199254,0.018847864790187685,0.02723733311419717,0.022541287224394933,0.6,0.0,301976878.0,32303.0,32303.0,301976878.0,109769441.0,164654162.0,274423603.0,frip,34.0,0.6,MCF7,file
MCF7_f06_s37,0.926046971290796,0.8505139351559499,0.8866747555163468,0.9175304252336033,0.8402366425651998,0.8771141180695398,0.01874061117573831,0.027278214600842263,0.022635153153269767,0.6,0.0,301976878.0,32303.0,32303.0,301976878.0,109769441.0,164654162.0,274423603.0,frip,37.0,0.6,MCF7,file
MCF7_f06_s78,0.9259384902823262,0.8509909569808676,0.8868841508191465,0.9171794668195992,0.8408327870013709,0.8772771841041005,0.019017735333372754,0.02717445300838876,0.02264524242315274,0.6,0.0,301976878.0,32303.0,32303.0,301976878.0,109769441.0,164654162.0,274423603.0,frip,78.0,0.6,MCF7,file
MCF7_f08,0.9128326052446236,0.7458292526012867,0.8209235131310664,0.9018826262801919,0.73533098238633,0.8099205947779144,0.023211292822984394,0.03520675374121286,0.0288308351960513,0.8000000000000002,0.0,370582779.0,32303.0,32303.0,370582779.0,41163540.0,164654162.0,205817702.0,frip,,0.8,MCF7,condition
MCF7_f08_s13,0.9127663322182935,0.7458827313552603,0.8209291041919218,0.901929203236134,0.7356035639642177,0.8101009095320674,0.023061476605508616,0.03528565446199365,0.028783117314987856,0.8,0.0,370582779.0,32303.0,32303.0,370582779.0,41163540.0,164654162.0,205817702.0,frip,13.0,0.8,MCF7,file
MCF7_f08_s40,0.9128074983442932,0.745738143857675,0.8208581689809744,0.9017786866862876,0.7349505207974015,0.8096474030213743,0.023277856215317475,0.03527273774066569,0.028906137035004,0.8,0.0,370582779.0,32303.0,32303.0,370582779.0,41163540.0,164654162.0,205817702.0,frip,40.0,0.8,MCF7,file
MCF7_f08_s96,0.912923996897508,0.7458668825909248,0.820983264410503,0.901939988918154,0.7354388623973709,0.8100134717803018,0.023320989244700784,0.03510019019019414,0.0288354252747395,0.8,0.0,370582779.0,32303.0,32303.0,370582779.0,41163540.0,164654162.0,205817702.0,frip,96.0,0.8,MCF7,file
MCF7_r1e6,0.9502010686938798,0.0029877085904156634,0.005956687622040936,0.9229560507732553,0.002547488789210403,0.005072520560345423,0.12204694071090377,0.002068549673218197,0.004095275742109882,0.2823333333333333,19642.666666666668,575400481.0,12660.333333333334,12660.333333333334,78930816.0,717723.3333333334,282276.6666666667,1000000.0,reads,,1000000.0,MCF7,condition
MCF7_r1e6_s67,0.949865005192108,0.002970733957575456,0.005922943714422322,0.925837457231457,0.0025310540357694417,0.005039871279956465,0.10739903723042991,0.00206603587413106,0.004090586667244619,0.282,19629.0,575400481.0,12674.0,12674.0,79085778.0,717702.0,282298.0,1000000.0,reads,67.0,1000000.0,MCF7,file
MCF7_r1e6_s75,0.9483213725975419,0.0029869724456241236,0.005955187556810036,0.929253301387703,0.0025738834721309345,0.005124431089190852,0.10456234400543807,0.0021262611449329397,0.004206814299090037,0.283,19634.0,575400481.0,12669.0,12669.0,78978039.0,717383.0,282617.0,1000000.0,reads,75.0,1000000.0,MCF7,file
MCF7_r1e6_s89,0.9524103577456671,0.0030054193680474103,0.005991930642269697,0.9137982734575496,0.0025375288597308332,0.005053259311888951,0.14865479260441383,0.002014031569818475,0.003989919725603319,0.282,19665.0,575400481.0,12638.0,12638.0,78728631.0,718085.0,281915.0,1000000.0,reads,89.0,1000000.0,MCF7,file
MCF7_r1e7,0.9564100653758867,0.12173808288756519,0.21598428379395704,0.942332570610398,0.10134062987607136,0.178034516888358,0.026903443287100495,0.06015640163315124,0.09056438388366361,0.287,4440.333333333333,566400481.0,27862.666666666668,27862.666666666668,337683137.3333333,7129754.0,2870246.0,10000000.0,reads,,10000000.0,MCF7,condition
MCF7_r1e7_s24,0.9560522494003231,0.12178034625912652,0.21604166443408374,0.9413565004080522,0.10120029521343951,0.17777927357738565,0.027971394263707608,0.06033013889505051,0.09074632803759038,0.287,4425.0,566400481.0,27878.0,27878.0,338078731.0,7130833.0,2869167.0,10000000.0,reads,24.0,10000000.0,MCF7,file
MCF7_r1e7_s81,0.9562910423857772,0.12139620858584724,0.21544303645714696,0.9422363114400871,0.10130603759905986,0.17799378051032883,0.02801913312743916,0.06006021165602267,0.0904787685832558,0.287,4453.0,566400481.0,27850.0,27850.0,337244984.0,7129552.0,2870448.0,10000000.0,reads,81.0,10000000.0,MCF7,file
MCF7_r1e7_s84,0.9568859091575808,0.1220376938177218,0.21646787460805655,0.9434048999830544,0.10151555681571467,0.1783304965773595,0.02456672551655746,0.060149712475653205,0.09057479242664117,0.287,4443.0,566400481.0,27860.0,27860.0,337725697.0,7128877.0,2871123.0,10000000.0,reads,84.0,10000000.0,MCF7,file
MCF7_r1e8,0.9297321422426944,0.5616165531769562,0.7002426229463942,0.9165360278312736,0.5267554019409998,0.6664605404825558,0.0233252707116524,0.07954237699719355,0.06695624565919758,0.288,13.333333333333334,476400481.0,32289.666666666668,32289.666666666668,474467005.0,71156964.66666667,28843035.333333332,100000000.0,reads,,100000000.0,MCF7,condition
MCF7_r1e8_s17,0.9297145768197989,0.5616448731001131,0.7002596530907723,0.916545820286868,0.5268406249587105,0.6665551685463013,0.023500236395253872,0.07933123449628124,0.06679727258991713,0.288,14.0,476400481.0,32289.0,32289.0,474398028.0,71158257.0,28841743.0,100000000.0,reads,17.0,100000000.0,MCF7,file
MCF7_r1e8_s88,0.9298794104510942,0.5612216331476126,0.6999773001354701,0.916612065936607,0.5263146766494021,0.6660975565425951,0.02291135478245132,0.07971458019513407,0.06702483611422319,0.288,13.0,476400481.0,32290.0,32290.0,474509066.0,71159609.0,28840391.0,100000000.0,reads,88.0,100000000.0,MCF7,file
MCF7_r1e8_s97,0.9296026700968323,0.561983153283143,0.700490755077876,0.9164501972703465,0.5271109042148868,0.6667288963587714,0.023585919803591975,0.07967337158695252,0.06712431285964005,0.288,13.0,476400481.0,32290.0,32290.0,474493921.0,71153028.0,28846972.0,100000000.0,reads,97.0,100000000.0,MCF7,file
MCF7_r5e6,0.9556285079762893,0.050458784920273135,0.09585620191828557,0.9383411110091245,0.04141942736976179,0.0776854460392838,0.03621836341888832,0.03119532142598597,0.053885154128402224,0.286,7777.0,571400481.0,24526.0,24526.0,256645721.33333334,3571229.6666666665,1428770.3333333333,5000000.0,reads,,5000000.0,MCF7,condition
MCF7_r5e6_s16,0.955654413486303,0.05037204974277586,0.09569981190857389,0.9383625953250657,0.04127382452096253,0.07738585732504238,0.03257577425113523,0.031465821617886705,0.054254598379617214,0.286,7785.0,571400481.0,24518.0,24518.0,256488452.0,3569433.0,1430567.0,5000000.0,reads,16.0,5000000.0,MCF7,file
MCF7_r5e6_s85,0.9557511005564985,0.05040023975802834,0.09575117119456168,0.9382045991514293,0.041494133449798826,0.07782518544162491,0.03742625457662146,0.031249086063215314,0.05399294178508943,0.286,7814.0,571400481.0,24489.0,24489.0,255754234.0,3571921.0,1428079.0,5000000.0,reads,85.0,5000000.0,MCF7,file
MCF7_r5e6_s92,0.955480661682463,0.050604065260015214,0.09611756239537131,0.9384561385508782,0.04149032413852403,0.07784529535118413,0.038425184985800026,0.030905114472629412,0.053467828292525554,0.286,7732.0,571400481.0,24571.0,24571.0,257694478.0,3572335.0,1427665.0,5000000.0,reads,92.0,5000000.0,MCF7,file
MCF7_r5e7,0.942907351804879,0.39954124322643947,0.5612585494622715,0.9309033883810307,0.36252628827764255,0.5163438374419697,0.02089133124591193,0.09104003371323124,0.09064499015919963,0.28833333333333333,465.3333333333333,526400481.0,31837.666666666668,31837.666666666668,482227995.0,35575257.0,14424743.0,50000000.0,reads,,50000000.0,MCF7,condition
MCF7_r5e7_s21,0.9428631179604993,0.3994432926665299,0.5611540634690743,0.930735796368339,0.3625977875912772,0.5163965334110231,0.021511273654363228,0.09110587722928136,0.09066701867142256,0.288,466.0,526400481.0,31837.0,31837.0,482145343.0,35575489.0,14424511.0,50000000.0,reads,21.0,50000000.0,MCF7,file
MCF7_r5e7_s57,0.943058436789434,0.399513053211187,0.5612574946577209,0.931271214958585,0.36236864093037485,0.5161611190205936,0.020139062987875,0.09150378695970905,0.09107475133094381,0.288,469.0,526400481.0,31834.0,31834.0,481886760.0,35578558.0,14421442.0,50000000.0,reads,57.0,50000000.0,MCF7,file
MCF7_r5e7_s81,0.942800572567332,0.39966738380160155,0.5613640705493078,0.9307031538161685,0.36261243631127554,0.5164738598942922,0.02102051029513747,0.09061642185293994,0.0902991368473153,0.289,461.0,526400481.0,31842.0,31842.0,482651882.0,35571724.0,14428276.0,50000000.0,reads,81.0,50000000.0,MCF7,file
