,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.9783945688553143,0.1343366150274016,0.2362371369562882,0.9783945254474714,0.1343366150274016,0.23623681171661734,0.0004723809459486846,0.0005969961060409487,0.0009248459752713841,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.9323861233419645,0.5743104355462914,0.7107988366137306,0.9323859854745707,0.5743104355462915,0.7107983817209563,0.00012326001367192536,0.001173186943296905,0.0009302959024519769,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.9322451683172982,0.5732142464591837,0.7099177917746188,0.9322451683172982,0.5732142464591837,0.7099177917746188,,,,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.9324384796139563,0.5741692226708354,0.7107058807895558,0.9324384796139564,0.5741692226708354,0.7107058807895558,,,,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.9324743084924575,0.575547837508855,0.7117714725986944,0.9324743084924576,0.575547837508855,0.7117714725986944,,,,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.9788659761749245,0.1340763425433552,0.235848287405965,0.9788659761749244,0.1340763425433552,0.235848287405965,,,,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.9779212197462097,0.133913942056256,0.23556960609947622,0.9779212197462096,0.133913942056256,0.2355696060994762,,,,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.9783963804212799,0.1350195604825936,0.23729254164441085,0.97839638042128,0.1350195604825936,0.2372925416444108,,,,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.9171384334134414,0.7374499897100916,0.8175371214149677,0.9171383231048958,0.7374499897100915,0.8175369441835371,0.00024217726280353438,0.0008791921878869165,0.0006194258328096607,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
