,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.9391813567105334,0.12895251913034,0.2267689558534631,0.9112948194373511,0.10220327839721143,0.17631463096244507,0.038582311831232986,0.07529635121370713,0.11032015347290994,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.8830064186542866,0.5438946249755817,0.6731545219187359,0.8554253395056866,0.4974394237756008,0.626439587626254,0.04222213351421103,0.09115494528596084,0.08097507871090989,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.8829340823648258,0.5428940925587347,0.6723667071038611,0.85559032290147,0.49614542779894105,0.6254002063944197,0.04217222697176542,0.09149057892195228,0.08134336775873373,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.8830331561540311,0.5437468229233144,0.6730490758711056,0.8550826872856175,0.4973481359004354,0.6263122482502487,0.04233598863993293,0.09075752917748883,0.08064964061822907,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.8830518048798265,0.5450429594446959,0.6740465424258207,0.8556030083299722,0.4988247076274261,0.6276063082340936,0.04220617433208612,0.0913038598578008,0.08101193265522677,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.9399197536624055,0.12874183588212348,0.22646457185748647,0.9135170142354374,0.10221954093756004,0.1764240762953157,0.03656545265614969,0.0750414481415596,0.10992795975342193,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.9385211373645587,0.12851859911601649,0.22607859424747737,0.9087044562677961,0.10153588146143935,0.17515691460019475,0.041831064200624345,0.07548980630632574,0.11079638933885454,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.9391036010560397,0.12959712239288002,0.22776278083332097,0.9116629878088199,0.10285441279263491,0.17736290199182478,0.037022434613519284,0.07544083731283908,0.11035459189549503,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.8721203107461515,0.701251949274472,0.7774079707043781,0.8478639756907402,0.6631123484165445,0.7435237237609926,0.040705918736289044,0.07046672066321524,0.0590276262613507,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
