,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.9111327354029377,0.7159256605488473,0.8018191689542238,0.8896608592553861,0.6620880510935915,0.7566225619338901,0.04671013726765954,0.09047975794214651,0.07224062583922429,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.9248680495623718,0.857805613002833,0.8900754197041,0.9172289675746917,0.8348290106736369,0.8736558305921533,0.01756130191571033,0.04977114790871762,0.034659987440056744,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.9245007317297284,0.8582976155798759,0.8901699677284659,0.916901488403658,0.8354017681005401,0.8738257324572026,0.017596056109745812,0.049546766614224795,0.03450873822287492,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.9249227816409965,0.8579887990827989,0.8901993741521599,0.9173898452278731,0.8348226792326169,0.8737335392840467,0.017811397574318266,0.04966248425728518,0.034722928935930986,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.9251826031087615,0.8571281255229491,0.8898560925769052,0.9173955690925435,0.8342625846877534,0.8734082200352106,0.017288843600624663,0.050154814154699,0.034787545512144497,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.9112212183037015,0.7142279023014765,0.8007874390301912,0.8899636309049687,0.6601478109561578,0.7552940267392875,0.04840384257755667,0.09205183173600572,0.07363466210997219,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.9113421683534078,0.7172749551937215,0.8027459659126237,0.8898504700492392,0.6637295446056247,0.7579432791523525,0.04645339333328893,0.08865363455977206,0.07081750895415799,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.9108415564829622,0.7161803821989422,0.8018660824857904,0.8891684768119505,0.662386797718992,0.7566303799100303,0.04527124239637627,0.09077273236047319,0.0723038932771277,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.9341040952661166,0.9180875034512803,0.926026548636057,0.9290774266988261,0.9099100205192479,0.9193599217001961,0.014621589142344099,0.022591145840252604,0.01833541172944681,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.9339636136982522,0.917878987469522,0.9258514471306954,0.928836125252758,0.9094218737137648,0.9189929979233215,0.01462722162055538,0.02248014789941729,0.018279860015017274,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.9339976690423172,0.9178742030080876,0.9258657459216427,0.9290465001643237,0.9099744963502101,0.9193791808903871,0.014612372565857746,0.022454762905439747,0.018279609414252898,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.934350250588502,0.9185081650435042,0.9263614822757519,0.9293496546793968,0.9103336914937684,0.9197075862868795,0.014638003248034917,0.022853859260823606,0.018461008480433125,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.9250532724839223,0.7971221845235662,0.856336074657986,0.91472195325306,0.7527213146890165,0.8242800167701125,0.022536723595622532,0.07652565921728169,0.05358107500277115,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.9255392873242012,0.7971715351789534,0.8565727513949218,0.9154471905151816,0.7520418810974153,0.8241335596706322,0.022345971356440432,0.0769573371049365,0.0537970855518,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.9251876232625603,0.7985910996719312,0.8572406558149479,0.9148560329439485,0.7548779330836209,0.8257121377733813,0.022393188922639935,0.07538949150433095,0.05296208324405942,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.9244066416430142,0.7955780185283325,0.8551676317851749,0.9138626363000503,0.7512441298860134,0.822994352866324,0.022865690053098305,0.07726035385471598,0.05400733176614099,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.9279216177414852,0.8254230437809963,0.8736763545865361,0.9190718245427141,0.7911471949048139,0.8493354588917146,0.01932554552693992,0.06589654639916223,0.04551246346217278,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
