,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.9308725739410574,0.7288178444125969,0.8175458932100226,0.9060166125710623,0.6697390656237987,0.7651852391383165,0.06959271534185014,0.11161668974630298,0.09592532986563862,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.9443104062807566,0.8638461470382099,0.9022879181300828,0.9313200699859595,0.825512074171302,0.8744059512379875,0.023323876073240355,0.06488344638550454,0.04580489799404926,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.9440559279297894,0.8632637198715724,0.901854005851045,0.9308892916027223,0.8251886794523275,0.8740471177196224,0.023579164487995255,0.06487032739688775,0.0459157519807001,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.9441306902693869,0.8645059563018174,0.9025655947120034,0.9309568592234568,0.8266298468061509,0.8749076964560054,0.023623499673070973,0.06423464715182386,0.04556938858006144,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.9447460153842744,0.8637665089888196,0.9024432583041645,0.932114059131699,0.8247176962554273,0.8742630395383345,0.022766401931011742,0.06560008882691924,0.045978632250723274,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.9304064173068411,0.7261752652450855,0.8157015545804175,0.9079760193027027,0.6646144219557201,0.7609955131382674,0.0668053150632478,0.12008113447730338,0.10467373438939521,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.9314396904078616,0.7301972815203034,0.8186321577169826,0.9045589805934202,0.6703249501084576,0.76567496181521,0.07493894095024899,0.10713371173717677,0.09267255749701483,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.930723137459794,0.7298193503783271,0.8181178868206151,0.9055200941645277,0.6742778248072183,0.7688852424614719,0.06674979238181734,0.10705207172586295,0.08972513997506039,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.9338879225021116,0.8755414254096113,0.9037739592142513,0.9215473376659336,0.850369864567921,0.8842216141048591,0.025530957942018456,0.050661436860404106,0.038518133143201384,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.9336223049665817,0.8759969992921937,0.9038921453791414,0.9210112654165371,0.8513624232267136,0.884520652447478,0.02584610039615459,0.05000972443961375,0.03819909764341551,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.9339652587340059,0.8754831433548493,0.9037791180524858,0.9215156058883757,0.8501022445166224,0.884063264098176,0.025518483109000255,0.0507510809946873,0.038609040396429185,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.9340772034450281,0.8751431008644027,0.9036502832988578,0.9221151416928876,0.8496449259604271,0.8840809257689232,0.02524313810303159,0.051260369568670215,0.03878799713226895,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
