,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.9277214090322495,0.7133767479402753,0.8065512461374073,0.9048704314855073,0.6635554260971155,0.7620261979971128,0.0706580771387634,0.10272001655366277,0.08610437047529333,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.9474838889283829,0.8696347599596348,0.9068917154287964,0.9396190000585555,0.8396042572012566,0.8862361359807326,0.015048146103948102,0.052600253437211315,0.0354643245961714,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.9478306672386299,0.8693350130946141,0.9068874615376444,0.939935544088635,0.8392484479002816,0.886181146133638,0.015373196533273997,0.05268912373745059,0.03568089984289085,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.9474246187702434,0.8689573308689972,0.906496090307087,0.9394275475890163,0.8385966863250128,0.8855756073009635,0.014996085892027881,0.053052190416167495,0.03571518690118024,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.9471970350019131,0.8706066388944441,0.9072883269580361,0.9394939084980153,0.8409676373784758,0.8869516545075966,0.014782043666495732,0.052089007737784826,0.03502136368504954,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.9300700724132491,0.7082779493658132,0.804161405145218,0.904227697070967,0.6579802061838124,0.7582155936563088,0.0777129208800567,0.10509465149475256,0.09171758489363765,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.9285314821062945,0.7177568891413627,0.8096514313119385,0.9101024039618697,0.665471061890442,0.7649677558119096,0.0540177556172944,0.10216568615529392,0.08090229882494096,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.9243558914462384,0.7137429656925758,0.8055100123427223,0.9002811934236848,0.6672150102170922,0.76289524452312,0.0773528070365391,0.10073932686829683,0.0853128689393043,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.9508005914716906,0.9116061820541713,0.9307909629703887,0.9435024425003818,0.8954395245925612,0.9187376331696762,0.014365972044988637,0.030469517078692603,0.0224231818377869,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.9509409621023668,0.9120401910988806,0.9310844345465118,0.9437110231989594,0.8958923056803719,0.9190756528909474,0.014295716925293089,0.03028875222055246,0.02227309443695119,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
MCF7_c20000_s23,0.9505631478145705,0.9113368890015122,0.9305368116434344,0.9433892462441157,0.8950040977838006,0.9184502166713352,0.014161209806566386,0.030672018860176713,0.022432999925433565,0.286,12303.0,220687277.0,20000.0,0.0,0.0,254084527.0,101628677.0,355713204.0,cells,23.0,20000.0,MCF7,file
