,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.9233169843253279,0.6441485087335042,0.7588725380880244,0.891051274296431,0.5564717194494871,0.6753800021782795,0.09372138748159232,0.13233425653836228,0.1269624587526146,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.9249084708934459,0.8131379793324606,0.8654293502823466,0.9090426248325708,0.7704538096756154,0.8332314937562185,0.023591909054598296,0.06486493739284459,0.0471222326673942,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.9248952277245486,0.8134491345001515,0.8655997497906625,0.9092821838602759,0.7705011113401394,0.833333828738117,0.02362157573148191,0.06549346848029244,0.04743165799613336,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.9253003598612862,0.8125347419296326,0.8652589515915314,0.9091348591208328,0.7700115388001731,0.8330439334275367,0.02358140498653076,0.06410231716757625,0.04673602317867742,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.9245313150058424,0.8134305017917092,0.8654297973854205,0.9087108315166036,0.7708487788865335,0.8333167191030022,0.0235970763331187,0.065065677037582,0.047251775949685146,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.9228072199574392,0.6421253573706441,0.7572951378021614,0.8935337401567497,0.554002853877959,0.6741241901762446,0.08612257714644672,0.130328024724411,0.12169438634374044,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.9221041599585835,0.6421012832969168,0.757041559976364,0.8890627444851553,0.5512406203663517,0.6698911949335365,0.0910971292599795,0.13520223900803027,0.1340676304748244,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.9249477678249802,0.6480151085612377,0.7621033365486879,0.8905348028769831,0.5641716841041508,0.6821246214250578,0.10317524034006795,0.13122828741387643,0.12464284341469135,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.9139827374720697,0.8337246582871731,0.8720108953343902,0.8966451771338483,0.8028321295966689,0.8468585086025703,0.02628741874159511,0.05049172907309527,0.03923153050283893,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.9139060753643676,0.8342747570022399,0.8722767746118234,0.8963248494439892,0.8030257314988126,0.8468285014531517,0.026356657775583152,0.05051394540890624,0.039295309083221354,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
SKNSH_c20000_s65,0.9135925100242106,0.8334834311909997,0.8717013405103919,0.8966159915264381,0.8026479008002364,0.846732936857025,0.025911031849365742,0.05053237628622113,0.039066981792574236,0.285,40714.0,654080029.0,20000.0,0.0,0.0,229972330.0,91632758.0,321605088.0,cells,65.0,20000.0,SKNSH,file
SKNSH_c20000_s79,0.9144499679479623,0.8334181721072621,0.8720557384227574,0.8969946904311178,0.8028227564909577,0.8470140874975342,0.02661671631881155,0.050488244379716676,0.039377813639690076,0.285,40714.0,653193036.0,20000.0,0.0,0.0,230459169.0,92032912.0,322492081.0,cells,79.0,20000.0,SKNSH,file
SKNSH_c2500,0.9320485476688365,0.7550562556588064,0.8342683692287363,0.9150899619742531,0.688992569579521,0.7839025287244602,0.031759723677307415,0.08579457118897604,0.06447821997467872,0.285,58214.0,935534685.3333334,2500.0,0.0,0.0,28702445.0,11447986.666666666,40150431.666666664,cells,,2500.0,SKNSH,condition
SKNSH_c2500_s15,0.9328063444985332,0.7562505292628793,0.8353008151298446,0.9174686233587379,0.6896928066164187,0.7851684391697094,0.030155142037296887,0.08648250890613007,0.06452930886457914,0.285,58214.0,935132368.0,2500.0,0.0,0.0,28977844.0,11574905.0,40552749.0,cells,15.0,2500.0,SKNSH,file
SKNSH_c2500_s41,0.9311919672486644,0.753643876065135,0.8330629079895404,0.9139401153224964,0.6857857394596039,0.7812506251120224,0.03285284666798312,0.08738508343124685,0.06583938135498302,0.285,58214.0,935909556.0,2500.0,0.0,0.0,28426168.0,11349393.0,39775561.0,cells,41.0,2500.0,SKNSH,file
SKNSH_c2500_s62,0.9321321618998926,0.7552522784531881,0.8344215132706579,0.9138611472415248,0.6914991626625407,0.785288521891649,0.032113850089493114,0.08346973267917795,0.06303012546700164,0.285,58214.0,935562132.0,2500.0,0.0,0.0,28703323.0,11419662.0,40122985.0,cells,62.0,2500.0,SKNSH,file
SKNSH_c30000,0.908010988894972,0.8475478509693446,0.8767382155689665,0.8918172622860886,0.8228094046083726,0.8557959049856453,0.027545067368224995,0.04265501369481835,0.035312777651483274,0.28533333333333327,30714.0,494282034.3333333,30000.0,0.0,0.0,344043287.0,137359795.66666666,481403082.6666667,cells,,30000.0,SKNSH,condition
SKNSH_c30000_s41,0.9082832004191309,0.8470874314297557,0.8766186118124301,0.8920426298470485,0.82254052544178,0.8557589365575804,0.027731328396668108,0.04255697277784542,0.03536850635625166,0.285,30714.0,494175432.0,30000.0,0.0,0.0,344207333.0,137302352.0,481509685.0,cells,41.0,30000.0,SKNSH,file
SKNSH_c30000_s46,0.9077290876264549,0.8482151284238024,0.8769635590895759,0.8917925182927996,0.8235834873262968,0.8562010114056057,0.027245224449107548,0.042574716918087445,0.035108834446923386,0.286,30714.0,494596530.0,30000.0,0.0,0.0,343711839.0,137376748.0,481088587.0,cells,46.0,30000.0,SKNSH,file
SKNSH_c30000_s87,0.9080212320673654,0.847340926010993,0.8766322642615136,0.8916166387184173,0.8223042010570409,0.8554277669937493,0.027687147181649146,0.042872512377700976,0.03549764732632842,0.285,30714.0,494074141.0,30000.0,0.0,0.0,344210689.0,137400287.0,481610976.0,cells,87.0,30000.0,SKNSH,file
SKNSH_c40000,0.9103403672757379,0.869787908045625,0.8896022321979099,0.896030155363786,0.8502046346022477,0.8724561096353105,0.02641863953457193,0.035899556502779234,0.03107112043661336,0.28533333333333327,20714.0,333455446.3333333,40000.0,0.0,0.0,458921649.6666667,183308021.0,642229670.6666666,cells,,40000.0,SKNSH,condition
SKNSH_c40000_s10,0.9103229271436523,0.8700339339911077,0.8897225660705815,0.8962583542448616,0.850216371623527,0.8725710460763924,0.026262578107959546,0.03568194359957479,0.030882142123542976,0.286,20714.0,333545325.0,40000.0,0.0,0.0,458749364.0,183390428.0,642139792.0,cells,10.0,40000.0,SKNSH,file
SKNSH_c40000_s70,0.9103578291415859,0.8695417243024222,0.8894817855898589,0.8958019564827108,0.8501928975809683,0.8723411731942287,0.02658745256168275,0.03613708896710883,0.03127691159651567,0.285,20714.0,334334693.0,40000.0,0.0,0.0,458300250.0,183050174.0,641350424.0,cells,70.0,40000.0,SKNSH,file
SKNSH_c5000,0.9301566182338186,0.7898371272637186,0.8542731427649678,0.9139123194221489,0.7343985099261156,0.812944947710741,0.02525574285500781,0.0769485070148082,0.05577409465861367,0.2856666666666667,55714.0,895783243.3333334,5000.0,0.0,0.0,57062846.0,22839027.666666668,79901873.66666667,cells,,5000.0,SKNSH,condition
