,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
GM12878,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.328,,,30246.0,0.0,0.0,585584726.0,285255118.0,870839844.0,baseline,,,GM12878,file
GM12878_c1000,0.7552389230653482,0.939966585022809,0.8375378064818344,0.7552666958185315,0.939966585022809,0.8375450165450541,0.004994849280868967,0.0020877329543808457,0.0024789828185945097,0.32433333333333336,29246.0,847444028.0,1000.0,0.0,0.0,15799318.666666666,7596497.333333333,23395816.0,cells,,1000.0,GM12878,condition
GM12878_c10000,0.9999540023585981,0.43775398080290473,0.6089328991408978,0.9999540514112834,0.43775398080290473,0.6089007077119231,1.1141403123403788e-05,0.008455989352335108,0.0082083058048133,0.3273333333333333,20246.0,577549916.0,10000.0,0.0,0.0,197269590.33333334,96020337.66666667,293289928.0,cells,,10000.0,GM12878,condition
GM12878_c10000_s14,0.9999413046982302,0.44229750052605027,0.613312494628111,0.9999413046982302,0.4422975005260502,0.613312494628111,,,,0.326,20246.0,577754214.0,10000.0,0.0,0.0,197517430.0,95568200.0,293085630.0,cells,14.0,10000.0,GM12878,file
GM12878_c10000_s17,0.9999619320313284,0.442966943870128,0.6139596877103971,0.9999619320313284,0.442966943870128,0.6139596877103971,,,,0.327,20246.0,570287343.0,10000.0,0.0,0.0,202181455.0,98371046.0,300552501.0,cells,17.0,10000.0,GM12878,file
GM12878_c10000_s90,0.9999589175042913,0.4279974980125359,0.5994299407972611,0.9999589175042912,0.4279974980125359,0.5994299407972611,,,,0.329,20246.0,584608191.0,10000.0,0.0,0.0,192109886.0,94121767.0,286231653.0,cells,90.0,10000.0,GM12878,file
GM12878_c1000_s4,0.7505697379552875,0.9423732261512443,0.8356062081296544,0.7505697379552875,0.9423732261512444,0.8356062081296544,,,,0.32,29246.0,849785087.0,1000.0,0.0,0.0,14319133.0,6735624.0,21054757.0,cells,4.0,1000.0,GM12878,file
GM12878_c1000_s44,0.7605138743658053,0.9388844574781937,0.8403381867084533,0.7605138743658053,0.9388844574781936,0.8403381867084533,,,,0.329,29246.0,842777745.0,1000.0,0.0,0.0,18837828.0,9224271.0,28062099.0,cells,44.0,1000.0,GM12878,file
GM12878_c1000_s48,0.7547164751345018,0.9386420714389891,0.8366906547970543,0.7547164751345018,0.9386420714389891,0.8366906547970543,,,,0.324,29246.0,849769252.0,1000.0,0.0,0.0,14240995.0,6829597.0,21070592.0,cells,48.0,1000.0,GM12878,file
GM12878_c20000,0.9480865169033806,0.8712496893016911,0.9080455613052155,0.9482356459378415,0.871249689301691,0.9079529047222579,0.00749377865096871,0.022361328805055678,0.009398698535891599,0.328,10246.0,303361006.0,20000.0,0.0,0.0,381518729.0,185960109.0,567478838.0,cells,,20000.0,GM12878,condition
GM12878_c20000_s50,0.9523520906422932,0.8488392713198987,0.8976212874795643,0.9523520906422932,0.8488392713198987,0.8976212874795643,,,,0.327,10246.0,317640377.0,20000.0,0.0,0.0,372545127.0,180654340.0,553199467.0,cells,50.0,20000.0,GM12878,file
GM12878_c20000_s71,0.9527689242278146,0.8713481930953278,0.9102414232936742,0.9527689242278146,0.8713481930953278,0.9102414232936742,,,,0.329,10246.0,299504989.0,20000.0,0.0,0.0,383511469.0,187823386.0,571334855.0,cells,71.0,20000.0,GM12878,file
GM12878_c20000_s9,0.9395859229434167,0.8935616034898467,0.915996003393535,0.9395859229434168,0.8935616034898467,0.915996003393535,,,,0.328,10246.0,292937652.0,20000.0,0.0,0.0,388499591.0,189402601.0,577902192.0,cells,9.0,20000.0,GM12878,file
GM12878_c2500,0.9812458620480895,0.3514587517965713,0.5175452118921976,0.9813714502462139,0.35145875179657127,0.5172780976744374,0.0049174956726338835,0.02182171113597439,0.02352902093825708,0.3276666666666667,27746.0,795532468.6666666,2500.0,0.0,0.0,50605751.666666664,24701623.666666668,75307375.33333333,cells,,2500.0,GM12878,condition
GM12878_c2500_s21,0.9838265117630852,0.3264313970929578,0.49021167597806103,0.9838265117630852,0.3264313970929578,0.490211675978061,,,,0.327,27746.0,796513045.0,2500.0,0.0,0.0,50037572.0,24289227.0,74326799.0,cells,21.0,2500.0,GM12878,file
GM12878_c2500_s80,0.9845780223735553,0.361440490305012,0.5287688984931795,0.9845780223735552,0.361440490305012,0.5287688984931795,,,,0.332,27746.0,784443544.0,2500.0,0.0,0.0,57729755.0,28666545.0,86396300.0,cells,80.0,2500.0,GM12878,file
GM12878_c2500_s95,0.9757098166020012,0.36650436799174413,0.5328537185520718,0.9757098166020012,0.3665043679917441,0.5328537185520718,,,,0.324,27746.0,805640817.0,2500.0,0.0,0.0,44049928.0,21149099.0,65199027.0,cells,95.0,2500.0,GM12878,file
GM12878_c30000,0.9971529015900212,0.9958894611507175,0.9965207809067933,0.9971652130428454,0.9958894611507176,0.9965210323986226,0.003247541158266382,0.0030078033297385185,0.0009971688201161153,0.328,246.0,6538138.333333333,30000.0,0.0,0.0,581176836.3333334,283124869.3333333,864301705.6666666,cells,,30000.0,GM12878,condition
GM12878_c30000_s40,0.9934155431401893,0.998695800878001,0.9960486741267073,0.9934155431401892,0.998695800878001,0.9960486741267072,,,,0.328,246.0,4666165.0,30000.0,0.0,0.0,582421054.0,283752625.0,866173679.0,cells,40.0,30000.0,GM12878,file
GM12878_c30000_s63,0.9990012499211566,0.9927142236044831,0.9958478139850858,0.9990012499211566,0.9927142236044832,0.9958478139850858,,,,0.328,246.0,9003056.0,30000.0,0.0,0.0,579555852.0,282280936.0,861836788.0,cells,63.0,30000.0,GM12878,file
GM12878_c30000_s89,0.9990788460671904,0.9962583589696683,0.9976666090840747,0.9990788460671904,0.9962583589696684,0.9976666090840748,,,,0.328,246.0,5945194.0,30000.0,0.0,0.0,581553603.0,283341047.0,864894650.0,cells,89.0,30000.0,GM12878,file
GM12878_c5000,0.993201593843648,0.3640916787748508,0.5328493745007056,0.9931769956879272,0.36409167877485077,0.5328249995102644,0.0025898317495528208,0.007104729188417833,0.007923548277082958,0.32633333333333336,25246.0,731897695.3333334,5000.0,0.0,0.0,93568156.0,45373992.666666664,138942148.66666666,cells,,5000.0,GM12878,condition
GM12878_c5000_s18,0.992327628942124,0.3581296955290876,0.526313546053443,0.992327628942124,0.3581296955290876,0.526313546053443,,,,0.327,25246.0,736877431.0,5000.0,0.0,0.0,90098692.0,43863721.0,133962413.0,cells,18.0,5000.0,GM12878,file
GM12878_c5000_s33,0.9960848545659702,0.3719530642008681,0.5416469949807501,0.9960848545659702,0.3719530642008681,0.5416469949807501,,,,0.326,25246.0,719820541.0,5000.0,0.0,0.0,101803608.0,49215695.0,151019303.0,cells,33.0,5000.0,GM12878,file
GM12878_c5000_s48,0.9911185035556871,0.36219227659459674,0.5305144574966001,0.9911185035556872,0.3621922765945967,0.5305144574966001,,,,0.326,25246.0,738995114.0,5000.0,0.0,0.0,88802168.0,43042562.0,131844730.0,cells,48.0,5000.0,GM12878,file
GM12878_c7500,0.9993814775109389,0.42073786181110473,0.5921722412178522,0.9993808623040886,0.4207378618111047,0.5921660677837447,0.00016731694243130385,0.003659831623874973,0.0036394855459899638,0.3276666666666667,22746.0,643021329.3333334,7500.0,0.0,0.0,153195274.0,74623240.66666667,227818514.66666666,cells,,7500.0,GM12878,condition
GM12878_c7500_s39,0.9994830820785447,0.4249136399675047,0.5963141980302938,0.9994830820785447,0.4249136399675047,0.5963141980302938,,,,0.327,22746.0,637714670.0,7500.0,0.0,0.0,156869879.0,76255295.0,233125174.0,cells,39.0,7500.0,GM12878,file
GM12878_c7500_s55,0.9994717323362409,0.4192125783732204,0.5906756263686231,0.9994717323362408,0.4192125783732204,0.5906756263686231,,,,0.328,22746.0,643469265.0,7500.0,0.0,0.0,152886489.0,74484090.0,227370579.0,cells,55.0,7500.0,GM12878,file
GM12878_c7500_s56,0.9991877724974806,0.4180873670925891,0.5895083789523172,0.9991877724974806,0.4180873670925891,0.5895083789523172,,,,0.328,22746.0,647880053.0,7500.0,0.0,0.0,149829454.0,73130337.0,222959791.0,cells,56.0,7500.0,GM12878,file
GM12878_f005,0.9999998257532589,0.4083517946786392,0.5799002430933275,0.9999998257661776,0.4083517946786392,0.579899803326151,9.96710943063518e-08,0.0009597337727198811,0.0009679944713793752,0.05000000000000001,0.0,254434869.0,30246.0,30234.666666666668,254434869.0,585584726.0,30820249.0,616404975.0,frip,,0.05,GM12878,condition
GM12878_f005_s21,0.9999997391384591,0.40914787432193145,0.5807024951577043,0.9999997391384592,0.4091478743219314,0.5807024951577043,,,,0.05,0.0,254434869.0,30246.0,30234.0,254434869.0,585584726.0,30820249.0,616404975.0,frip,21.0,0.05,GM12878,file
GM12878_f005_s40,0.9999999347005812,0.4086214237986482,0.5801720876236881,0.9999999347005812,0.4086214237986482,0.5801720876236881,,,,0.05,0.0,254434869.0,30246.0,30235.0,254434869.0,585584726.0,30820249.0,616404975.0,frip,40.0,0.05,GM12878,file
GM12878_f005_s91,0.9999998034594929,0.4072860859153379,0.5788248271970605,0.9999998034594928,0.4072860859153379,0.5788248271970605,,,,0.05,0.0,254434869.0,30246.0,30235.0,254434869.0,585584726.0,30820249.0,616404975.0,frip,91.0,0.05,GM12878,file
GM12878_f01,0.9999999563988464,0.40798220310836525,0.5795274926816726,0.9999999563745597,0.40798220310836525,0.5795274171225415,3.7780740689637096e-08,0.0003977468521273827,0.00040122249247894414,0.10000000000000002,0.0,220190148.0,30246.0,30234.0,220190148.0,585584726.0,65064970.0,650649696.0,frip,,0.1,GM12878,condition
