,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
GM12878,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.328,,,30246.0,0.0,0.0,585584726.0,285255118.0,870839844.0,baseline,,,GM12878,file
GM12878_c1000,0.7182190728769261,0.8938918646966477,0.7964838788091813,0.7047544820582882,0.8879078337865052,0.7847363424253072,0.06293782905947123,0.0183254911587615,0.04567692479588016,0.32433333333333336,29246.0,847444028.0,1000.0,0.0,0.0,15799318.666666666,7596497.333333333,23395816.0,cells,,1000.0,GM12878,condition
GM12878_c10000,0.9998745629690746,0.43771920429427086,0.6088845236579712,0.99984060244182,0.4276922900398932,0.5965447675678407,0.00016979331655951217,0.0626472982670535,0.05865321456307548,0.3273333333333333,20246.0,577549916.0,10000.0,0.0,0.0,197269590.33333334,96020337.66666667,293289928.0,cells,,10000.0,GM12878,condition
GM12878_c10000_s14,0.9998283780744756,0.4422475504307849,0.6132432312533515,0.9997852799784147,0.43181047756306573,0.6005804521831138,0.00018674017783874264,0.06273870141034793,0.05841546904717604,0.326,20246.0,577754214.0,10000.0,0.0,0.0,197517430.0,95568200.0,293085630.0,cells,14.0,10000.0,GM12878,file
GM12878_c10000_s17,0.9999118774712557,0.44294477051053105,0.6139289550583966,0.999882330690556,0.433011210844491,0.6018756377513887,0.00014065946736111157,0.06149933268857043,0.05709150133578557,0.327,20246.0,570287343.0,10000.0,0.0,0.0,202181455.0,98371046.0,300552501.0,cells,17.0,10000.0,GM12878,file
GM12878_c10000_s90,0.9998836723262636,0.4279652919414967,0.5993848347315809,0.9998541966564891,0.4182551817121228,0.5871782127690194,0.00016403783937792946,0.062694613465744,0.059366557916873855,0.329,20246.0,584608191.0,10000.0,0.0,0.0,192109886.0,94121767.0,286231653.0,cells,90.0,10000.0,GM12878,file
GM12878_c1000_s4,0.7152569826065832,0.8980365129859842,0.7962926625610229,0.7017231008672954,0.8918992642925597,0.7843679128698366,0.06360748547977642,0.0177787744440549,0.0463287668239934,0.32,29246.0,849785087.0,1000.0,0.0,0.0,14319133.0,6735624.0,21054757.0,cells,4.0,1000.0,GM12878,file
GM12878_c1000_s44,0.721632689495441,0.8908840969409676,0.7973759929966233,0.7080630080911825,0.884817406046458,0.7856305995549822,0.06224909843061874,0.01863929386138979,0.04523665926921175,0.329,29246.0,842777745.0,1000.0,0.0,0.0,18837828.0,9224271.0,28062099.0,cells,44.0,1000.0,GM12878,file
GM12878_c1000_s48,0.7178208981974508,0.8927549841629915,0.795787633008541,0.7044773372163863,0.8870068310204977,0.7842105148511027,0.06286368892678201,0.01784480296225863,0.04549932527513815,0.324,29246.0,849769252.0,1000.0,0.0,0.0,14240995.0,6829597.0,21070592.0,cells,48.0,1000.0,GM12878,file
GM12878_c20000,0.9312480557417162,0.855775886232183,0.8919182462928685,0.9275488404664204,0.8523229438977471,0.8881469228029885,0.016717705604052363,0.028207102583922703,0.019970986419898265,0.328,10246.0,303361006.0,20000.0,0.0,0.0,381518729.0,185960109.0,567478838.0,cells,,20000.0,GM12878,condition
