,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.2991438806569929,0.9996170657072911,0.46048401600576283,0.29914398423313954,0.9996170657072913,0.460484110017382,0.00021393706655284007,1.1437251673544117e-05,0.00025229333475104584,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.9935551073399087,0.8658682060570254,0.9253275165616416,0.9935569059747064,0.8658682060570254,0.9253231604054903,0.0004678392044167615,0.0045987461858656795,0.0024281436190325997,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.9933232986937676,0.8685012435605599,0.9267280569077045,0.9933232986937676,0.8685012435605599,0.9267280569077044,,,,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.99325187522835,0.8685452823787163,0.9267220404957422,0.99325187522835,0.8685452823787163,0.9267220404957422,,,,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.9940955440020014,0.8605580922317999,0.9225193838130242,0.9940955440020014,0.8605580922317999,0.9225193838130242,,,,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.29913799490292553,0.9996140418184041,0.46047672179401117,0.2991379949029255,0.999614041818404,0.4604767217940111,,,,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.2989331047193752,0.9996297110608192,0.4602355919418592,0.2989331047193752,0.9996297110608192,0.4602355919418592,,,,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.299360853077118,0.9996074442426502,0.46074001631627576,0.299360853077118,0.9996074442426502,0.4607400163162757,,,,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.9969294362615664,0.9402373444889542,0.9677538300861073,0.9969330984084358,0.9402373444889544,0.9677496491414176,0.0009082318425194174,0.0048406183666658935,0.002132890531899449,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.9975195169213978,0.9367775757636735,0.9661948191644405,0.9975195169213978,0.9367775757636736,0.9661948191644404,,,,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.9958869149986749,0.9457690818797088,0.9701811801560924,0.9958869149986748,0.9457690818797088,0.9701811801560924,,,,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.9973928633052349,0.9381653758234806,0.9668729481037199,0.9973928633052348,0.9381653758234806,0.96687294810372,,,,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.32859472603439904,0.9993918684548956,0.49457562083634404,0.39080447976730676,0.9993918684548956,0.5470331111564185,0.16609425417722043,0.000540044345703304,0.186035987651297,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.496962548879184,0.9989683040915031,0.6637336661182656,0.496962548879184,0.9989683040915032,0.6637336661182656,,,,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
