,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.29875583262841093,0.9983203671726842,0.45988667831591246,0.27784981280344906,0.9977335167007958,0.4286119520063219,0.08266320890534469,0.001497443766848994,0.09437635607114601,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.9906673401887994,0.863351560785747,0.922638052850365,0.9892144912374425,0.8464063497736879,0.9118974299848772,0.0034262364886017507,0.03559620348541882,0.021541341308699547,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.9903696888739818,0.8659187874711377,0.9239724655581881,0.9887461203860992,0.8496800482326046,0.9136362033481606,0.0038116081574563095,0.03422350600805512,0.020898921919454985,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.9902079005647518,0.865883490440855,0.923881956845441,0.9888346387943643,0.8489691268558076,0.9132436590095188,0.003265459597857142,0.034582483765751966,0.020862869196039486,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.9914320701759333,0.8582524044452486,0.920047683534664,0.9900627145318642,0.8405698742326516,0.908812427596952,0.002994866471351681,0.03722470867792944,0.022512191088299213,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.29873601773201064,0.998270775394935,0.4598579400509598,0.2780618000312491,0.9976021438971354,0.42887412546340054,0.08261474522055792,0.0016725269592625764,0.09434884315498951,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.2985472915367079,0.9983395551221681,0.4596415963097243,0.2776348994552302,0.9978265025433132,0.4283712974164927,0.08258737069572843,0.0014223734593838103,0.09428002149652835,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.2989845065664538,0.9983507710009496,0.4601607892874854,0.2778527389238678,0.9977719036619387,0.4285904331390725,0.0828850208919283,0.0013727521203184192,0.094611535926782,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.9961078871801443,0.9394625141964711,0.966956324022758,0.995366431002464,0.9316492353108675,0.9623815590634529,0.00217533163688335,0.017033575046410773,0.009569758329494733,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.9967925665948146,0.9360948916125514,0.9654906969618973,0.9961521013726903,0.9277405910488211,0.9606554467314194,0.0015825020631258407,0.017311655728046264,0.009750159989764598,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.994908229330975,0.9448396483953954,0.9692277562263363,0.9939439745072743,0.9378514728641398,0.965033491341336,0.002332885774040375,0.015024354660563658,0.00877389078647318,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.9966355170996464,0.9374530025814665,0.9661387764593531,0.9960032171274269,0.9293556420196419,0.9614557391176027,0.0017919313176089752,0.016929800046946417,0.009593216431585679,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.32807166616216593,0.997801028001266,0.4937883511678187,0.36744832938115546,0.9969852550002305,0.5186742108336887,0.14879653389193034,0.0031585946425816596,0.16799235094339948,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.49561818669961055,0.996265937062756,0.6619381617285456,0.46786544728153573,0.9950662991051772,0.6329945371207258,0.07694833610075401,0.002843205178166923,0.06810776178635146,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.4750691703386335,0.9971374768198299,0.643536387694854,0.44813839547888584,0.9958897380216983,0.6144302742769484,0.07779267776548499,0.0028078178869950167,0.0705069225991503,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.19939552169446256,0.9999996701212123,0.3324933387739527,0.1863411453830448,0.9999997278738164,0.30859782110339173,0.07104994332609563,5.578349215634609e-06,0.09312426002953882,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.4155294239463414,0.9999316051313525,0.5870892879851443,0.3893297233870535,0.9998724250387593,0.5559897326641474,0.07974057936884263,0.000291986323988302,0.07782401985045534,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
HEPG2_c5000_s31,0.4211660786247078,0.9999327047273114,0.5926931203828635,0.3945973706709608,0.9998865213215499,0.5614838690184821,0.07971966061464708,0.00026021588551298537,0.07722792736613494,0.286,20043.0,511933451.0,5000.0,0.0,0.0,90089001.0,36131300.0,126220301.0,cells,31.0,5000.0,HEPG2,file
HEPG2_c5000_s39,0.41243219814974447,0.9999369931515514,0.5839920817258369,0.3863619325523363,0.9998451706539543,0.5528835099419586,0.07972874287238309,0.0003665641696190584,0.07812496449960275,0.287,20043.0,511101262.0,5000.0,0.0,0.0,90598055.0,36454435.0,127052490.0,cells,39.0,5000.0,HEPG2,file
HEPG2_c5000_s73,0.41310293960719924,0.9999251175151946,0.5846621421995183,0.3870298669378635,0.9998855831407734,0.5536018190320018,0.07960544986679385,0.000229724756810194,0.077915988618684,0.288,20043.0,511093542.0,5000.0,0.0,0.0,90474590.0,36585620.0,127060210.0,cells,73.0,5000.0,HEPG2,file
HEPG2_c7500,0.9574587686319406,0.9105212035363666,0.9334002755278503,0.9509152909976184,0.897988557125111,0.923593284828349,0.012129802480259112,0.02606132927248327,0.018545711328514593,0.2873333333333333,17543.0,446959556.0,7500.0,0.0,0.0,136305964.33333334,54888231.666666664,191194196.0,cells,,7500.0,HEPG2,condition
HEPG2_c7500_s41,0.9581405065671809,0.9100305088396794,0.9334660323282499,0.9514917669322898,0.8974250233521958,0.9235700345052091,0.01253324322209246,0.02571958200831429,0.01851088857950736,0.287,17543.0,446450449.0,7500.0,0.0,0.0,136667852.0,55035451.0,191703303.0,cells,41.0,7500.0,HEPG2,file
HEPG2_c7500_s60,0.957668899992889,0.9107329857180628,0.9336114069355912,0.9508324367981565,0.8983516908999175,0.923752624359834,0.012556906468962448,0.02554822568811071,0.01843306496769233,0.287,17543.0,445614502.0,7500.0,0.0,0.0,137351139.0,55188111.0,192539250.0,cells,60.0,7500.0,HEPG2,file
HEPG2_c7500_s65,0.956568849556173,0.9108001160513575,0.9331235928550686,0.9504216692624089,0.89818895712322,0.9234571956200041,0.011242998169040458,0.026916479381641597,0.01871293018103935,0.288,17543.0,448813717.0,7500.0,0.0,0.0,134898902.0,54441133.0,189340035.0,cells,65.0,7500.0,HEPG2,file
HEPG2_f005,0.345037656638904,0.887042190782208,0.49682325295387053,0.31876053953506855,0.8663590230895801,0.4606919958591374,0.09059473082039464,0.03956812034590898,0.09622919397628527,0.05000000000000001,0.0,159527414.0,25043.0,25041.666666666668,159527414.0,454695021.0,23931317.0,478626338.0,frip,,0.05,HEPG2,condition
