,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.3470944972043285,0.9954480908369611,0.5147167138826549,0.34720173764996815,0.9954480908369611,0.5148033137827556,0.007332952973440111,0.0006958562032807496,0.007986388907479424,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.936307866525684,0.9408232460511995,0.9385601254871186,0.9363079692050794,0.9408232460511995,0.9385601522096194,0.000390481432377596,5.8983148396920045e-05,0.00020861616236409868,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.9364491170023869,0.9408912627425253,0.9386649343900221,0.9364491170023868,0.9408912627425252,0.938664934390022,,,,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.9358665399120762,0.9407861866285734,0.938319914841302,0.9358665399120762,0.9407861866285734,0.938319914841302,,,,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.9366082507007752,0.9407922887824998,0.9386956073975342,0.9366082507007752,0.9407922887824998,0.9386956073975342,,,,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.35361442548045824,0.9947210415215855,0.5217510303916753,0.3536144254804582,0.9947210415215856,0.5217510303916753,,,,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.33920683702082727,0.9961078676261237,0.5060778525588895,0.3392068370208272,0.9961078676261236,0.5060778525588895,,,,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.34878395044861926,0.9955153633631738,0.5165810583977022,0.3487839504486192,0.9955153633631738,0.5165810583977022,,,,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.9988197045487431,0.8311392617197447,0.9072971439600868,0.9988215554197417,0.8311392617197447,0.9072854510570122,0.0003063606646261142,0.007318650707496025,0.004239097586335314,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
