,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.34436452522712346,0.9876186800723546,0.5106683575519824,0.32417879804695066,0.9839159115520361,0.48061770610922555,0.09478297253296976,0.007097157843002549,0.10222759227836746,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.9271825193847899,0.9316538915841722,0.9294128276122736,0.9161190502357011,0.9204756351701127,0.9182410350057136,0.020305375614263203,0.02251376613167161,0.020336527149382097,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.9273681339916049,0.9317672031253744,0.9295624640397929,0.9161556800429271,0.9207468530827677,0.918397453413025,0.020419883748383157,0.02233326993534559,0.020364028398682614,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.9267360046453652,0.9316076541251528,0.9291654438686346,0.9153630703201651,0.9202722654538928,0.9177572514923972,0.02049625088494076,0.022854219053464575,0.02055713367025473,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.9274437194267438,0.9315868175019896,0.9295106517404021,0.9168384003440104,0.9204077869736776,0.9185684001117186,0.019993673006903752,0.022374223790326015,0.020101049636314525,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.35057544941402174,0.9861723703697861,0.5172670818314757,0.32979683130748494,0.9821745866089431,0.4867443680533645,0.09543758119282,0.007397887292372432,0.1021596944236319,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.3368020058488551,0.9890458895370237,0.5024899773675542,0.3170872108520626,0.9858504236323374,0.4727567173109715,0.09414248694232012,0.0062497758028159135,0.10244468197320422,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.34602399852994453,0.9876377803102543,0.5124933161680442,0.3256523519813043,0.9837227244148279,0.4823520329633406,0.09443284188501405,0.0071148058244676305,0.10169733075763684,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.9981859448555138,0.8306118967096838,0.9067214561187223,0.9978234753638472,0.8065043502741703,0.8913269639807206,0.0012673016063874036,0.045852833625013405,0.028049162868400437,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.9977982128505402,0.8372274253420071,0.9104875827005288,0.9973698473189184,0.8138513492058043,0.89568805125659,0.0013229486997511982,0.04398173359640181,0.026735028524450827,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.9981170124407213,0.8316801209238542,0.9073290830623028,0.9977184398244674,0.8077538854079964,0.8920809245454484,0.0012478476279914731,0.04496434903305645,0.027501344086149546,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.9986504538101922,0.8229281438631904,0.902313592585929,0.9983821389481555,0.7979078162087104,0.8862119161401233,0.0009925328843496278,0.047187637850351814,0.02907315677092169,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
K562_c2500,0.18147156072556592,0.9999800563749723,0.3071948760291268,0.17246162601030254,0.9999689497922081,0.2880402694843983,0.07343797455606249,0.00010359587621914562,0.0985945984757031,0.301,45560.0,697726447.3333334,2500.0,0.0,0.0,26908787.333333332,11594081.333333334,38502868.666666664,cells,,2500.0,K562,condition
K562_c2500_s3,0.18305812705190913,0.9999770797145204,0.30946489210192824,0.17391747034111119,0.9999697050605347,0.2901323534399856,0.07373809383566783,8.551375895753142e-05,0.09876555795481638,0.301,45560.0,697353440.0,2500.0,0.0,0.0,27172714.0,11703162.0,38875876.0,cells,3.0,2500.0,K562,file
K562_c2500_s58,0.17971981900820433,0.9999863073619213,0.3046815713719229,0.17078409120929441,0.999980716539469,0.2856377897129388,0.07306718302468752,7.80805097295924e-05,0.09836674137604771,0.301,45560.0,698391974.0,2500.0,0.0,0.0,26452430.0,11384912.0,37837342.0,cells,58.0,2500.0,K562,file
K562_c2500_s61,0.18166778958778224,0.9999767820484752,0.30747582817106356,0.17268331648050214,0.9999564277766203,0.2883506653002705,0.07356045621818443,0.00013607542228106373,0.09871636652560628,0.301,45560.0,697433928.0,2500.0,0.0,0.0,27101218.0,11694170.0,38795388.0,cells,61.0,2500.0,K562,file
K562_c30000,0.9970719439429712,0.9048104668509914,0.9487033751013532,0.9965132714865031,0.890564509984859,0.9403475219786318,0.001790152722512613,0.027856187913842357,0.01588734013936228,0.301,18060.0,276699058.0,30000.0,0.0,0.0,321220577.0,138309681.0,459530258.0,cells,,30000.0,K562,condition
K562_c30000_s60,0.9978879005930603,0.8969064907420651,0.9447063377090088,0.997559709848791,0.8816343092123843,0.9357809602565708,0.0012448792190820283,0.029001286776131247,0.016587399989509297,0.301,18060.0,276944982.0,30000.0,0.0,0.0,321110450.0,138173884.0,459284334.0,cells,60.0,30000.0,K562,file
K562_c30000_s85,0.9965657913409138,0.9093126161734763,0.9509419313848383,0.9959248754685934,0.895738166192086,0.9430005862936788,0.001851244961966256,0.025860585815932143,0.014888596234108249,0.301,18060.0,277247667.0,30000.0,0.0,0.0,320753116.0,138228533.0,458981649.0,cells,85.0,30000.0,K562,file
K562_c30000_s90,0.996773915860132,0.9082122936374329,0.9504345174236846,0.996055229142125,0.8943210545501069,0.9422610193856454,0.0017296608921286882,0.026441145739075512,0.01514662641683821,0.301,18060.0,275904525.0,30000.0,0.0,0.0,321798165.0,138526626.0,460324791.0,cells,90.0,30000.0,K562,file
K562_c40000,0.992854141700672,0.9673999123968829,0.9799617633197992,0.991675933175429,0.9625107372343772,0.9768585746209956,0.0027497384837960005,0.009935912798301832,0.006201359302613514,0.301,8060.0,123166497.0,40000.0,0.0,0.0,428683530.3333333,184379288.66666666,613062819.0,cells,,40000.0,K562,condition
K562_c40000_s7,0.9927261329004472,0.9672406610627065,0.9798177030328853,0.9915504044347072,0.962219152529654,0.976647721963704,0.0027851618518339753,0.009969184445516716,0.006254280465098558,0.301,8060.0,123536125.0,40000.0,0.0,0.0,428380106.0,184313085.0,612693191.0,cells,7.0,40000.0,K562,file
K562_c40000_s71,0.9928650331499187,0.9677136524085127,0.9801280149126377,0.9916962747118099,0.9628542727812002,0.9770460790317941,0.002760208490198349,0.009800967996177091,0.006144322668027258,0.301,8060.0,123560376.0,40000.0,0.0,0.0,428451800.0,184217140.0,612668940.0,cells,71.0,40000.0,K562,file
K562_c40000_s73,0.9929712835940848,0.9672454237194296,0.9799395407230083,0.9917811203797703,0.9624587863922776,0.9768819228674891,0.0027014888952815704,0.010037556891690341,0.006205896634855607,0.301,8060.0,122402990.0,40000.0,0.0,0.0,429218685.0,184607641.0,613826326.0,cells,73.0,40000.0,K562,file
K562_c5000,0.34193954603319593,0.9997834975631321,0.5095917774086799,0.3257645549389708,0.9996960946881479,0.485188536539439,0.08764645397627999,0.0004189382391062461,0.09451269723828501,0.3013333333333333,43060.0,660111889.6666666,5000.0,0.0,0.0,53190986.333333336,22926440.0,76117426.33333333,cells,,5000.0,K562,condition
K562_c5000_s6,0.344723539024004,0.9997630578280291,0.5126742955814941,0.32843268312817364,0.9996422343117404,0.4882090205733044,0.08796388072570684,0.00048719643925314044,0.09449419750713432,0.301,43060.0,660208999.0,5000.0,0.0,0.0,53162081.0,22858236.0,76020317.0,cells,6.0,5000.0,K562,file
K562_c5000_s63,0.3428173510503373,0.9998154470519824,0.5105701031317256,0.3266521021204851,0.9997610348486904,0.486239241659291,0.08749243612515026,0.00034773786002733524,0.09428292267234163,0.301,43060.0,658842531.0,5000.0,0.0,0.0,54070627.0,23316158.0,77386785.0,cells,63.0,5000.0,K562,file
K562_c5000_s99,0.33834074494924693,0.9997719878093848,0.5055831109796823,0.3222088795682536,0.9996850149040127,0.4811173473857216,0.08746912765997714,0.0004017637211553466,0.09473099476186127,0.302,43060.0,661284139.0,5000.0,0.0,0.0,52340251.0,22604926.0,74945177.0,cells,99.0,5000.0,K562,file
K562_c7500,0.6536395504430581,0.9942037971570611,0.7887290062722898,0.628291968273219,0.9924824535863067,0.7670493222409672,0.07379893764307531,0.004379243351852597,0.05512532948323227,0.3,40560.0,622242694.0,7500.0,0.0,0.0,79774766.33333333,34211855.666666664,113986622.0,cells,,7500.0,K562,condition
K562_c7500_s44,0.6402987288624555,0.9951336066602182,0.7792224350134412,0.6138859601141664,0.9937171270121266,0.7565616660081916,0.07255444517447365,0.003277536793425619,0.05495811345215543,0.299,40560.0,622293611.0,7500.0,0.0,0.0,79849688.0,34086017.0,113935705.0,cells,44.0,7500.0,K562,file
K562_c7500_s50,0.6861298186966371,0.9920094526829311,0.8111928223396403,0.6601897891207077,0.989721361250928,0.7903170749557229,0.06554256184160613,0.004932624987600071,0.047413873870928644,0.301,40560.0,621982263.0,7500.0,0.0,0.0,79881714.0,34365339.0,114247053.0,cells,50.0,7500.0,K562,file
K562_c7500_s80,0.6368520603574889,0.9954683321280339,0.776766695135182,0.6108001555847828,0.9940088724958656,0.7542692257589874,0.0725193206524949,0.003318775879068511,0.05513158274746429,0.3,40560.0,622452208.0,7500.0,0.0,0.0,79592897.0,34184211.0,113777108.0,cells,80.0,7500.0,K562,file
K562_f005,0.3803496948808352,0.8296661124621015,0.5215853393202716,0.35141668605956267,0.8008242878015944,0.4829322774726377,0.09981273518949423,0.05326914617892358,0.0999160155209707,0.05000000000000001,0.0,194332960.0,48060.0,48059.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,,0.05,K562,condition
K562_f005_s45,0.37380617077626815,0.8357408811123304,0.5165654333859807,0.34544426269788453,0.8073763502447159,0.4782311816148659,0.09941195752946047,0.0517087496863463,0.10038289074520904,0.05,0.0,194332960.0,48060.0,48060.0,194332960.0,514801538.0,27094818.0,541896356.0,frip,45.0,0.05,K562,file
