,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.3477243237306526,0.999429572599682,0.5159410119293795,0.34772574652796084,0.999429572599682,0.5159421675420957,0.0008557465753279304,3.737627429378246e-05,0.000936876398959063,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.9954975299649833,0.8415787044065621,0.9120900982037548,0.9955049419967169,0.8415787044065621,0.9120708992602422,0.0009226502953338659,0.009471385988358732,0.00516441926575199,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.9944406006693848,0.8522960932683339,0.9178978700322677,0.9944406006693848,0.8522960932683339,0.9178978700322676,,,,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.9960779381631892,0.8343331251011659,0.908059217594441,0.9960779381631892,0.8343331251011659,0.908059217594441,,,,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.9959962871575766,0.8381068948501866,0.9102556101540181,0.9959962871575766,0.8381068948501866,0.910255610154018,,,,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.3470906693294144,0.9994475227463159,0.5152455558574072,0.3470906693294144,0.999447522746316,0.5152455558574072,,,,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.3473876862292025,0.9994545876728336,0.5155736843586498,0.3473876862292025,0.9994545876728336,0.5155736843586498,,,,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.3486988840252657,0.9993866073798966,0.51700726241023,0.3486988840252657,0.9993866073798966,0.51700726241023,,,,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.9979493255876146,0.9022357561792334,0.9476819632358048,0.9979510440782134,0.9022357561792335,0.9476773408780348,0.0004410555511512788,0.004884276339376954,0.002494106158772361,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
