,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.34722259042379094,0.9979874902654471,0.5151965578535657,0.31472580687366325,0.9970922871352429,0.4714350798408329,0.09264151922585132,0.0018542749659589866,0.10064189236593066,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.9933077347548492,0.8397274843277689,0.9100837742620695,0.9918018651275072,0.8165312026736529,0.8951394299040146,0.0033147872392851395,0.04164869411234939,0.02581359016904037,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.99193283511414,0.8501467856232827,0.9155831287997095,0.9900620523918131,0.8279673504640995,0.9013495620418198,0.003558026339843198,0.038996295106839836,0.02421784143814001,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.9940568345652763,0.832640211709158,0.9062167094116148,0.9926703029423216,0.8090150475097907,0.890945307540458,0.0028609357185241605,0.04164046863822518,0.02600715218211392,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.9939624331245248,0.8363954556508658,0.9083968411327971,0.9926732400483869,0.8126112100470682,0.893123420129766,0.00275667699437529,0.04183833034102598,0.026027728303547524,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.34657450206788587,0.9979612192053591,0.5144793212360748,0.3139248682917733,0.9971278965117357,0.47045437651121697,0.0929444893348472,0.0017318655038197203,0.10107437934689129,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.34690158502389196,0.9980560462190633,0.514852239703793,0.31465780732230864,0.9969964371593939,0.47143010580255845,0.09218043679571097,0.0021686043814891126,0.1002459187575264,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.3481959602639284,0.9979452053719189,0.516261589713924,0.3155947450069079,0.9971525277345996,0.4724207572087233,0.09290034330991417,0.0016145864586983908,0.10071384021912219,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.9971291600147721,0.901494252891609,0.9469031099410324,0.9964582135604714,0.8863205776037821,0.9379647307755019,0.001660654685842558,0.026914611455885494,0.015484033275694822,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
