,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.35590870637303246,0.9978232271857137,0.5246739995902159,0.3559089431753251,0.9978232271857137,0.5246741842496006,0.00034410769064899456,9.767670039045497e-05,0.0003648832552032779,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.9976044619387591,0.7583553979070446,0.861681119241353,0.9976063662702623,0.7583553979070446,0.8616725284262134,0.0003903575501993198,0.005896242041798263,0.003674828607326828,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.9974448406255568,0.7576433472931235,0.8611617957362923,0.9974448406255568,0.7576433472931235,0.8611617957362923,,,,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.9973226964972363,0.7645753304572928,0.8655760078975467,0.9973226964972364,0.7645753304572928,0.8655760078975467,,,,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.9980515616879938,0.7528475159707176,0.8582797816448016,0.9980515616879938,0.7528475159707176,0.8582797816448016,,,,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.35630478922071684,0.9977402808641984,0.5250927732384016,0.3563047892207168,0.9977402808641984,0.5250927732384016,,,,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.3556811950956363,0.9977985137269061,0.5244233297531719,0.3556811950956363,0.997798513726906,0.5244233297531719,,,,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.35574084520962246,0.9979308869660366,0.524506449757228,0.3557408452096224,0.9979308869660366,0.524506449757228,,,,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.9997781718406844,0.7758430579846866,0.8736896598420394,0.9997782333590054,0.7758430579846866,0.8736889406049472,4.200609447229758e-05,0.0017347114016199468,0.0010846933770509329,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.9997857377455622,0.7760727700577414,0.8738381842325936,0.9997857377455622,0.7760727700577414,0.8738381842325936,,,,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
SKNSH_c20000_s65,0.9998159814682513,0.7740049353061301,0.8725373533892082,0.9998159814682512,0.7740049353061301,0.8725373533892082,,,,0.285,40714.0,654080029.0,20000.0,0.0,0.0,229972330.0,91632758.0,321605088.0,cells,65.0,20000.0,SKNSH,file
SKNSH_c20000_s79,0.9997329808632024,0.7774514685901881,0.8746912841930395,0.9997329808632024,0.7774514685901881,0.8746912841930395,,,,0.285,40714.0,653193036.0,20000.0,0.0,0.0,230459169.0,92032912.0,322492081.0,cells,79.0,20000.0,SKNSH,file
SKNSH_c2500,0.206669874690405,0.9999997632810459,0.3425458290558532,0.20668976449134727,0.9999997632810459,0.34256845714498513,0.0024871466814719327,8.200185104805796e-08,0.003414323974415174,0.285,58214.0,935534685.3333334,2500.0,0.0,0.0,28702445.0,11447986.666666666,40150431.666666664,cells,,2500.0,SKNSH,condition
SKNSH_c2500_s15,0.2093726326169423,0.9999997159372551,0.34624997568744176,0.2093726326169423,0.9999997159372552,0.3462499756874417,,,,0.285,58214.0,935132368.0,2500.0,0.0,0.0,28977844.0,11574905.0,40552749.0,cells,15.0,2500.0,SKNSH,file
SKNSH_c2500_s41,0.20623577765551965,0.9999997159372551,0.341949345989389,0.2062357776555196,0.9999997159372552,0.341949345989389,,,,0.285,58214.0,935909556.0,2500.0,0.0,0.0,28426168.0,11349393.0,39775561.0,cells,41.0,2500.0,SKNSH,file
SKNSH_c2500_s62,0.20446088320157996,0.9999998579686276,0.3395060497581247,0.2044608832015799,0.9999998579686276,0.3395060497581247,,,,0.285,58214.0,935562132.0,2500.0,0.0,0.0,28703323.0,11419662.0,40122985.0,cells,62.0,2500.0,SKNSH,file
SKNSH_c30000,0.9991211370606723,0.871701498913886,0.9310721134380996,0.999121445817844,0.871701498913886,0.9310705978508494,0.00014236191399297817,0.0027259023071623677,0.001492565040740114,0.28533333333333327,30714.0,494282034.3333333,30000.0,0.0,0.0,344043287.0,137359795.66666666,481403082.6666667,cells,,30000.0,SKNSH,condition
SKNSH_c30000_s41,0.9992525012802487,0.8694001645859544,0.9298146252056646,0.9992525012802488,0.8694001645859544,0.9298146252056646,,,,0.285,30714.0,494175432.0,30000.0,0.0,0.0,344207333.0,137302352.0,481509685.0,cells,41.0,30000.0,SKNSH,file
SKNSH_c30000_s46,0.9989699805285768,0.8747118538531264,0.9327206653525807,0.9989699805285768,0.8747118538531264,0.9327206653525808,,,,0.286,30714.0,494596530.0,30000.0,0.0,0.0,343711839.0,137376748.0,481088587.0,cells,46.0,30000.0,SKNSH,file
SKNSH_c30000_s87,0.9991418556447064,0.8709924783025774,0.9306765029943028,0.9991418556447064,0.8709924783025774,0.9306765029943028,,,,0.285,30714.0,494074141.0,30000.0,0.0,0.0,344210689.0,137400287.0,481610976.0,cells,87.0,30000.0,SKNSH,file
