,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.35413979444916177,0.992863917753609,0.5220663025111585,0.3233282679168631,0.9901028934872801,0.48005038217757456,0.09739703230131612,0.004673078781186706,0.10367194060866061,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.9960519460072227,0.757175211889503,0.8603401331927076,0.9946465570454478,0.7127049254699919,0.8282269555801728,0.002626904378989858,0.07551816634818531,0.05147563452555024,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.9958571451811078,0.7564373589095854,0.8597910305527593,0.994422172242654,0.7116498614270134,0.8274385953299276,0.0025553523726898307,0.07545872117112482,0.05154052722555261,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.9956302760766601,0.7632778738698919,0.8641071568261015,0.9938828720287693,0.7197482180098379,0.8328671664582923,0.002965538139905601,0.07380147634957451,0.05004401921921046,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.9966766586580103,0.7518104028890318,0.8570974264262382,0.9956346268649203,0.7067166969731246,0.8243751049522979,0.001944815135045664,0.07678020127311345,0.0525135039062067,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.3545161105599703,0.9927315445144785,0.5224567653406186,0.32381052106829417,0.9896907674202263,0.4805656055334849,0.09744028456592266,0.004924943713099687,0.1036967636507608,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.3539105349041257,0.9928312505379439,0.5218126336402,0.3230731512705391,0.9902136489519623,0.47977528945637,0.09742055673932523,0.0047216104019597695,0.1037275068848192,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.3539934132960769,0.9930289582084049,0.5219300255947842,0.3231011314117557,0.9904042640896515,0.47981025154286877,0.09744438547008705,0.00432932455774212,0.1037130186313002,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.9995547574514068,0.7756696850227065,0.8734944216909479,0.999401461920156,0.7338336252141024,0.8444369190325798,0.0005647830632463374,0.06965784861372047,0.046056798338000554,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.9995641565413571,0.7759007700656952,0.8736445166197917,0.9994834177077156,0.7344739656334217,0.8449264676137231,0.0005369904633625226,0.06902599001302652,0.045554729401858104,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
SKNSH_c20000_s65,0.9996084790161999,0.7738442978238805,0.8723562664255162,0.9993932102434557,0.7315810040271488,0.8428892537736309,0.0005515064589612992,0.07044332796692426,0.04671118890962968,0.285,40714.0,654080029.0,20000.0,0.0,0.0,229972330.0,91632758.0,321605088.0,cells,65.0,20000.0,SKNSH,file
SKNSH_c20000_s79,0.999491896553645,0.777263987178544,0.8744803535261895,0.9993277578092966,0.7354459059817371,0.8454950357103853,0.0005940954368556192,0.06952163226064409,0.04591088125397745,0.285,40714.0,653193036.0,20000.0,0.0,0.0,230459169.0,92032912.0,322492081.0,cells,79.0,20000.0,SKNSH,file
SKNSH_c2500,0.20666855377782464,0.9999933718692853,0.3425436397038945,0.1904471481438053,0.9999920264636026,0.3129793849787935,0.08037335787538585,4.277154056917148e-05,0.10386524692868018,0.285,58214.0,935534685.3333334,2500.0,0.0,0.0,28702445.0,11447986.666666666,40150431.666666664,cells,,2500.0,SKNSH,condition
SKNSH_c2500_s15,0.2093716512797455,0.999995028901964,0.34624835280112515,0.1928337288825551,0.999993310045408,0.31637448741174407,0.08045217348313995,3.875564439393238e-05,0.10355128318854169,0.285,58214.0,935132368.0,2500.0,0.0,0.0,28977844.0,11574905.0,40552749.0,cells,15.0,2500.0,SKNSH,file
SKNSH_c2500_s41,0.20623422518169948,0.9999921882745149,0.3419467719093069,0.1900169508991483,0.999990718721976,0.3123539885790513,0.08046346483667328,4.9115394499122415e-05,0.10406117728892314,0.285,58214.0,935909556.0,2500.0,0.0,0.0,28426168.0,11349393.0,39775561.0,cells,41.0,2500.0,SKNSH,file
SKNSH_c2500_s62,0.20445946024824496,0.9999928984313771,0.33950368695278904,0.18849076464971254,0.9999920506234239,0.31020967894558515,0.08023945042421095,3.968482672346138e-05,0.10401175388473871,0.285,58214.0,935562132.0,2500.0,0.0,0.0,28703323.0,11419662.0,40122985.0,cells,62.0,2500.0,SKNSH,file
SKNSH_c30000,0.99850138566341,0.8711607854789397,0.9304945726156195,0.998003247375523,0.84537437944711,0.9148048299918627,0.001203520805407478,0.042933777348049935,0.025410516089885374,0.28533333333333327,30714.0,494282034.3333333,30000.0,0.0,0.0,344043287.0,137359795.66666666,481403082.6666667,cells,,30000.0,SKNSH,condition
SKNSH_c30000_s41,0.9986571468729691,0.8688821761706013,0.9292606418687603,0.9982157462006431,0.8426151769581333,0.9132470596687459,0.0010165194526713462,0.04375832683571304,0.02592349701643957,0.285,30714.0,494175432.0,30000.0,0.0,0.0,344207333.0,137302352.0,481509685.0,cells,41.0,30000.0,SKNSH,file
SKNSH_c30000_s46,0.9982856258592958,0.8741126234927276,0.9320816954586794,0.9977936825649313,0.8489527331530613,0.9168454533527709,0.001217049640516496,0.04173170997825255,0.024623075752309268,0.286,30714.0,494596530.0,30000.0,0.0,0.0,343711839.0,137376748.0,481088587.0,cells,46.0,30000.0,SKNSH,file
SKNSH_c30000_s87,0.9985626448637934,0.8704875567734903,0.9301369821434533,0.9980003133609953,0.8445552282301354,0.9143219769540714,0.0013210322718066202,0.04309148210941514,0.025562956233020646,0.285,30714.0,494074141.0,30000.0,0.0,0.0,344210689.0,137400287.0,481610976.0,cells,87.0,30000.0,SKNSH,file
SKNSH_c40000,0.9971218701439615,0.9265412794773094,0.960536748380178,0.9962439530549155,0.9116498096498384,0.9519057445479999,0.0018668597635313167,0.025227368413580954,0.014318225960832492,0.28533333333333327,20714.0,333455446.3333333,40000.0,0.0,0.0,458921649.6666667,183308021.0,642229670.6666666,cells,,40000.0,SKNSH,condition
SKNSH_c40000_s10,0.9972555670006842,0.9254279902361954,0.9600001119764071,0.9964660694867068,0.910006066488513,0.9511032791039123,0.0016612902796472324,0.025647441014243773,0.014542442047286892,0.286,20714.0,333545325.0,40000.0,0.0,0.0,458749364.0,183390428.0,642139792.0,cells,10.0,40000.0,SKNSH,file
SKNSH_c40000_s70,0.9966557941941058,0.9303881518565347,0.9623825593575676,0.9956112794639668,0.9164031697213065,0.9542317171866258,0.002107077660491645,0.023342235963931358,0.013400754608663086,0.285,20714.0,334334693.0,40000.0,0.0,0.0,458300250.0,183050174.0,641350424.0,cells,70.0,40000.0,SKNSH,file
SKNSH_c40000_s91,0.9974576852114969,0.9238076963391982,0.959221037571949,0.9966545102140728,0.9085401927396957,0.9503822373534614,0.001626415630827515,0.025944493822876603,0.014699486995785169,0.285,20714.0,332486321.0,40000.0,0.0,0.0,459715335.0,183483461.0,643198796.0,cells,91.0,40000.0,SKNSH,file
SKNSH_c5000,0.44932156734472645,0.9993918690069271,0.6199270465864144,0.4141139183064449,0.9990763322210637,0.579986228944581,0.09148558468638113,0.0009104232113324281,0.08636209099453537,0.2856666666666667,55714.0,895783243.3333334,5000.0,0.0,0.0,57062846.0,22839027.666666668,79901873.66666667,cells,,5000.0,SKNSH,condition
SKNSH_c50000,0.9952020858231259,0.9658691036977678,0.9803162187773198,0.9939077915753417,0.9586231740167777,0.975912950106242,0.0027147373718197643,0.01289321272901799,0.007638012915639153,0.285,10714.0,171291312.0,50000.0,0.0,0.0,574826960.6666666,229566844.33333334,804393805.0,cells,,50000.0,SKNSH,condition
SKNSH_c50000_s23,0.9960637756241872,0.9625390834829161,0.9790145145779248,0.9949741133328548,0.9544419123003725,0.9742464719276616,0.002232921543082712,0.013895727324198508,0.008110983963024228,0.285,10714.0,171347455.0,50000.0,0.0,0.0,574699693.0,229637969.0,804337662.0,cells,23.0,50000.0,SKNSH,file
SKNSH_c50000_s79,0.994961178134698,0.9672853458563341,0.9809280898591572,0.9934011097429568,0.9602137226173686,0.9765007364008517,0.003059845460874228,0.012053660689219632,0.007520636834375651,0.285,10714.0,170069654.0,50000.0,0.0,0.0,575746463.0,229869000.0,805615463.0,cells,79.0,50000.0,SKNSH,file
SKNSH_c50000_s80,0.9945870288665033,0.9677828817540534,0.9810018954553199,0.9933481516502138,0.9612138871325919,0.9769916419902125,0.002463605844091787,0.011574205077834618,0.006965433693714749,0.285,10714.0,172456827.0,50000.0,0.0,0.0,574034726.0,229193564.0,803228290.0,cells,80.0,50000.0,SKNSH,file
SKNSH_c5000_s13,0.45639512501693774,0.9993512006906133,0.6266188114242183,0.4206247531878065,0.9989317562888324,0.5866491187195845,0.090498259428306,0.0010010998221194741,0.08455559515469155,0.286,55714.0,896017335.0,5000.0,0.0,0.0,56877014.0,22790768.0,79667782.0,cells,13.0,5000.0,SKNSH,file
SKNSH_c5000_s15,0.4620788384797711,0.9992671181181184,0.6319382308977817,0.4258448661514304,0.9989292522588429,0.5918961766275872,0.09014429537040405,0.0009922591495663963,0.08366798590054068,0.285,55714.0,894842211.0,5000.0,0.0,0.0,57770639.0,23072267.0,80842906.0,cells,15.0,5000.0,SKNSH,file
SKNSH_c5000_s35,0.4307576454700027,0.9995572882120495,0.6020589365926525,0.39587213558009754,0.9993679881155162,0.5614133914865712,0.09110135088319887,0.0006116011118299019,0.08781336032375711,0.286,55714.0,896490184.0,5000.0,0.0,0.0,56540885.0,22654048.0,79194933.0,cells,35.0,5000.0,SKNSH,file
SKNSH_c7500,0.9607780909326558,0.8612570799088386,0.9082996270098158,0.9525709846516061,0.8306804813356045,0.886483464849924,0.018506177543323996,0.05685800484029581,0.035535575883242715,0.2856666666666667,53214.0,854593008.6666666,7500.0,0.0,0.0,86505279.66666667,34586828.666666664,121092108.33333333,cells,,7500.0,SKNSH,condition
SKNSH_c7500_s15,0.967905591991576,0.8500350391395853,0.9051491051828772,0.960149910700969,0.8172114069407475,0.8822233468693241,0.011451380388708195,0.05506990419130965,0.036475900149896864,0.286,53214.0,854479196.0,7500.0,0.0,0.0,86577967.0,34627954.0,121205921.0,cells,15.0,7500.0,SKNSH,file
SKNSH_c7500_s90,0.9699999885714864,0.8438481525553291,0.9025371857494561,0.9631979581749982,0.8108322726325301,0.8796881622812097,0.01017802638861886,0.055855156401013864,0.036558577369202844,0.286,53214.0,855471732.0,7500.0,0.0,0.0,85838674.0,34374711.0,120213385.0,cells,90.0,7500.0,SKNSH,file
SKNSH_c7500_s95,0.9456018441659266,0.8898880480316014,0.9168993878930523,0.934365085078851,0.863997764433536,0.8975388853992388,0.01706165390121448,0.04320054830722395,0.030619406521916564,0.285,53214.0,853828098.0,7500.0,0.0,0.0,87099198.0,34757821.0,121857019.0,cells,95.0,7500.0,SKNSH,file
SKNSH_f005,0.421472278663749,0.8724770375512958,0.5683760260010505,0.3799852251525556,0.8395972728799849,0.518096165117483,0.10341262106035155,0.0546395618531957,0.10287762478390036,0.05000000000000001,0.0,241754891.0,60714.0,60713.666666666664,241754891.0,697233715.0,36696511.0,733930226.0,frip,,0.05,SKNSH,condition
SKNSH_f005_s4,0.4201381711779934,0.8735812841283634,0.5673947958092677,0.3787729202678081,0.8406171810692605,0.5171239138679107,0.10347738744460554,0.054850893581996234,0.10314911359125359,0.05,0.0,241754891.0,60714.0,60714.0,241754891.0,697233715.0,36696511.0,733930226.0,frip,4.0,0.05,SKNSH,file
SKNSH_f005_s56,0.42196928812215495,0.8723203296036842,0.5687944698870647,0.38042028475376183,0.8394125790624851,0.5184833141453197,0.10344168963091514,0.054509526630038156,0.10284836311329766,0.05,0.0,241754891.0,60714.0,60714.0,241754891.0,697233715.0,36696511.0,733930226.0,frip,56.0,0.05,SKNSH,file
SKNSH_f005_s86,0.4223185947270053,0.8715294989218398,0.5689433173098543,0.38076247043609707,0.8387620585082088,0.5186812673392184,0.10343091541357882,0.05460650520936375,0.1027504352221334,0.05,0.0,241754891.0,60714.0,60713.0,241754891.0,697233715.0,36696511.0,733930226.0,frip,86.0,0.05,SKNSH,file
SKNSH_f01,0.7180674513583581,0.8335579322769797,0.7715146017878564,0.6693148012860621,0.7939558556907035,0.7256872228655071,0.08546821130341645,0.0659495097953609,0.07646633603558746,0.10000000000000002,0.0,200980989.0,60714.0,60714.0,200980989.0,697233715.0,77470413.0,774704128.0,frip,,0.1,SKNSH,condition
SKNSH_f01_s10,0.7272270785665915,0.8248548652420541,0.7729705203830065,0.6784146503042633,0.7835470132771608,0.7267387132908921,0.08443010626784325,0.06826270074970371,0.07679776615191303,0.1,0.0,200980989.0,60714.0,60714.0,200980989.0,697233715.0,77470413.0,774704128.0,frip,10.0,0.1,SKNSH,file
SKNSH_f01_s26,0.7128959985855964,0.8384326383548903,0.7705849795251292,0.6639638592020466,0.799636544516658,0.7248724374238128,0.08574666317439283,0.06408048101204533,0.07637120332205859,0.1,0.0,200980989.0,60714.0,60714.0,200980989.0,697233715.0,77470413.0,774704128.0,frip,26.0,0.1,SKNSH,file
SKNSH_f01_s29,0.714392915230952,0.8373862932339947,0.7710154021069134,0.6655658943518765,0.7986840092782915,0.7254505178818166,0.0855877399103343,0.06425808166199608,0.07630817790623384,0.1,0.0,200980989.0,60714.0,60714.0,200980989.0,697233715.0,77470413.0,774704128.0,frip,29.0,0.1,SKNSH,file
SKNSH_f02,0.920987508798561,0.9099906477075616,0.9154560546603371,0.9059733473310236,0.8860436074662582,0.8957994492104303,0.02578197666251686,0.03924700481305222,0.03208202656290817,0.20000000000000004,0.0,104142973.0,60714.0,60712.333333333336,104142973.0,697233715.0,174308429.0,871542144.0,frip,,0.2,SKNSH,condition
SKNSH_f025,0.970686321322974,0.963595039393348,0.9671276816599296,0.9653736719317567,0.9532671959566343,0.9592540336676224,0.009524100527016247,0.017090118502176323,0.012898962803300641,0.25,0.0,46040164.0,60714.0,60693.0,46040164.0,697233715.0,232411238.0,929644953.0,frip,,0.25,SKNSH,condition
SKNSH_f025_s18,0.9726263372191588,0.9615254055776856,0.9670440148794682,0.9676545817427435,0.950565567981295,0.9590024128898758,0.008732539561284279,0.017992550648541068,0.013154761707373184,0.25,0.0,46040164.0,60714.0,60697.0,46040164.0,697233715.0,232411238.0,929644953.0,frip,18.0,0.25,SKNSH,file
SKNSH_f025_s47,0.9703127099720085,0.9640120908466746,0.9671521389989141,0.9649425468345836,0.9538135736890334,0.9593228707197319,0.009482921704696775,0.016771386182219468,0.012858174103728739,0.25,0.0,46040164.0,60714.0,60686.0,46040164.0,697233715.0,232411238.0,929644953.0,frip,47.0,0.25,SKNSH,file
SKNSH_f025_s74,0.9691334063841718,0.9652476217556839,0.9671866111878277,0.9635238872179429,0.9554224461995746,0.9594368173932601,0.009865991270698543,0.01611345982568227,0.012691095133386319,0.25,0.0,46040164.0,60714.0,60696.0,46040164.0,697233715.0,232411238.0,929644953.0,frip,74.0,0.25,SKNSH,file
SKNSH_f02_s52,0.9187551078826297,0.9121943591388241,0.9154629791109319,0.9032991924686075,0.8888737025173483,0.8959508899269344,0.02648928220709051,0.03802262050791905,0.031823893345151504,0.2,0.0,104142973.0,60714.0,60713.0,104142973.0,697233715.0,174308429.0,871542144.0,frip,52.0,0.2,SKNSH,file
SKNSH_f02_s80,0.922011492224344,0.9089837399644183,0.9154512690788449,0.9072037033673963,0.8847150288400834,0.8957185121549873,0.02531974042992588,0.03961389406186428,0.03214224980479383,0.2,0.0,104142973.0,60714.0,60712.0,104142973.0,697233715.0,174308429.0,871542144.0,frip,80.0,0.2,SKNSH,file
SKNSH_f02_s88,0.9222122741542756,0.9087938440194424,0.9154538909640723,0.9074171461570674,0.8845420910413425,0.8957289455493695,0.025341271594244978,0.03997031276340086,0.03231564618962759,0.2,0.0,104142973.0,60714.0,60712.0,104142973.0,697233715.0,174308429.0,871542144.0,frip,88.0,0.2,SKNSH,file
SKNSH_f035,0.9494522238057023,0.9443496937377516,0.9468940848181067,0.93508416852168,0.9364217275310432,0.9357027824149611,0.024515254357738988,0.014551655048778674,0.019006183656776775,0.3499999999999999,0.0,180109683.0,60714.0,60714.0,180109683.0,517124032.0,278451402.0,795575434.0,frip,,0.35,SKNSH,condition
SKNSH_f035_s44,0.9479112798729958,0.9458359100191487,0.9468724577404164,0.9331747308861973,0.937937482025555,0.9355006693126825,0.02496397085295538,0.01414173270062657,0.019176340419471603,0.35,0.0,180109683.0,60714.0,60714.0,180109683.0,517124032.0,278451402.0,795575434.0,frip,44.0,0.35,SKNSH,file
SKNSH_f035_s84,0.9483912895413685,0.9449503444118751,0.9466676902024644,0.9337230133521406,0.9371180350028606,0.9353673052810404,0.024929988091380154,0.01434579151845227,0.019202695112926327,0.35,0.0,180109683.0,60714.0,60714.0,180109683.0,517124032.0,278451402.0,795575434.0,frip,84.0,0.35,SKNSH,file
SKNSH_f035_s99,0.9520738951433839,0.9422628267822309,0.9471429544283532,0.9383547613267023,0.9342096655647144,0.9362403726511608,0.02331319659518562,0.01490909496396177,0.018645285702732037,0.35,0.0,180109683.0,60714.0,60714.0,180109683.0,517124032.0,278451402.0,795575434.0,frip,99.0,0.35,SKNSH,file
SKNSH_f04,0.9102452505433531,0.9072308361093365,0.9087355435150828,0.8861010631050577,0.8952000774797095,0.890479235523911,0.041184399525558704,0.02169830598662956,0.03103749855303634,0.4000000000000001,0.0,279556612.0,60714.0,60714.0,279556612.0,417677103.0,278451402.0,696128505.0,frip,,0.4,SKNSH,condition
SKNSH_f04_s34,0.9105877736599743,0.9070634758087905,0.9088222080516312,0.8864399853507122,0.8949517556663126,0.890530029807723,0.04115991306672635,0.0217046421080358,0.031047971505005895,0.4,0.0,279556612.0,60714.0,60714.0,279556612.0,417677103.0,278451402.0,696128505.0,frip,34.0,0.4,SKNSH,file
SKNSH_f04_s61,0.9101519942206003,0.9072216987577084,0.9086844841154904,0.8859519499152988,0.8950493093716729,0.8903300442233959,0.04127740837121622,0.021867679508494296,0.031165396883586195,0.4,0.0,279556612.0,60714.0,60714.0,279556612.0,417677103.0,278451402.0,696128505.0,frip,61.0,0.4,SKNSH,file
