,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
HEPG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.287,,,25043.0,0.0,0.0,454695021.0,183458731.0,638153752.0,baseline,,,HEPG2,file
HEPG2_c1000,0.9710417980149635,0.999886016782872,0.9852528420950328,0.9504947935633292,0.9997476925540695,0.9741159324839356,0.03737987918906006,0.0008252910086407037,0.020356818725573506,0.287,24043.0,612686672.6666666,1000.0,0.0,0.0,18161839.666666668,7305239.666666667,25467079.333333332,cells,,1000.0,HEPG2,condition
HEPG2_c10000,0.9908406189773529,0.8640493194819487,0.9231115494147031,0.9894577467475724,0.8472360279895885,0.9124849269458182,0.003347846299422163,0.03546388022441076,0.021428480184907454,0.2876666666666667,15043.0,383827262.3333333,10000.0,0.0,0.0,181138987.66666666,73187502.0,254326489.66666666,cells,,10000.0,HEPG2,condition
HEPG2_c10000_s46,0.9905417200299275,0.8665615083586977,0.92441315472392,0.988980343703682,0.8504706693390315,0.914196212031579,0.00372413894889581,0.034073950061079265,0.020780721344892686,0.288,15043.0,383335913.0,10000.0,0.0,0.0,181415909.0,73401930.0,254817839.0,cells,46.0,10000.0,HEPG2,file
HEPG2_c10000_s5,0.9904098849427886,0.8665692354485524,0.9243601366876877,0.9891727028625777,0.8497804479153321,0.9138582971725628,0.003159504006492475,0.034458169006323064,0.020727351241128247,0.288,15043.0,382991285.0,10000.0,0.0,0.0,181735501.0,73426966.0,255162467.0,cells,5.0,10000.0,HEPG2,file
HEPG2_c10000_s65,0.9915775132342738,0.8590170456319628,0.9205495410679658,0.9902201936764572,0.8414569667144024,0.9094002716333126,0.002984574482303481,0.03711146670999672,0.022423744226402708,0.287,15043.0,385154589.0,10000.0,0.0,0.0,180265553.0,72733610.0,252999163.0,cells,65.0,10000.0,HEPG2,file
HEPG2_c1000_s42,0.9727276369739519,0.9998921317639922,0.986122846352601,0.9533823452070531,0.9997595663711802,0.9756862612842735,0.034982078335574346,0.0007569826913654754,0.01896133762426567,0.286,24043.0,613017690.0,1000.0,0.0,0.0,17959466.0,7176596.0,25136062.0,cells,42.0,1000.0,HEPG2,file
HEPG2_c1000_s79,0.9704223040052916,0.9999048567814728,0.9849430025788194,0.9494183484934726,0.999830226406258,0.9735717539640045,0.03810694562489821,0.0005698652284664697,0.020707628646393875,0.287,24043.0,612443435.0,1000.0,0.0,0.0,18320689.0,7389628.0,25710317.0,cells,79.0,1000.0,HEPG2,file
HEPG2_c1000_s81,0.9700674379459321,0.9998615009830957,0.9847391602732227,0.9486836869894618,0.9996532848847702,0.9730897822035287,0.038812572544863824,0.0010636182268002692,0.02126097540391162,0.288,24043.0,612598893.0,1000.0,0.0,0.0,18205364.0,7349495.0,25554859.0,cells,81.0,1000.0,HEPG2,file
HEPG2_c20000,0.9961087368770211,0.9394678314010284,0.9669595408524715,0.9953677966088494,0.9316555903257039,0.9623855565363328,0.0021747681180560533,0.017037647735429193,0.00957192477983665,0.2873333333333333,5043.0,128187480.66666667,20000.0,0.0,0.0,363380714.6666667,146585556.66666666,509966271.3333333,cells,,20000.0,HEPG2,condition
HEPG2_c20000_s20,0.9967925502580081,0.9361033867980967,0.9654952078307865,0.9961520308554035,0.9277507480890587,0.9606607988581846,0.001582605081682248,0.017318024990992557,0.009753156435171231,0.287,5043.0,129190664.0,20000.0,0.0,0.0,362669800.0,146293288.0,508963088.0,cells,20.0,20000.0,HEPG2,file
HEPG2_c20000_s21,0.9949101053323012,0.9448417312821324,0.9692297423292621,0.993947231924916,0.9378572430357701,0.9650380257935528,0.0023322634663808053,0.015030986513732648,0.008776729270434203,0.288,5043.0,128978964.0,20000.0,0.0,0.0,362768293.0,146406495.0,509174788.0,cells,21.0,20000.0,HEPG2,file
HEPG2_c20000_s92,0.9966361943246147,0.9374583419858846,0.9661419302460426,0.9960041270462291,0.9293587798522827,0.9614578449572605,0.001792890953768095,0.01693035959473969,0.009593975670195964,0.287,5043.0,126392814.0,20000.0,0.0,0.0,364704051.0,147056887.0,511760938.0,cells,92.0,20000.0,HEPG2,file
HEPG2_c2500,0.8572071318440123,0.9993670190620431,0.9228444074281658,0.8272675311528073,0.9990474939522073,0.9031304898094241,0.07573585805323647,0.0013182859438172513,0.04743184932704974,0.28833333333333333,22543.0,574290247.3333334,2500.0,0.0,0.0,45448705.0,18414799.666666668,63863504.666666664,cells,,2500.0,HEPG2,condition
HEPG2_c2500_s25,0.8676588411114708,0.9989077199866536,0.9286688541029305,0.8422216499132291,0.9982871663214509,0.9125070463275992,0.059988829831930136,0.0015531028237594435,0.036313400656001034,0.288,22543.0,572820543.0,2500.0,0.0,0.0,46523304.0,18809905.0,65333209.0,cells,25.0,2500.0,HEPG2,file
HEPG2_c2500_s5,0.870370587978553,0.999211779749292,0.9303516756123875,0.8444659357868078,0.9988555294719544,0.9140067637327149,0.06105383909897193,0.0011322473276528348,0.03675705002011606,0.289,22543.0,574477824.0,2500.0,0.0,0.0,45256030.0,18419898.0,63675928.0,cells,5.0,2500.0,HEPG2,file
HEPG2_c2500_s58,0.8340618596599135,0.9999997562982286,0.9095241393641338,0.795115007758385,0.9999997860632166,0.8828776593679583,0.09132437775255525,6.204166718367158e-06,0.05888828179491193,0.288,22543.0,575572375.0,2500.0,0.0,0.0,44566781.0,18014596.0,62581377.0,cells,58.0,2500.0,HEPG2,file
HEPG2_c5000,0.6577543183009222,0.9999602977851315,0.7935361100339156,0.6268248423656276,0.9999200655409723,0.7669560339294001,0.08868318642185709,0.00021565630701585498,0.06686441655216964,0.287,20043.0,511376085.0,5000.0,0.0,0.0,90387215.33333333,36390451.666666664,126777667.0,cells,,5000.0,HEPG2,condition
HEPG2_c5000_s31,0.6612841183103298,0.999953424967971,0.7960972488936364,0.6303394009557476,0.9999141712051055,0.7696856272106019,0.08801482261427822,0.00022700703012953777,0.06606548187329515,0.286,20043.0,511933451.0,5000.0,0.0,0.0,90089001.0,36131300.0,126220301.0,cells,31.0,5000.0,HEPG2,file
HEPG2_c5000_s39,0.6560985695691237,0.9999675412196135,0.7923322253086518,0.6249805845695481,0.9999217135787721,0.7655244744151107,0.08900018487909689,0.0002255295774382935,0.06729983067879323,0.287,20043.0,511101262.0,5000.0,0.0,0.0,90598055.0,36454435.0,127052490.0,cells,39.0,5000.0,HEPG2,file
HEPG2_c5000_s73,0.6559134485922615,0.9999599189634315,0.792194828122064,0.6251545415715869,0.9999243118390392,0.7656580001624882,0.08903168457702892,0.0001928271827081261,0.06721668044682602,0.288,20043.0,511093542.0,5000.0,0.0,0.0,90474590.0,36585620.0,127060210.0,cells,73.0,5000.0,HEPG2,file
HEPG2_c7500,0.9600926983383657,0.9126232779767179,0.935756363058496,0.9543666180357252,0.9003197906277425,0.9264521919779511,0.01105214786818521,0.025859370129423305,0.018021725406826904,0.2873333333333333,17543.0,446959556.0,7500.0,0.0,0.0,136305964.33333334,54888231.666666664,191194196.0,cells,,7500.0,HEPG2,condition
HEPG2_c7500_s41,0.960611036899962,0.912046367742179,0.93569897499226,0.9547206697961378,0.8996729386109388,0.9262807204099972,0.011443908878686241,0.025498612063606346,0.01798592962866452,0.287,17543.0,446450449.0,7500.0,0.0,0.0,136667852.0,55035451.0,191703303.0,cells,41.0,7500.0,HEPG2,file
HEPG2_c7500_s60,0.9603694851401309,0.9128009047712923,0.9359812002923074,0.9543319179854912,0.9006483959017523,0.9266175240435236,0.011490240367037241,0.025280766002568372,0.01788484469893876,0.287,17543.0,445614502.0,7500.0,0.0,0.0,137351139.0,55188111.0,192539250.0,cells,60.0,7500.0,HEPG2,file
HEPG2_c7500_s65,0.9592986033904751,0.9130228655534204,0.9355888658190792,0.9540472663255473,0.900638037370536,0.9264583314803327,0.010174638191166185,0.026791574347531003,0.018212711901432213,0.288,17543.0,448813717.0,7500.0,0.0,0.0,134898902.0,54441133.0,189340035.0,cells,65.0,7500.0,HEPG2,file
