,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
K562,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.301,,,48060.0,0.0,0.0,514801538.0,221427778.0,736229316.0,baseline,,,K562,file
K562_c1000,0.9956905394202532,0.9998405612244898,0.9977612350097788,0.9869462382821006,0.9995604653618452,0.9930780022305705,0.022790211990449314,0.0017165383060644241,0.012265773549172436,0.301,47060.0,720957631.0,1000.0,0.0,0.0,10674794.0,4596891.0,15271685.0,cells,,1000.0,K562,condition
K562_c10000,0.9545634646263582,0.9508632962898707,0.9527097877601427,0.9472837694683706,0.9410502657808545,0.9441209470710159,0.015744708692124378,0.020477041141695455,0.017375334437696722,0.30066666666666664,38060.0,582944069.3333334,10000.0,0.0,0.0,107193235.0,46092011.666666664,153285246.66666666,cells,,10000.0,K562,condition
K562_c10000_s2,0.9545551969814466,0.9510551614676098,0.9528019649660248,0.9469431600976558,0.9413966075369684,0.9441276197230354,0.01590857747825914,0.020312786642990698,0.01739539335868161,0.301,38060.0,583004565.0,10000.0,0.0,0.0,107138220.0,46086531.0,153224751.0,cells,2.0,10000.0,K562,file
K562_c10000_s21,0.9541620058318225,0.9505841514637063,0.9523697183464901,0.9466079505405567,0.9405732458067099,0.9435438028858958,0.01590932414254775,0.020814144163972013,0.01761489693110219,0.3,38060.0,582654262.0,10000.0,0.0,0.0,107431339.0,46143715.0,153575054.0,cells,21.0,10000.0,K562,file
K562_c10000_s76,0.9549742881618566,0.950951054468254,0.9529584249762845,0.9483001977668989,0.9411809439988853,0.9446914186041165,0.01537792467656596,0.020315587293007524,0.01711379237972514,0.301,38060.0,583173381.0,10000.0,0.0,0.0,107010146.0,46045789.0,153055935.0,cells,76.0,10000.0,K562,file
K562_c1000_s48,0.9963052796560026,0.9998005647643264,0.9980498619971947,0.9884365484761952,0.9994258681298954,0.9937885123793385,0.020831612266646073,0.0020660415707450166,0.01117341374140463,0.3,47060.0,721394658.0,1000.0,0.0,0.0,10384757.0,4449901.0,14834658.0,cells,48.0,1000.0,K562,file
K562_c1000_s52,0.9954637589800998,0.9998840093993324,0.9976689881475127,0.9860953048716039,0.9996785365588382,0.9926951917075805,0.023633755833088004,0.0014492949660917867,0.012765401678881756,0.302,47060.0,720810621.0,1000.0,0.0,0.0,10764515.0,4654180.0,15418695.0,cells,52.0,1000.0,K562,file
K562_c1000_s7,0.9953620474491941,0.9998332241999888,0.9975926259336246,0.9863068614985032,0.9995769913968019,0.9927503026047924,0.023739198544764372,0.001563705299018255,0.012772842326923458,0.301,47060.0,720667614.0,1000.0,0.0,0.0,10875110.0,4686592.0,15561702.0,cells,7.0,1000.0,K562,file
K562_c20000,0.9982299851268588,0.8326060972473612,0.9079265807280318,0.9978716607513094,0.8088045560807486,0.8927700763954216,0.0012546108795346432,0.04531827959938145,0.02764466391510931,0.30066666666666664,28060.0,428871873.0,20000.0,0.0,0.0,214935399.0,92422044.0,307357443.0,cells,,20000.0,K562,condition
K562_c20000_s19,0.9978411938796576,0.8391424180093653,0.9116367362259442,0.9974128871953514,0.8161055885007361,0.8970887924273587,0.0013246479714805436,0.043431886964002485,0.026329862074254716,0.3,28060.0,428117165.0,20000.0,0.0,0.0,215539311.0,92572840.0,308112151.0,cells,19.0,20000.0,K562,file
K562_c20000_s85,0.9981635599850366,0.8337306714221715,0.908567275105395,0.9977790104595273,0.8101078250302685,0.8935609638171922,0.001227263634625409,0.04436556196294477,0.02705502375436817,0.301,28060.0,429536259.0,20000.0,0.0,0.0,214364473.0,92328584.0,306693057.0,cells,85.0,20000.0,K562,file
K562_c20000_s97,0.9986930632668461,0.8249437280751699,0.9035413002474907,0.9984230845990495,0.800200254711241,0.8876604729417142,0.0009701940804848505,0.04671516000138487,0.028702388102094138,0.301,28060.0,428962195.0,20000.0,0.0,0.0,214902413.0,92364708.0,307267121.0,cells,97.0,20000.0,K562,file
K562_c2500,0.9650269726425404,0.999999279691685,0.9822019185537573,0.9346886625998047,0.999998907616691,0.9652382583223944,0.05833618181762912,3.083575666493234e-05,0.033329295259132224,0.301,45560.0,697726447.3333334,2500.0,0.0,0.0,26908787.333333332,11594081.333333334,38502868.666666664,cells,,2500.0,K562,condition
