,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
MCF7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.286,,,32303.0,0.0,0.0,411746319.0,164654162.0,576400481.0,baseline,,,MCF7,file
MCF7_c1000,0.9822830562674838,0.9999129740938199,0.9910196137516805,0.9648985189034063,0.9997117885573964,0.9816733151697529,0.03465870276116587,0.0015418965126055575,0.018775947798941504,0.2843333333333333,31303.0,558550461.0,1000.0,0.0,0.0,12773745.333333334,5076274.666666667,17850020.0,cells,,1000.0,MCF7,condition
MCF7_c10000,0.9936806554577702,0.8435213017979233,0.9124645189418296,0.9922262779081146,0.8206809482914337,0.8978178337168171,0.003209814715535911,0.04121963468753014,0.02545248956860015,0.2856666666666667,22303.0,397095121.3333333,10000.0,0.0,0.0,128061207.33333333,51244152.333333336,179305359.66666666,cells,,10000.0,MCF7,condition
MCF7_c10000_s17,0.9923900754981277,0.8538495227608145,0.9179218051175183,0.9906321538105441,0.8319735510932545,0.9039670723274134,0.0034453292381988157,0.03858067706935472,0.023834936549830033,0.286,22303.0,396740408.0,10000.0,0.0,0.0,128240348.0,51419725.0,179660073.0,cells,17.0,10000.0,MCF7,file
MCF7_c10000_s56,0.9943544942787984,0.836658806931062,0.9087158944177296,0.9930045242034734,0.8134499271569959,0.8937831645508122,0.0028184926885698185,0.04113790179704844,0.025602570208748714,0.285,22303.0,398635180.0,10000.0,0.0,0.0,127025010.0,50740291.0,177765301.0,cells,56.0,10000.0,MCF7,file
MCF7_c10000_s84,0.9943240842335548,0.8400530195258857,0.9107014556994251,0.993042155710326,0.8166193666240503,0.8957032642722255,0.002702216384562518,0.04151968125681837,0.025744931772137335,0.286,22303.0,395909776.0,10000.0,0.0,0.0,128918264.0,51572441.0,180490705.0,cells,84.0,10000.0,MCF7,file
MCF7_c1000_s25,0.9825513905285554,0.9998851041424976,0.9911424674483882,0.9645173670819042,0.9995140868433073,0.9813630624706874,0.03573574830668143,0.0017054501729198727,0.01949937960213829,0.285,31303.0,558805724.0,1000.0,0.0,0.0,12573744.0,5021013.0,17594757.0,cells,25.0,1000.0,MCF7,file
MCF7_c1000_s4,0.9807892671813695,0.9999411588000111,0.9902726221596108,0.9623811453319164,0.9997900495156721,0.9803837663619104,0.03576964080298529,0.0019193534214159945,0.019395550573447273,0.283,31303.0,557920383.0,1000.0,0.0,0.0,13246950.0,5233148.0,18480098.0,cells,4.0,1000.0,MCF7,file
MCF7_c1000_s99,0.9836937020592662,0.9999102725151896,0.9917356995703442,0.9677970442963982,0.9998312293132101,0.983273116676661,0.03217335182097835,0.0006971152385916787,0.017254307676803728,0.285,31303.0,558925276.0,1000.0,0.0,0.0,12500542.0,4974663.0,17475205.0,cells,99.0,1000.0,MCF7,file
MCF7_c20000,0.9971318670256517,0.9015210155888632,0.9469190937093438,0.9964620851650263,0.8863531281695078,0.9379847969504953,0.0016598116099988465,0.026907879094759782,0.015479858138084663,0.286,12303.0,220152132.66666666,20000.0,0.0,0.0,254449439.33333334,101798909.0,356248348.3333333,cells,,20000.0,MCF7,condition
MCF7_c20000_s14,0.9972507520625443,0.9007681217991654,0.9465571699722023,0.9966023948562094,0.8851510376409544,0.937365777642667,0.0015095711602649683,0.02741186770264725,0.015811338708940963,0.286,12303.0,219847108.0,20000.0,0.0,0.0,254644789.0,101908584.0,356553373.0,cells,14.0,20000.0,MCF7,file
MCF7_c20000_s23,0.9965539046083242,0.9066476159821635,0.9494771962251546,0.9957171609754782,0.8924008437286053,0.9410648738546835,0.001837915416046522,0.025026614394149667,0.014509907949613344,0.286,12303.0,220687277.0,20000.0,0.0,0.0,254084527.0,101628677.0,355713204.0,cells,23.0,20000.0,MCF7,file
MCF7_c20000_s6,0.9975971455562731,0.8971473924433415,0.9447096005772079,0.997066699663391,0.881507503138964,0.9355237393541359,0.001293626011055435,0.027101857172945318,0.015587394839474416,0.286,12303.0,219922013.0,20000.0,0.0,0.0,254619002.0,101859466.0,356478468.0,cells,6.0,20000.0,MCF7,file
MCF7_c2500,0.8722874477063717,0.9999998046993248,0.931787872002274,0.8280330289970846,0.9999989243909538,0.9028754614702698,0.09419253708186993,3.820883817534203e-05,0.05938674989625347,0.28533333333333327,29803.0,532039683.0,2500.0,0.0,0.0,31707294.333333332,12653503.666666666,44360798.0,cells,,2500.0,MCF7,condition
MCF7_c2500_s42,0.8719520299769358,1.0,0.9315965537724586,0.8279449171871477,1.0,0.9028419047310688,0.0939115234940655,0.0,0.05924149885278073,0.286,29803.0,531677859.0,2500.0,0.0,0.0,31945007.0,12777615.0,44722622.0,cells,42.0,2500.0,MCF7,file
MCF7_c2500_s87,0.8711988957932831,0.9999994173152918,0.9311662821154522,0.8269461740674717,0.9999967731728618,0.9022020530984018,0.09450742505660113,6.61533979492602e-05,0.05962692630871526,0.285,29803.0,531781951.0,2500.0,0.0,0.0,31920919.0,12697611.0,44618530.0,cells,87.0,2500.0,MCF7,file
MCF7_c2500_s91,0.873734969001996,1.0,0.9326131853827458,0.8292079957366348,1.0,0.9035824265813387,0.0942561734505821,0.0,0.059353805533357895,0.285,29803.0,532659239.0,2500.0,0.0,0.0,31255957.0,12485285.0,43741242.0,cells,91.0,2500.0,MCF7,file
