,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.285,,,60714.0,0.0,0.0,697233715.0,278451402.0,975685117.0,baseline,,,SKNSH,file
SKNSH_c1000,0.9944866059256836,0.9998744591513518,0.9971732547785148,0.9816716906422122,0.9995985034896796,0.9903163644593891,0.030319329848109464,0.0017204097802589891,0.01666926683724817,0.2846666666666666,59714.0,959398045.3333334,1000.0,0.0,0.0,11646977.0,4640094.666666667,16287071.666666666,cells,,1000.0,SKNSH,condition
SKNSH_c10000,0.9965533705518896,0.7662943106511436,0.8663858894410984,0.9953399497972446,0.722147609809417,0.834908013572117,0.002354445493842365,0.07489419577872936,0.050578219265888354,0.285,50714.0,814632622.6666666,10000.0,0.0,0.0,115122193.66666667,45930300.666666664,161052494.33333334,cells,,10000.0,SKNSH,condition
SKNSH_c10000_s1,0.9964640128181419,0.765802904384452,0.8660379737957616,0.995306077305601,0.7214378707960015,0.83443384614873,0.0021672019762153244,0.07463173022335795,0.050450694836330245,0.285,50714.0,815347143.0,10000.0,0.0,0.0,114631592.0,45706382.0,160337974.0,cells,1.0,10000.0,SKNSH,file
SKNSH_c10000_s19,0.996152542777723,0.7720866930380891,0.8699231494655629,0.9946559354663203,0.728777966908599,0.8392204152248145,0.002681994546291008,0.07351359392099095,0.04940471610447893,0.285,50714.0,814308761.0,10000.0,0.0,0.0,115341634.0,46034722.0,161376356.0,cells,19.0,10000.0,SKNSH,file
SKNSH_c10000_s37,0.9970502341207333,0.7609939340022686,0.8631741953008017,0.9960578366198128,0.7162269917236502,0.8310697793428069,0.0019411398391902847,0.076072461406658,0.05158359650236296,0.285,50714.0,814241964.0,10000.0,0.0,0.0,115393355.0,46049798.0,161443153.0,cells,37.0,10000.0,SKNSH,file
SKNSH_c1000_s42,0.9946647796425111,0.9998423368369592,0.9972468380083856,0.9819781692768548,0.9994401835312428,0.9903930343601764,0.03062151928676083,0.0020704062732374543,0.01694959075480535,0.284,59714.0,959446328.0,1000.0,0.0,0.0,11622297.0,4616492.0,16238789.0,cells,42.0,1000.0,SKNSH,file
SKNSH_c1000_s78,0.994534379222249,0.9998722383598299,0.9971961656287771,0.9807923410040548,0.9994892509153801,0.989793054617778,0.031982239633952796,0.0019839427329095775,0.01777785957508147,0.284,59714.0,959423968.0,1000.0,0.0,0.0,11638686.0,4622463.0,16261149.0,cells,78.0,1000.0,SKNSH,file
SKNSH_c1000_s94,0.9942733857720062,0.9999068150416629,0.9970821433713261,0.9822445616457263,0.9998660760224158,0.9907630044002127,0.028253072774180415,0.0007450771923755309,0.015180060793305722,0.286,59714.0,959323840.0,1000.0,0.0,0.0,11679948.0,4681329.0,16361277.0,cells,94.0,1000.0,SKNSH,file
SKNSH_c20000,0.999557345670139,0.7758748128749162,0.8736254604795549,0.9994035150882645,0.7340691951581004,0.8445962495635206,0.0005643595192402144,0.06963435941005261,0.0460295391450211,0.28533333333333327,40714.0,654667578.3333334,20000.0,0.0,0.0,229438131.33333334,91579407.33333333,321017538.6666667,cells,,20000.0,SKNSH,condition
SKNSH_c20000_s36,0.9995688794653959,0.776125618594712,0.8737888367065748,0.9994868168856746,0.7347336037893116,0.8451031629559274,0.0005355970960953853,0.06898532685594143,0.04551482061643199,0.286,40714.0,656729670.0,20000.0,0.0,0.0,227882895.0,91072552.0,318955447.0,cells,36.0,20000.0,SKNSH,file
SKNSH_c20000_s65,0.9996115703950221,0.7740492239949215,0.8724876400357545,0.999396079530953,0.7318275348554564,0.8430564406536692,0.0005509699315972932,0.07042314391261897,0.046685691742459685,0.285,40714.0,654080029.0,20000.0,0.0,0.0,229972330.0,91632758.0,321605088.0,cells,65.0,20000.0,SKNSH,file
SKNSH_c20000_s79,0.9994918520986399,0.7774495940200054,0.8745977942466286,0.9993276488481658,0.7356464468295328,0.8456291450809655,0.0005941934711744828,0.06951272505310029,0.04589496743482836,0.285,40714.0,653193036.0,20000.0,0.0,0.0,230459169.0,92032912.0,322492081.0,cells,79.0,20000.0,SKNSH,file
SKNSH_c2500,0.9512142886558534,0.9999992019530602,0.974996876682476,0.9160250481896077,0.9999978866017867,0.9551378710866794,0.05924616954573192,3.937599912229218e-05,0.033465707446733106,0.285,58214.0,935534685.3333334,2500.0,0.0,0.0,28702445.0,11447986.666666666,40150431.666666664,cells,,2500.0,SKNSH,condition
SKNSH_c2500_s15,0.950061461127421,1.0,0.9743913000343551,0.9147727188692518,1.0,0.9544764338269808,0.05872693476162495,0.0,0.03309714606138374,0.285,58214.0,935132368.0,2500.0,0.0,0.0,28977844.0,11574905.0,40552749.0,cells,15.0,2500.0,SKNSH,file
SKNSH_c2500_s41,0.9519520536349169,0.9999978899513151,0.9753836650347314,0.9170185578225201,0.9999943765387189,0.9556778902200478,0.05924856745431469,6.484066778667188e-05,0.033495028256672055,0.285,58214.0,935909556.0,2500.0,0.0,0.0,28426168.0,11349393.0,39775561.0,cells,41.0,2500.0,SKNSH,file
SKNSH_c2500_s62,0.9516490092297923,0.99999969999898,0.9752254278488256,0.9162838678770516,0.9999992832666412,0.9552592892130095,0.05980645539953438,2.0785267402468164e-05,0.03382963992881455,0.285,58214.0,935562132.0,2500.0,0.0,0.0,28703323.0,11419662.0,40122985.0,cells,62.0,2500.0,SKNSH,file
SKNSH_c30000,0.9985013703748864,0.8711715997488071,0.9305007347069016,0.9980031998374622,0.8453897172009138,0.9148138572183628,0.0012035669637291066,0.04293217718283653,0.025409116083784093,0.28533333333333327,30714.0,494282034.3333333,30000.0,0.0,0.0,344043287.0,137359795.66666666,481403082.6666667,cells,,30000.0,SKNSH,condition
SKNSH_c30000_s41,0.9986571332815624,0.8688901539394156,0.9292651984849459,0.998215689694955,0.8426233164048313,0.9132517469436595,0.0010165717317454175,0.04376133972878747,0.025925004209514105,0.285,30714.0,494175432.0,30000.0,0.0,0.0,344207333.0,137302352.0,481509685.0,cells,41.0,30000.0,SKNSH,file
SKNSH_c30000_s46,0.9982856077835904,0.874123131765906,0.9320876616743173,0.997793637296989,0.8489697655406194,0.9168555100683525,0.0012171082271975856,0.04172732842714971,0.024620000639463062,0.286,30714.0,494596530.0,30000.0,0.0,0.0,343711839.0,137376748.0,481088587.0,cells,46.0,30000.0,SKNSH,file
SKNSH_c30000_s87,0.9985626305782992,0.8705015187099239,0.9301449463641085,0.9980002725204425,0.8445760696572904,0.9143343146430761,0.00132106614494353,0.04308738012672964,0.025559926188407363,0.285,30714.0,494074141.0,30000.0,0.0,0.0,344210689.0,137400287.0,481610976.0,cells,87.0,30000.0,SKNSH,file
SKNSH_c40000,0.99712186574471,0.9265416138032788,0.9605369259936531,0.9962439380246482,0.911650002468303,0.9519058410378485,0.001866868794132989,0.025227501803580313,0.014318304128424802,0.28533333333333327,20714.0,333455446.3333333,40000.0,0.0,0.0,458921649.6666667,183308021.0,642229670.6666666,cells,,40000.0,SKNSH,condition
SKNSH_c40000_s10,0.99725556280018,0.9254281472004291,0.960000194485654,0.9964660576375178,0.9100060143638371,0.9511032452039739,0.0016612998370614184,0.025647443747709713,0.01454244323529402,0.286,20714.0,333545325.0,40000.0,0.0,0.0,458749364.0,183390428.0,642139792.0,cells,10.0,40000.0,SKNSH,file
SKNSH_c40000_s70,0.9966557891059667,0.9303881851302295,0.9623825747862063,0.9956112623529361,0.9164032369352092,0.9542317461516434,0.002107082345035164,0.023342199705513874,0.013400735664996622,0.285,20714.0,334334693.0,40000.0,0.0,0.0,458300250.0,183050174.0,641350424.0,cells,70.0,40000.0,SKNSH,file
SKNSH_c40000_s91,0.9974576813127308,0.9238085065919049,0.9592214725509715,0.996654494083491,0.908540756105862,0.9503825317579288,0.0016264299538683324,0.02594496512084392,0.014699755796135446,0.285,20714.0,332486321.0,40000.0,0.0,0.0,459715335.0,183483461.0,643198796.0,cells,91.0,40000.0,SKNSH,file
SKNSH_c5000,0.852574886138495,0.9997893722273492,0.9203322795066158,0.8120199780099205,0.9996352888974502,0.8940290930637959,0.07862754074795514,0.000584246399105037,0.048499405070049025,0.2856666666666667,55714.0,895783243.3333334,5000.0,0.0,0.0,57062846.0,22839027.666666668,79901873.66666667,cells,,5000.0,SKNSH,condition
